Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ARCHS4_Cell-lines	22RV1	34/2395	0.9999928100618212	1.0	0	0	0.23139759040244465	1.6637403508006353e-06	BTG1;AQP4;AK7;GRM1;ANKRD9;SPIC;PAIP2B;JPH3;NETO1;PTPRZ1;CLMN;C1QTNF7;PEG10;APBB3;SH2B2;SYT5;B3GALNT1;MOAP1;DTNA;MYEF2;WSB2;NAP1L3;ASNS;NR1D2;TC2N;MYT1;PAX2;COQ5;PTPRD;RIT1;RUFY3;MKRN3;ARHGEF2;UNC79
ARCHS4_Cell-lines	293F	32/2395	0.9999928100618212	1.0	0	0	0.21778596743759496	1.5658732713417744e-06	YWHAE;RTN1;SLC5A11;AQP4;ASB15;MYOM2;PREX2;PAIP2B;JPH3;RPS6KA5;PTPRZ1;PPP4R4;GSC;NEFL;SCN3B;ZC3H14;PRIMA1;CHGA;DTNA;MYEF2;BCL11B;NAP1L3;NR1D2;SMC1A;MYT1;PAX2;PTPRD;EML5;PKIA;CD207;KIT;MXD4
ARCHS4_Cell-lines	A172	30/2395	0.9999928100618212	1.0	0	0	0.20417434447274527	1.4680061918829138e-06	UGT1A10;RTN1;COL16A1;SPARC;TNFAIP2;PIK3CG;MYOM2;DNAJB1;JPH3;NETO1;IFI16;DCDC2C;G3BP1;CAPN2;BDKRB2;NEFL;BDKRB1;KIF3C;IGFBP6;RAB11FIP5;B3GALNT1;TPM3;NAP1L3;PAX2;PTPRD;CYP2A6;ID1;KIT;TLR6;MET
ARCHS4_Cell-lines	A375	28/2395	0.9999928100618212	1.0	0	0	0.1905627215078956	1.3701391124240525e-06	RTL1;SERPINA3;COL16A1;SPARC;SERPINA5;NETO1;PTPRZ1;IFI16;GRM7;GSC;G3BP1;TAF1A;KDR;NEFL;KIF21B;IGFBP6;TRIM23;MAP2K6;TPM3;HIST1H2AH;MOK;LSAMP;NAP1L3;PTPRD;PKIA;ARHGEF2;TLR6;MET
ARCHS4_Cell-lines	A431	30/2395	0.9999928100618212	1.0	0	0	0.20417434447274527	1.4680061918829138e-06	IFITM3;UGT1A10;TNFAIP2;LRP4;ADIRF;NT5C2;PPP1CB;PTPRZ1;IFI16;CYP2A13;OPA1;UBE2Q2;CAPN2;BDKRB2;BDKRB1;IGFBP6;UGT1A9;UGT1A8;UGT1A7;CCBE1;ACSL1;HIST1H2AH;MOK;PTBP3;CYP2A7;GLUD1;CYP2A6;RIN3;GCLM;MET
ARCHS4_Cell-lines	A549	38/2395	0.9999928100618212	1.0	0	0	0.2586208363321441	1.8594745097183571e-06	RTL1;CEBPD;FAM45A;SLC5A11;TNFAIP2;LRP4;HSPB1;MYOM2;SPR;SOX17;CLMN;PEG10;APOH;CAPN2;BDKRB2;NEFL;BDKRB1;ITGAV;KIF3C;IGFBP6;PDLIM5;UGT1A9;UGT1A7;MAP2K6;CHGA;CCBE1;MYEF2;BCL11B;EML1;PAX2;PTPRD;GALC;ID1;RIN3;TLR6;GCLM;STEAP1;MET
ARCHS4_Cell-lines	A673	39/2395	0.9999928100618212	1.0	0	0	0.2654266478145689	1.9084080494477883e-06	DCLRE1A;RTL1;APP;RTN1;COL16A1;SPARC;PDE1A;LRP4;AK7;PIK3CG;MYOM2;FBLN5;SYNPR;NHSL2;NETO1;PTPRZ1;IFI16;CYP2A13;CAPN6;EPB41L2;PEG10;DCDC2C;GSC;KDR;NEFL;KIF3C;CACNG3;CHGA;MYEF2;BCL11B;LSAMP;EML1;SAP30;XKR8;PKIA;CD207;KIT;KDELR2;STEAP1
ARCHS4_Cell-lines	ASPC1	23/2395	0.9999928100618212	1.0	0	0	0.15653366409577138	1.1254714137769005e-06	UGT1A10;BTG1;WSB2;BCL11B;MGRN1;ITPK1;TNFAIP2;ADIRF;MYOM2;NUDT4;GALC;PTPRZ1;IFI16;CAPN2;BDKRB2;ARHGEF2;RAC1;TLR6;DSG4;UGT1A9;STEAP1;MET;UGT1A8
ARCHS4_Cell-lines	BEAS2B	20/2395	0.9999928100618212	1.0	0	0	0.13611622964849684	9.786707945886091e-07	YWHAE;IFITM3;B3GALNT1;CCBE1;CLIC4;FCMR;SPARC;MYEF2;CEBPD;RNF26;TNFAIP2;FN3KRP;GPR75-ASB3;XKR8;IFI16;AP2S1;BDKRB1;RIN3;IGFBP6;RAB11FIP5
ARCHS4_Cell-lines	BEWO	29/2395	0.9999928100618212	1.0	0	0	0.1973685329903204	1.4190726521534832e-06	SLC5A11;TNFAIP2;PTPN21;GSKIP;AK7;PAK1;GOLGA4;PAIP2B;JPH3;GOLGA5;RPS6KA5;CAPN6;UBE2Q2;PAPOLA;LRRFIP1;KIF3C;DNM1L;SH2B2;CCBE1;URB2;TC2N;XKR8;CD207;HHIPL1;RIN3;DEGS2;SLC29A1;ASB2;LGMN
ARCHS4_Cell-lines	BJ CELL	27/2395	0.9999928100618212	1.0	0	0	0.18375691002547076	1.3212055726946221e-06	IFITM3;RTL1;CLIC4;FCMR;COL16A1;SPARC;GPR68;GPR65;PTPN21;ADIRF;FBLN5;IFI16;CAPN2;BDKRB2;TSPAN5;BDKRB1;IGFBP6;RAB11FIP5;B3GALNT1;CCBE1;WSB2;GPR75-ASB3;NAP1L3;PKIA;KIT;RIN3;MET
ARCHS4_Cell-lines	BJAB	30/2395	0.9999928100618212	1.0	0	0	0.20417434447274527	1.4680061918829138e-06	FCMR;GPR65;CACNA1A;SERPINA9;RASGRP1;PIK3CG;SPIC;TCL1A;PAK1;PAIP2B;GRK6;KIF21B;SH2B2;FCRL1;WARS;KCNK10;ACSL1;HIST1H2AH;LSAMP;BTBD7;DICER1;MYT1;PAX2;DOK3;MTHFD2;CCDC88C;TLR6;ASB2;TECPR2;UNC79
ARCHS4_Cell-lines	BT20	24/2395	0.9999928100618212	1.0	0	0	0.16333947557819622	1.1744049535063309e-06	SYT5;UGT1A10;CEBPD;BCL11B;ROCK2;KCNK13;CACNA1A;ADIRF;TC2N;UTS2B;RIT1;PSMD7;JPH3;MRPL1;CASP6;AP2S1;RIN3;TLR6;GCLM;MET;UGT1A8;TMEM9B;PPID;UGT1A7
