Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ARCHS4_Kinases_Coexp	CSNK1G3 human kinase ARCHS4 coexpression	17/299	0.6625584169515912	1.0	0	0	0.926751219086714	0.38149394063517467	GDI2;NAP1L3;GSKIP;MARCH6;TM9SF2;PPP1CB;SDCBP;GOLGA5;CNIH1;CAND1;OPA1;APC;SNX14;PAPOLA;UBE2V2;DNM1L;MPZL1
ARCHS4_Kinases_Coexp	SLK human kinase ARCHS4 coexpression	16/299	0.7492804574637737	1.0	0	0	0.8722364414933778	0.2517640037914175	DYNC1H1;ROCK2;NR1D2;NUP153;DICER1;CDC42BPB;PTBP3;GOLGA4;OPA1;SLMAP;CAPN2;UBQLN1;ITGAV;MET;RCOR1;ATG2B
ARCHS4_Kinases_Coexp	TNIK human kinase ARCHS4 coexpression	15/299	0.8238163169595848	1.0	0	0	0.8177216639000418	0.1584807469342656	APP;DYNC1H1;DTNA;MYEF2;BCL11B;ADD1;PTPRD;PTPRZ1;APC;PEG10;RUFY3;PKIA;KIF21B;KIF3C;SCN3B
ARCHS4_Kinases_Coexp	MAPK10 human kinase ARCHS4 coexpression	14/299	0.8836112022904924	1.0	0	0	0.7632068863067055	0.09443779253736276	RPS6KL1;MYEF2;RTN1;DCAKD;LSAMP;NAP1L3;PTPRD;GRM7;APC;RUFY3;PKIA;KIF3C;SCN3B;CACNG3
ARCHS4_Kinases_Coexp	EPHB1 human kinase ARCHS4 coexpression	14/299	0.8836112022904924	1.0	0	0	0.7632068863067055	0.09443779253736276	SLC46A1;DTNA;MYEF2;RTN1;KCNK10;LSAMP;MYT1;PTPRD;APC;RUFY3;PKIA;KIF21B;KIF3C;SCN3B
ARCHS4_Kinases_Coexp	PTK2 human kinase ARCHS4 coexpression	14/299	0.8836112022904924	1.0	0	0	0.7632068863067055	0.09443779253736276	YWHAE;APP;DYNC1H1;DTNA;MYEF2;ROCK2;ASH1L;CDC42BPB;CYP46A1;EML1;PTPRD;GOLGA4;ITGAV;MET
ARCHS4_Kinases_Coexp	YES1 human kinase ARCHS4 coexpression	14/299	0.8836112022904924	1.0	0	0	0.7632068863067055	0.09443779253736276	YWHAE;APP;CLIC4;ROCK2;GDI2;CDC42BPB;HSPD1;GOLGA4;OPA1;G3BP1;KDR;KDELR2;ITGAV;MET
ARCHS4_Kinases_Coexp	MAPK8 human kinase ARCHS4 coexpression	13/299	0.9281867743210004	1.0	0	0	0.7086921087133694	0.05281336665248848	MYEF2;RTN1;NAP1L3;MARCH6;MYT1;PTPRD;CAND1;GRM7;APC;RUFY3;PKIA;KIF3C;SCN3B
ARCHS4_Kinases_Coexp	PAK3 human kinase ARCHS4 coexpression	13/299	0.9281867743210004	1.0	0	0	0.7086921087133694	0.05281336665248848	MYEF2;RTN1;LSAMP;MYT1;PTPRD;GRM7;APC;RUFY3;PKIA;NEFL;KIF3C;SCN3B;UNC79
ARCHS4_Kinases_Coexp	STK39 human kinase ARCHS4 coexpression	13/299	0.9281867743210004	1.0	0	0	0.7086921087133694	0.05281336665248848	APP;DYNC1H1;ROCK2;CDC42BPB;ADD1;GLUD1;JPH3;UBQLN1;NEFL;MAPK1;RAC1;MET;RAB11FIP5
