Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ARCHS4_TFs_Coexp	ZFR human tf ARCHS4 coexpression	17/299	0.6625584169515912	1.0	0	0	0.926751219086714	0.38149394063517467	YWHAE;CLIC4;RNMT;ROCK2;NUP153;URB2;SMC1A;HSPD1;EML5;OPA1;APC;TCP1;G3BP1;PAPOLA;UBQLN1;MATR3;DNM1L
ARCHS4_TFs_Coexp	KLF12 human tf ARCHS4 coexpression	15/299	0.8238163169595848	1.0	0	0	0.8177216639000418	0.1584807469342656	FCMR;BTG1;BCL11B;BTN3A3;DICER1;ASH1L;TC2N;RASGRP1;APC;RUFY3;PKIA;CCDC88C;EVL;KIF21B;TRIM23
ARCHS4_TFs_Coexp	AFF4 human tf ARCHS4 coexpression	15/299	0.8238163169595848	1.0	0	0	0.8177216639000418	0.1584807469342656	APP;DYNC1H1;CLIC4;ROCK2;PTPN21;NR1D2;DICER1;ASH1L;CDC42BPB;ADD1;GOLGA4;SLMAP;UBQLN1;ITGAV;ATG2B
ARCHS4_TFs_Coexp	ZBTB2 human tf ARCHS4 coexpression	14/299	0.8836112022904924	1.0	0	0	0.7632068863067055	0.09443779253736276	SMARCD2;PPP4R3A;NUP153;URB2;SERPINA5;HSPD1;MTHFD2;UBE2Q2;PPP4R4;TCP1;G3BP1;PAPOLA;RDH14;MATR3
ARCHS4_TFs_Coexp	EBF3 human tf ARCHS4 coexpression	13/299	0.9281867743210004	1.0	0	0	0.7086921087133694	0.05281336665248848	APP;RPS6KL1;MYEF2;LSAMP;MYT1;PTPRD;PEG10;RUFY3;PKIA;NEFL;KIF21B;KIF3C;SCN3B
ARCHS4_TFs_Coexp	CEBPG human tf ARCHS4 coexpression	13/299	0.9281867743210004	1.0	0	0	0.7086921087133694	0.05281336665248848	YWHAE;ASNS;NUP153;URB2;SMC1A;GOLGA5;EIF5;MTHFD2;PEG10;UBQLN1;YME1L1;KDELR2;MPZL1
ARCHS4_TFs_Coexp	IKZF1 human tf ARCHS4 coexpression	13/299	0.9281867743210004	1.0	0	0	0.7086921087133694	0.05281336665248848	FCMR;BTG1;BCL11B;RGS14;BTN3A3;RASGRP1;PIK3CG;DOK3;IFI16;CCDC88C;GRK6;RIN3;EVL
ARCHS4_TFs_Coexp	CUX1 human tf ARCHS4 coexpression	13/299	0.9281867743210004	1.0	0	0	0.7086921087133694	0.05281336665248848	DYNC1H1;SMARCD2;ITPK1;CDC42BPB;PIK3CG;ADD1;PRRC2A;BTBD2;ARHGEF2;TECPR2;RCOR1;ATG2B;MXD4
ARCHS4_TFs_Coexp	RC3H2 human tf ARCHS4 coexpression	13/299	0.9281867743210004	1.0	0	0	0.7086921087133694	0.05281336665248848	DYNC1H1;ROCK2;ITPK1;PPP4R3A;DICER1;ASH1L;CAND1;OPA1;APC;UBE2V2;UBQLN1;ITGAV;ATG2B
ARCHS4_TFs_Coexp	AHCTF1 human tf ARCHS4 coexpression	13/299	0.9281867743210004	1.0	0	0	0.7086921087133694	0.05281336665248848	DYNC1H1;ROCK2;URB2;DICER1;PRRC2A;PTBP3;HSPD1;OPA1;UBQLN1;MAPK1;MET;RCOR1;ATG2B
ARCHS4_TFs_Coexp	RORA human tf ARCHS4 coexpression	12/299	0.958908671814958	1.0	0	0	0.6541773311200334	0.027448915364476828	SERPINA12;BTG1;BCL11B;CCDC88C;NR1D2;BTN3A3;PPP4R3A;EVL;ASH1L;TC2N;RASGRP1;ATG2B
ARCHS4_TFs_Coexp	ZNF24 human tf ARCHS4 coexpression	12/299	0.958908671814958	1.0	0	0	0.6541773311200334	0.027448915364476828	GOLGA4;CAND1;OPA1;UBQLN1;MAPK1;PPP4R3A;NUP153;URB2;DICER1;ASH1L;ATG2B;PTBP3
ARCHS4_TFs_Coexp	PKNOX2 human tf ARCHS4 coexpression	12/299	0.958908671814958	1.0	0	0	0.6541773311200334	0.027448915364476828	PTPRD;DYNC1H1;RPS6KA5;NETO1;GRM7;APC;LSAMP;CACNA1A;KIF21B;KIF3C;SCN3B;ASB3
ARCHS4_TFs_Coexp	ZFP1 human tf ARCHS4 coexpression	12/299	0.958908671814958	1.0	0	0	0.6541773311200334	0.027448915364476828	PTPRD;B3GALNT1;RTN1;APC;RUFY3;PKIA;LSAMP;PAPOLA;UBE2V2;NAP1L3;MARCH6;DNM1L
ARCHS4_TFs_Coexp	ZFP28 human tf ARCHS4 coexpression	12/299	0.958908671814958	1.0	0	0	0.6541773311200334	0.027448915364476828	SYT5;PTPRD;SDCBP;APC;PPP4R4;PEG10;RUFY3;LSAMP;TM2D3;SCN3B;DNM1L;TRIM23
ARCHS4_TFs_Coexp	NKRF human tf ARCHS4 coexpression	12/299	0.958908671814958	1.0	0	0	0.6541773311200334	0.027448915364476828	DNAJA1;HSP90AA1;EIF5;APC;TCP1;UBQLN1;ASNS;NUP153;URB2;KIF3C;SMC1A;HSPD1
ARCHS4_TFs_Coexp	SETBP1 human tf ARCHS4 coexpression	12/299	0.958908671814958	1.0	0	0	0.6541773311200334	0.027448915364476828	PTPRD;MYEF2;KCNK10;GRM7;APC;RUFY3;PDE1A;PKIA;LSAMP;NAP1L3;MKRN3;MYT1
ARCHS4_TFs_Coexp	CUL2 human tf ARCHS4 coexpression	12/299	0.958908671814958	1.0	0	0	0.6541773311200334	0.027448915364476828	DNAJA1;CAND1;MTHFD2;GDI2;TCP1;G3BP1;PAPOLA;UBE2V2;DRG1;NDUFS2;DLAT;HSPD1
ARCHS4_TFs_Coexp	TCF7 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	FCMR;BTG1;BCL11B;RGS14;CCDC88C;GRK6;RIN3;BTN3A3;EVL;TC2N;RASGRP1
ARCHS4_TFs_Coexp	EZH1 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	FCRL1;NHSL2;FCMR;BTG1;RGS14;GPR65;RAB24;RIN3;BTN3A3;EVL;TLR6
ARCHS4_TFs_Coexp	SOX6 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	SYT5;UTS2B;PTPRZ1;APC;PDE1A;PKIA;EFCAB3;LSAMP;CYP46A1;MARCH6;ASB3
ARCHS4_TFs_Coexp	NR2E1 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	MAS1;NHSL2;RPS6KL1;KCNK10;EXOC3L4;PTPRZ1;DCAKD;TSPAN5;CACNG3;UGT1A7;BEGAIN
ARCHS4_TFs_Coexp	ATF2 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	PTPRD;RTN1;CAND1;APC;RUFY3;PKIA;PAPOLA;NAP1L3;SCN3B;MARCH6;TRIM23
ARCHS4_TFs_Coexp	PLAGL2 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	CCNK;TCL1A;TRAF3;NUP62;RIN3;NUP153;URB2;ARHGEF2;SMC1A;RCOR1;PRRC2A
ARCHS4_TFs_Coexp	MEIS2 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	PTPRD;MYEF2;GRM7;APC;PKIA;LSAMP;BTBD7;KIF21B;EML1;MYT1;ASB3
ARCHS4_TFs_Coexp	SOX5 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	PTPRD;MYEF2;BCL11B;GRM7;PTPRZ1;APC;RUFY3;LSAMP;KIF3C;MARCH6;PUM2
ARCHS4_TFs_Coexp	CLOCK human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	PPP1CB;GOLGA4;CLIC4;UBE2Q2;ROCK2;SLMAP;PAPOLA;ARL1;PTPN21;DICER1;ASH1L
ARCHS4_TFs_Coexp	ELK4 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	IFI16;SLMAP;CCDC88C;DICER1;ASH1L;LRRFIP1;TC2N;PDLIM5;RASGRP1;ATG2B;PTBP3
ARCHS4_TFs_Coexp	IKZF3 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	FCRL1;FCMR;BTG1;BCL11B;IFI16;CCDC88C;RIN3;BTN3A3;EVL;TLR6;RASGRP1
ARCHS4_TFs_Coexp	HEY1 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	YWHAE;APP;DNAJB1;HSP90AA1;SPARC;DTNA;MYEF2;PTPRZ1;PEG10;KDR;LRP4
ARCHS4_TFs_Coexp	PBX3 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	PTPRD;MYEF2;RTN1;PEG10;RUFY3;PKIA;UBE2V2;NAP1L3;NEFL;SCN3B;MYT1
ARCHS4_TFs_Coexp	ZBTB38 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	CLIC4;WSB2;TRAF3;ROCK2;SLMAP;CAPN2;NR1D2;ITGAV;ASH1L;MET;RAB11FIP5
ARCHS4_TFs_Coexp	TEAD1 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	DYNC1H1;CLIC4;SPARC;ROCK2;CAPN2;PTPN21;KDELR2;ITGAV;CDC42BPB;PDLIM5;MET
ARCHS4_TFs_Coexp	POU3F3 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	PTPRD;MYEF2;APC;PEG10;RUFY3;PKIA;KIF21B;KIF3C;SCN3B;MYT1;DLK1
ARCHS4_TFs_Coexp	ZBTB24 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	FCRL1;TCL1A;FCMR;TRAF3;CCDC88C;G3BP1;PPP4R3A;NUP153;URB2;RASGRP1;PTBP3
ARCHS4_TFs_Coexp	ZNF84 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	PTPRD;OTUB2;MYEF2;CAND1;APC;RUFY3;EFCAB3;LSAMP;UBE2V2;SCN3B;MARCH6
ARCHS4_TFs_Coexp	ZNF248 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	PTPRD;RPS6KL1;RTN1;APC;RUFY3;PKIA;SLMAP;LSAMP;MKRN3;SCN3B;MARCH6
ARCHS4_TFs_Coexp	TUB human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	PTPRD;YWHAE;APP;JPH3;MYEF2;RTN1;APC;RUFY3;LSAMP;KIF3C;SCN3B
ARCHS4_TFs_Coexp	E2F8 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	DCLRE1A;MTHFD2;UBR7;G3BP1;NUP62;VRK1;NUP153;URB2;SLC29A1;SMC1A;HSPD1
ARCHS4_TFs_Coexp	NPAS3 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	PTPRD;APP;HSP90AA1;DTNA;MYEF2;PTPRZ1;APC;PEG10;RUFY3;LRP4;SCN3B
ARCHS4_TFs_Coexp	CSDE1 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	DYNC1H1;SMARCD2;OPA1;G3BP1;UBQLN1;YME1L1;HSPB1;NUP153;CDC42BPB;RCOR1;HSPD1
ARCHS4_TFs_Coexp	PLXNA2 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	PTPRD;APP;DYNC1H1;APC;PEG10;RUFY3;KIF21B;KIF3C;CDC42BPB;SCN3B;ADD1
ARCHS4_TFs_Coexp	NRK human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	GALC;RTL1;GOLGA5;COL16A1;CAPN6;PPP4R4;ATL2;MATR3;TECPR2;GRM1;SERPINA5
ARCHS4_TFs_Coexp	RNF138 human tf ARCHS4 coexpression	11/299	0.978368789664356	1.0	0	0	0.5996625535266973	0.013113777207814665	MTHFD2;TCP1;KIT;G3BP1;VRK1;PPP4R3A;MATR3;NUP153;DLAT;RPL10A;HSPD1
