Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ARCHS4_Tissues	ADIPOSE (BULK TISSUE)	34/2316	0.9999928629375774	1.0	0	0	0.23929068610270074	1.7078386583476806e-06	COL16A1;SPARC;CEBPD;NOTCH4;PDE1A;PTPN21;ADIRF;RFNG;FBLN5;SERPINA5;PREX2;SPR;CAPN6;SOX17;C1QTNF7;EPB41L2;GSC;KDR;BDKRB2;IGFBP6;RAB11FIP5;PRIMA1;ACSL1;ITPK1;DIO3;NR1D2;CDC42BPB;CYP2A7;CYP2A6;ID1;SLC29A1;DSG4;STEAP1;MXD4
ARCHS4_Tissues	ADRENAL GLAND	28/2316	0.9999928629375774	1.0	0	0	0.19706291796693004	1.40645536569809e-06	OTUB2;RTL1;SERPINA12;SLC46A1;COL16A1;SPARC;PDE1A;LRP4;PTPN21;FBLN5;SERPINA5;SPIC;SPR;SOX17;HEPH;C1QTNF7;PEG10;KDR;ITGAV;IGFBP6;PRIMA1;CHGA;DIO3;CDC42BPB;MYT1;DLK1;EML5;SLC29A1
ARCHS4_Tissues	ALPHA CELL	34/2316	0.9999928629375774	1.0	0	0	0.23929068610270074	1.7078386583476806e-06	OTUB2;RTL1;RTN1;SERPINA1;SERPINA10;CACNA1A;PTPN21;AQP4;CYP46A1;SERPINA6;SPATA7;ASB15;GRM1;CAPN6;PPP4R4;PEG10;APOH;SCN3B;UGT1A7;SYT5;CHGA;DTNA;KCNK10;GIF;LSAMP;CDC42BPB;MYT1;DLK1;PTPRD;EML5;UTS2B;TTC8;SLC29A1;UNC79
ARCHS4_Tissues	ALVEOLAR CELL TYPE II	33/2316	0.9999928629375774	1.0	0	0	0.23225272474673894	1.6576081095727492e-06	SERPINA12;TPH2;SERPINA1;CEBPD;ADIRF;AQP4;SERPINA9;AK7;GRM1;BEGAIN;ATXN3;RPS6KA5;SPR;CYP2A13;GRM7;PEG10;APOH;DCDC2C;CAPN2;RAB11FIP5;GIF;LSAMP;NR1D2;TC2N;PAX2;CYP2A7;MAS1;UTS2B;CYP2A6;DSG4;GCLM;MET;ASB3
ARCHS4_Tissues	ALVEOLAR MACROPHAGE	23/2316	0.9999928629375774	1.0	0	0	0.16187311118712108	1.1553026218234309e-06	OTUB2;FCRL1;SERPINA12;CLIC4;SERPINA1;ACSL1;HIST1H2AH;GPR65;KCNK13;TNFAIP2;NR1D2;SERPINA9;CDC42BPB;PIK3CG;DNAJB1;UTS2B;SPR;CD207;TLR6;ASB2;APBB3;SLC25A47;SH2B2
ARCHS4_Tissues	AMNIOTIC FLUID	25/2316	0.9999928629375774	1.0	0	0	0.17594903389904465	1.2557637193732945e-06	OTUB2;SERPINA12;SERPINA1;PDE1A;PTPN21;ADIRF;AQP4;CYP2A13;CAPN6;CLMN;PEG10;KDR;BDKRB2;FAM3D;RAB11FIP5;GIF;DIO3;TC2N;PAX2;DLG3;CD207;CCDC88C;DSG4;MET;RCOR1
ARCHS4_Tissues	ASTROCYTE	37/2316	0.9999928629375774	1.0	0	0	0.2604045701705861	1.8585303046724759e-06	OTUB2;RTL1;SERPINA3;SERPINA12;APP;CLIC4;COL16A1;SPARC;LRP4;PTPN21;SERPINA9;RFNG;FBLN5;SERPINA5;BEGAIN;NETO1;HEPH;PEG10;KDR;CAPN2;NEFL;TSPAN5;ITGAV;KIF3C;IGFBP6;RAB11FIP5;NAP1L3;DIO3;CDC42BPB;EML1;DLK1;TAF6L;PKIA;ID1;HHIPL1;MET;MXD4
ARCHS4_Tissues	ATRIUM	33/2316	0.9999928629375774	1.0	0	0	0.23225272474673894	1.6576081095727492e-06	RTL1;SERPINA3;CLIC4;COL16A1;SPARC;CEBPD;PDE1A;LRP4;PTPN21;ADIRF;HSPB1;ASB15;MYOM2;FBLN5;SERPINA5;SYNPR;SPR;SOX17;HEPH;C1QTNF7;KDR;RDH14;ITGAV;IGFBP6;PDLIM5;RAB11FIP5;PRIMA1;B3GALNT1;KCNK13;CDC42BPB;ID1;HHIPL1;ASB2
ARCHS4_Tissues	BASAL CELL	30/2316	0.9999928629375774	1.0	0	0	0.2111388406788536	1.506916463247953e-06	OTUB2;UGT1A10;SERPINA3;APP;COL16A1;CEBPD;LRP4;PTPN21;ADIRF;BEGAIN;SPR;PPP4R4;CAPN2;BDKRB2;BDKRB1;ITGAV;FAM3D;IGFBP6;UGT1A8;UGT1A7;RAB11FIP5;ASNS;CDC42BPB;TC2N;DLG3;ID1;DSG4;STEAP1;MET;RCOR1
ARCHS4_Tissues	BETA CELL	30/2316	0.9999928629375774	1.0	0	0	0.2111388406788536	1.506916463247953e-06	OTUB2;RTL1;APP;SLC46A1;RTN1;CACNA1A;PTPN21;GRM1;BEGAIN;CAPN6;PEG10;KIF3C;SCN3B;RAB11FIP5;SYT5;CHGA;DTNA;MYEF2;GIF;LSAMP;DIO3;NR1D2;CDC42BPB;MYT1;DLK1;EML5;UTS2B;TTC8;SLC29A1;UNC79
ARCHS4_Tissues	BLASTOCYST	4/2316	0.9999928629375774	1.0	0	0	0.028151845423847143	2.0092219509972711e-07	SPIC;DLG3;GSC;PHACTR1
ARCHS4_Tissues	BLOOD DENDRITIC CELLS	23/2316	0.9999928629375774	1.0	0	0	0.16187311118712108	1.1553026218234309e-06	WARS;CEBPD;TPM3;GMFG;GPR65;GDI2;TNFAIP2;PRPF4B;RPL10A;PIK3CG;PTBP3;PPP1CB;SDCBP;PAK1;PSMD7;EIF5;CNIH1;IFI16;PPA1;AP2S1;ARL6IP4;RAC1;LRRFIP1
ARCHS4_Tissues	BLOOD PBMC	30/2316	0.9999928629375774	1.0	0	0	0.2111388406788536	1.506916463247953e-06	WDR25;SMARCD2;FCMR;BTG1;RGS14;GPR68;RFNG;RASGRP1;TCL1A;ASTE1;GRAP2;GRK6;RDH14;EMD;APBB3;SH2B2;RAB11FIP5;MAP2K6;FCRL1;BCL11B;HIST1H2AH;BTN3A3;URB2;TC2N;XKR8;TAF6L;TRAF3;PKIA;CCDC88C;EVL
ARCHS4_Tissues	BLYMPHOCYTE	21/2316	0.9999928629375774	1.0	0	0	0.14779718847519752	1.0548415242735674e-06	FCRL1;DCLRE1A;SMARCD2;FCMR;RGS14;BTN3A3;URB2;SERPINA9;RASGRP1;PIK3CG;TAF6L;TCL1A;DOK3;NETO1;ASTE1;TRAF3;TAF1A;GRK6;CCDC88C;TLR6;SH2B2
ARCHS4_Tissues	BONE MARROW (BULK TISSUE)	19/2316	0.9999928629375774	1.0	0	0	0.13372126576327395	9.543804267237042e-07	IFITM3;TPM3;HIST1H2AH;GMFG;CACNA1A;HSPB1;RPL10A;ASB15;ATXN3;DOK3;RPS6KA5;IFI16;MAT2A;KIT;ARL6IP4;RIN3;PHACTR1;LRRFIP1;ASB3
ARCHS4_Tissues	BRAIN (BULK)	40/2316	0.9999928629375774	1.0	0	0	0.28151845423847144	2.009221950997271e-06	SERPINA3;APP;RTN1;COL16A1;PDE1A;SLC5A11;LRP4;CACNA1A;AQP4;GRM1;MYOM2;BEGAIN;SYNPR;PAIP2B;JPH3;NETO1;PTPRZ1;GRM7;PPP4R4;PEG10;NEFL;KIF3C;SCN3B;CACNG3;RAB11FIP5;PRIMA1;SYT5;CHGA;SPRYD3;DTNA;KCNK10;LSAMP;NAP1L3;MYT1;PAX2;PTPRD;DLG3;PKIA;HHIPL1;UNC79
ARCHS4_Tissues	BREAST (BULK TISSUE)	33/2316	0.9999928629375774	1.0	0	0	0.23225272474673894	1.6576081095727492e-06	SERPINA11;SERPINA3;COL16A1;NOTCH4;TNFAIP2;ADIRF;RFNG;SERPINA6;FBLN5;SERPINA5;BEGAIN;SLC25A29;CAPN6;SOX17;C1QTNF7;GSC;BTBD2;KDR;BDKRB2;IGFBP6;APBB3;SH2B2;RAB11FIP5;PRIMA1;DIO3;CDC42BPB;TC2N;PRRC2A;CYP2A7;TAF6L;CYP2A6;CD207;MXD4
ARCHS4_Tissues	CARDIAC MUSCLE FIBER	34/2316	0.9999928629375774	1.0	0	0	0.23929068610270074	1.7078386583476806e-06	OTUB2;CLIC4;COL16A1;LRP4;PTPN21;HSPB1;MYOM2;NUDT4;SYNPR;JPH3;NETO1;CAPN6;HEPH;PEG10;KDR;ITGAV;DLAT;PDLIM5;RAB11FIP5;PRIMA1;MTERF2;CBX2;KCNK13;NAP1L3;DIO3;CDC42BPB;DLK1;SAP30;PTPRD;CYP2A7;CYP2A6;DLG3;PKIA;ASB2
ARCHS4_Tissues	CD19+ B CELLS	23/2316	0.9999928629375774	1.0	0	0	0.16187311118712108	1.1553026218234309e-06	OTUB2;FCRL1;SMARCD2;FCMR;HIST1H2AH;GPR65;GLRX5;BTN3A3;URB2;SERPINA9;RASGRP1;PIK3CG;UTS2B;TCL1A;DOK3;NETO1;TRAF3;GRAP2;GRK6;CCDC88C;TLR6;ASB2;SH2B2
ARCHS4_Tissues	CD34+ CELL	23/2316	0.9999928629375774	1.0	0	0	0.16187311118712108	1.1553026218234309e-06	RGS14;TPM3;HIST1H2AH;GMFG;GLRX5;CBX2;ZFAND2B;EFCAB3;HSPB1;RPL10A;PIK3CG;ASB15;DLK1;SLC25A29;DOK3;IFI16;MAT2A;KIT;ARL6IP4;RIN3;PHACTR1;LRRFIP1;EMD
ARCHS4_Tissues	CD4+ T CELL	29/2316	0.9999928629375774	1.0	0	0	0.2041008793228918	1.4566859144730214e-06	SERPINA3;WDR25;FCMR;BTG1;RGS14;GPR68;GMFG;GPR65;SERPINA6;RASGRP1;PIK3CG;FBLN5;PPP1R2;DNAJB1;IFI16;ASTE1;CASP6;GRAP2;KIF21B;MAP2K6;SPRYD3;BCL11B;BTN3A3;TC2N;TDP1;CCDC88C;EVL;ASB2;TMEM9B
ARCHS4_Tissues	CEREBELLUM	45/2316	0.9999928629375774	1.0	0	0	0.3167082610182804	2.26037469487193e-06	RTL1;RTN1;PDE1A;LRP4;AQP4;SPATA7;GRM1;PREX2;SYNPR;JPH3;NETO1;PTPRZ1;GRM7;HEPH;PEG10;KDR;NEFL;KIF21B;KIF3C;SCN3B;APBB3;UGT1A7;TRIM23;MAP2K6;B3GALNT1;DTNA;MYEF2;KCNK10;GIF;HIST1H2AH;CBX2;LSAMP;NAP1L3;DIO3;MYT1;PAX2;PTPRD;UTS2B;APC;RUFY3;PKIA;ID1;KIT;MKRN3;UNC79
ARCHS4_Tissues	CEREBRAL CORTEX	46/2316	0.9999928629375774	1.0	0	0	0.32374622237424217	2.3106052436468617e-06	SERPINA3;RTN1;PDE1A;SLC5A11;LRP4;CACNA1A;ADIRF;AQP4;CYP46A1;GRM1;MYOM2;BEGAIN;PREX2;SYNPR;PAIP2B;JPH3;NETO1;PTPRZ1;GRM7;HEPH;PPP4R4;EPB41L2;PEG10;NEFL;KIF3C;SCN3B;CACNG3;APBB3;RAB11FIP5;PRIMA1;SYT5;CHGA;DTNA;KCNK10;LSAMP;NAP1L3;DIO3;MYT1;PTPRD;EML5;APC;DLG3;RUFY3;PKIA;HHIPL1;UNC79
ARCHS4_Tissues	CHONDROCYTE	40/2316	0.9999928629375774	1.0	0	0	0.28151845423847144	2.009221950997271e-06	RTL1;SERPINA3;SERPINA12;CLIC4;SERPINA1;COL16A1;SPARC;GPR68;ROCK2;PDE1A;LRP4;PTPN21;ADIRF;SERPINA9;SERPINA6;SERPINA5;BEGAIN;SPR;CAPN6;C1QTNF7;PPP4R4;EPB41L2;GSC;BDKRB2;BDKRB1;ITGAV;IGFBP6;PDLIM5;RAB11FIP5;B3GALNT1;HIST1H2AH;NAP1L3;DIO3;EML1;SAP30;MINPP1;HHIPL1;GCLM;STEAP1;MET
