Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Achilles_fitness_decrease	NCIH661-lung	5/69	0.4180645737271443	1.0	0	0	1.1811535145222825	1.030106865794698	PSMD7;WARS;NEFL;YME1L1;DNM1L
Achilles_fitness_decrease	HCC364-lung	6/95	0.5309990112451183	1.0	0	0	1.029468536867842	0.6516485598289601	WSB2;IFI16;PDE1A;APOH;MAPK1;ITGAV
Achilles_fitness_decrease	SW1417-large intestine	6/96	0.5413805379114918	1.0	0	0	1.0187449062754683	0.6251353404186601	CYP2A6;PDE1A;PSMC1;MAPK1;ITGAV;RAC1
Achilles_fitness_decrease	KURAMOCHI-ovary	9/158	0.6388286682118814	1.0	0	0	0.9284763702763764	0.4160678890351912	CCNK;PSMD7;SPR;APC;PSMC1;NUP153;ITGAV;SMC1A;HSPD1
Achilles_fitness_decrease	C2BBE1-large intestine	5/93	0.6821234950394639	1.0	0	0	0.8763397043229838	0.3352389863911461	RIT1;SPARC;SLC5A11;ASNS;RAC1
Achilles_fitness_decrease	EW8-bone	4/77	0.7030940676294088	1.0	0	0	0.8467490130081817	0.2982796915817486	RPS6KL1;SPR;LSAMP;CHFR
Achilles_fitness_decrease	BT20-breast	5/97	0.7173648652399758	1.0	0	0	0.8402019845570875	0.2790904731309557	AP2S1;ASNS;MKRN3;DICER1;SMC1A
Achilles_fitness_decrease	GB1-central nervous system	4/79	0.7220247650917199	1.0	0	0	0.8253123291345569	0.2688007922969584	PPP1R2;IFI16;LSAMP;PTBP3
Achilles_fitness_decrease	COLO741-skin	4/82	0.7487171959135783	1.0	0	0	0.7951179756296339	0.2301023255720339	KCNK10;EFCAB3;UBQLN1;MAPK1
Achilles_fitness_decrease	NCIH23-lung	6/121	0.7594803717347343	1.0	0	0	0.8082604215078099	0.22236925453939166	CCNK;PSMC1;LEO1;SMC1A;PPID;HSPD1
Achilles_fitness_decrease	A204-soft tissue	3/64	0.7605970483111891	1.0	0	0	0.7640586797066015	0.209085852867386	KCNK10;POLDIP3;TRIM23
Achilles_fitness_decrease	HEYA8-ovary	3/64	0.7605970483111891	1.0	0	0	0.7640586797066015	0.209085852867386	LEO1;SMC1A;CHFR
Achilles_fitness_decrease	SF126-central nervous system	2/44	0.7612606108092561	1.0	0	0	0.740905386382159	0.20210381669221536	ARL1;ITGAV
Achilles_fitness_decrease	SNUC2A-large intestine	2/44	0.7612606108092561	1.0	0	0	0.740905386382159	0.20210381669221536	ITPK1;MXD4
Achilles_fitness_decrease	OVCAR4-ovary	4/84	0.7653928629681086	1.0	0	0	0.7761865952574999	0.20752592898813665	GPR65;AP2S1;LEO1;HSPD1
Achilles_fitness_decrease	HCC827-lung	5/104	0.7721499836470062	1.0	0	0	0.7836499279042066	0.2026334308912034	RPS6KL1;SPARC;WSB2;GPR65;PDLIM5
Achilles_fitness_decrease	SLR24-kidney	5/104	0.7721499836470062	1.0	0	0	0.7836499279042066	0.2026334308912034	MTHFD2;NEFL;ITGAV;EFCAB11;ADD1
Achilles_fitness_decrease	KP2-pancreas	8/163	0.7894093996553101	1.0	0	0	0.7999960000199999	0.18917522091019207	TM9SF2;CYP2A6;POLDIP3;MAPK1;ITGAV;DEGS2;EFCAB11;CHFR
Achilles_fitness_decrease	HCC1395-breast	2/48	0.8022500912160602	1.0	0	0	0.6791632708503124	0.14964336137726442	APC;RAC1
Achilles_fitness_decrease	AML193-haematopoietic and lymphoid tissue	5/112	0.8243816270712344	1.0	0	0	0.7276749330539062	0.14052983222666626	SPR;ITPK1;LEO1;NEFL;SMC1A
Achilles_fitness_decrease	CH157MN-central nervous system	4/94	0.8360648594190492	1.0	0	0	0.6936135532088297	0.12419087264887785	ASNS;PRPF4B;SMC1A;PTBP3
Achilles_fitness_decrease	KP4-pancreas	1/29	0.8407669261590986	1.0	0	0	0.5620661551864654	0.09748520155703368	SERPINA6
Achilles_fitness_decrease	REH-haematopoietic and lymphoid tissue	5/116	0.8466205095790182	1.0	0	0	0.7025826939830818	0.11698193334526533	APC;ITPK1;PHACTR1;TRIM23;HSPD1
Achilles_fitness_decrease	OV90-ovary	3/75	0.8466429358412811	1.0	0	0	0.6519967400162999	0.10854196353016532	MKRN3;PDLIM5;PTBP3
Achilles_fitness_decrease	SW480-large intestine	3/75	0.8466429358412811	1.0	0	0	0.6519967400162999	0.10854196353016532	IFI16;PDE1A;PTBP3
