Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Achilles_fitness_increase	NCIH23-lung	7/57	0.05870433351279657	1.0	0	0	2.001744377243026	5.6754291913994726	SPR;MTHFD2;MAPK1;MATR3;DEGS2;GCLM;MXD4
Achilles_fitness_increase	SLR25-kidney	6/69	0.2479336645183169	1.0	0	0	1.4173842174267388	1.9766755967226772	MYEF2;KCNK10;CBX2;MATR3;CHFR;MXD4
Achilles_fitness_increase	HCC827GR5-lung	5/64	0.3562138443852189	1.0	0	0	1.2734311328443355	1.3144662311464426	SPR;SMC1A;PIK3CG;CHFR;TRIM23
Achilles_fitness_increase	SNUC2A-large intestine	4/57	0.4662290165989913	1.0	0	0	1.1438539298531576	0.8728501278545854	CYP2A13;APC;YME1L1;MAPK1
Achilles_fitness_increase	KP1NL-pancreas	2/31	0.5750763589863676	1.0	0	0	1.0516076451875804	0.5818045048395308	MYEF2;SMC1A
Achilles_fitness_increase	LN340-central nervous system	4/73	0.6624882971059759	1.0	0	0	0.8931462192004108	0.3677550868236192	CYP2A6;AP2S1;DLAT;HSPD1
Achilles_fitness_increase	A172-central nervous system	4/74	0.6729822181115002	1.0	0	0	0.8810766756977026	0.3489384096670677	CAND1;AP2S1;NEFL;DLAT
Achilles_fitness_increase	F36P-haematopoietic and lymphoid tissue	6/112	0.6910866771411854	1.0	0	0	0.8732099196646873	0.32264235577103045	TM9SF2;GOLGA4;EFCAB3;PHACTR1;ITGAV;TMEM209
Achilles_fitness_increase	SLR21-kidney	8/156	0.7478924927732633	1.0	0	0	0.8358932564311536	0.24282367882993186	DYNC1H1;PSMD7;KCNK10;ROCK2;RNMT;AP2S1;LSAMP;PDLIM5
Achilles_fitness_increase	CH157MN-central nervous system	5/101	0.749737276071828	1.0	0	0	0.8069266584360147	0.23242104819091344	CEBPD;ROCK2;YME1L1;SERPINA6;UGT1A7
Achilles_fitness_increase	EFE184-endometrium	3/68	0.7956512340070818	1.0	0	0	0.7191140514885661	0.1643854001043053	SPR;ARL1;PTBP3
Achilles_fitness_increase	MOLM13-haematopoietic and lymphoid tissue	4/88	0.7961344117164012	1.0	0	0	0.740905386382159	0.16891698040499198	WARS;ITGAV;TMEM209;ADD1
Achilles_fitness_increase	CORL23-lung	5/111	0.8184309687241139	1.0	0	0	0.7342305630814188	0.14711500582881412	CYP2A13;MTHFD2;AP2S1;ITGAV;PIK3CG
Achilles_fitness_increase	KYSE510-oesophagus	1/27	0.8192394902882207	1.0	0	0	0.6037006852002776	0.12036513021251677	ITGAV
Achilles_fitness_increase	IOMMLEE-central nervous system	2/52	0.8368643108654585	1.0	0	0	0.6269199423233653	0.11165026349184473	CYP2A6;NUP153
Achilles_fitness_increase	SEM-haematopoietic and lymphoid tissue	2/52	0.8368643108654585	1.0	0	0	0.6269199423233653	0.11165026349184473	PSMD7;ITGAV
Achilles_fitness_increase	TOV21G-ovary	3/74	0.8401071606358974	1.0	0	0	0.6608075067732769	0.11512973177547405	OTUB2;G3BP1;SLC5A11
Achilles_fitness_increase	KM12-large intestine	3/75	0.8466429358412811	1.0	0	0	0.6519967400162999	0.10854196353016532	POLDIP3;SLC5A11;RAC1
Achilles_fitness_increase	TE15-oesophagus	6/136	0.8475518188764288	1.0	0	0	0.7191140514885661	0.1189438360273816	MYEF2;APC;LEO1;ASNS;ITGAV;APBB3
Achilles_fitness_increase	22RV1-prostate	1/30	0.8505499590996778	1.0	0	0	0.5433306166802501	0.0879500831368962	SERPINA12
Achilles_fitness_increase	HCC827-lung	4/98	0.8588796218571655	1.0	0	0	0.6653027959349999	0.10121018868211984	ARL1;YME1L1;MAPK1;SMC1A
Achilles_fitness_increase	A204-soft tissue	5/120	0.866477858281396	1.0	0	0	0.6791632708503124	0.09733681282522416	DYNC1H1;CCNK;PSMD7;YME1L1;SMC1A
Achilles_fitness_increase	HCC364-lung	6/141	0.87031919893782	1.0	0	0	0.6936135532088297	0.09633962044933234	TRAF3;LEO1;MKRN3;TMEM209;UGT1A7;MAP2K6
Achilles_fitness_increase	U87MG-central nervous system	5/121	0.8710898091519479	1.0	0	0	0.6735503512565082	0.09295681670172704	SPR;G3BP1;AP2S1;EFCAB11;CHFR
Achilles_fitness_increase	SNUC1-large intestine	5/122	0.8755662352288084	1.0	0	0	0.6680294467380121	0.08877074294525295	ROCK2;POLDIP3;GATAD1;EFCAB3;CHFR
Achilles_fitness_increase	U251MG-central nervous system	1/33	0.8764405604848893	1.0	0	0	0.4939369242547727	0.06514355858889129	TRAF3
Achilles_fitness_increase	SLR20-kidney	4/104	0.8879930364704295	1.0	0	0	0.6269199423233653	0.0744726837397615	CCNK;PDE1A;TAF1A;LEO1
Achilles_fitness_increase	NCIH716-large intestine	3/83	0.891038108727928	1.0	0	0	0.5891536807376203	0.06796952996586116	APOH;MAPK1;ITGAV
Achilles_fitness_increase	HT1197-urinary tract	3/84	0.895691623193854	1.0	0	0	0.5821399464431248	0.0641280101234453	MTHFD2;ITGAV;APBB3
Achilles_fitness_increase	HEC1A-endometrium	1/36	0.8978488447154702	1.0	0	0	0.4527755139002082	0.04878816862192095	PDE1A
Achilles_fitness_increase	L363-haematopoietic and lymphoid tissue	3/85	0.9001656655207939	1.0	0	0	0.5752912411908528	0.060507096100252275	PPP1R2;RNMT;PIK3CG
Achilles_fitness_increase	HCC2814-lung	5/129	0.9033385273583848	1.0	0	0	0.6317797868374999	0.06422540888775177	KCNK10;SLC5A11;ITGAV;GCLM;APBB3
Achilles_fitness_increase	LOVO-large intestine	4/108	0.90435652243354	1.0	0	0	0.6037006852002776	0.06069100372220125	POLDIP3;EFCAB3;AP2S1;LEO1
Achilles_fitness_increase	EFO27-ovary	1/38	0.9100196005730956	1.0	0	0	0.4289452236949341	0.04044487651177035	ITGAV
Achilles_fitness_increase	NCIH2122-lung	2/65	0.9146866011322352	1.0	0	0	0.5015359538586922	0.044723859219449484	APC;ITGAV
Achilles_fitness_increase	KYSE30-oesophagus	2/66	0.9189363182605071	1.0	0	0	0.4939369242547727	0.04175666376711328	GOLGA4;PTBP3
Achilles_fitness_increase	KMS12BM-haematopoietic and lymphoid tissue	5/134	0.9197168545498152	1.0	0	0	0.6082059141943096	0.0509004020865412	CCNK;PSMD7;POLDIP3;PIK3CG;HSPD1
Achilles_fitness_increase	ACHN-kidney	4/113	0.9218110056500414	1.0	0	0	0.5769882655011503	0.04697553394547209	RIT1;PSMD7;APC;TLR6
Achilles_fitness_increase	NCIH196-lung	7/181	0.9326120286826344	1.0	0	0	0.6303835884135496	0.043979339338084816	YWHAE;LEO1;YME1L1;MAPK1;PDLIM5;UGT1A7;MXD4
Achilles_fitness_increase	KYSE450-oesophagus	1/43	0.9344782629472376	1.0	0	0	0.3790678721024999	0.02568825950253438	MYEF2
Achilles_fitness_increase	SW48-large intestine	1/43	0.9344782629472376	1.0	0	0	0.3790678721024999	0.02568825950253438	MYEF2
Achilles_fitness_increase	SW1417-large intestine	6/161	0.934929509981124	1.0	0	0	0.6074503788971738	0.040871778116580944	OTUB2;KCNK10;POLDIP3;EFCAB3;SMC1A;ADD1
Achilles_fitness_increase	786O-kidney	3/95	0.9362333882426336	1.0	0	0	0.514734268433921	0.0339160917118133	KCNK10;SLC5A11;TMEM209
Achilles_fitness_increase	OCIAML2-haematopoietic and lymphoid tissue	3/95	0.9362333882426336	1.0	0	0	0.514734268433921	0.0339160917118133	PDE1A;PRPF4B;CHFR
Achilles_fitness_increase	ASPC1-pancreas	2/71	0.9373535430332769	1.0	0	0	0.4591526338142957	0.029704766741651036	CAND1;PTBP3
Achilles_fitness_increase	CAL120-breast	4/119	0.9389467946989004	1.0	0	0	0.5478964201817645	0.03451553658467103	GOLGA4;AP2S1;UGT1A7;MAP2K6
Achilles_fitness_increase	SNU1105-central nervous system	6/163	0.9394735450221909	1.0	0	0	0.599997000015	0.03746118415195185	PSMD7;KCNK10;AP2S1;PHACTR1;SMC1A;MXD4
Achilles_fitness_increase	SW1783-central nervous system	5/144	0.9452833070131486	1.0	0	0	0.5659693923752603	0.03184743765114795	CCNK;SLC5A11;EFCAB11;SMC1A;MXD4
Achilles_fitness_increase	LN428-central nervous system	3/99	0.946946505477948	1.0	0	0	0.4939369242547727	0.026925823417177516	MYEF2;CYP2A13;AP2S1
Achilles_fitness_increase	COV504-ovary	4/123	0.9483928378890754	1.0	0	0	0.5300786504197561	0.028087000007858413	PSMD7;MYEF2;LEO1;MAP2K6
Achilles_fitness_increase	NCIH1792-lung	2/75	0.9491525712830124	1.0	0	0	0.43466449334420004	0.022683280722274463	OTUB2;PSMC1
Achilles_fitness_increase	MIAPACA2-pancreas	1/47	0.949166401592538	1.0	0	0	0.34680677660441483	0.018093308917900803	MAPK1
Achilles_fitness_increase	TT-oesophagus	4/125	0.952595464627423	1.0	0	0	0.5215973920130399	0.025331352135811516	MYEF2;PSMC1;EFCAB3;ITGAV
Achilles_fitness_increase	PANC0327-pancreas	2/77	0.9542256030938208	1.0	0	0	0.4233745065040909	0.01983727781230077	ROCK2;LEO1
Achilles_fitness_increase	RT112-urinary tract	1/49	0.9552260401621832	1.0	0	0	0.33265139796749993	0.015237854145356746	YME1L1
Achilles_fitness_increase	CADOES1-bone	2/78	0.9565769415991848	1.0	0	0	0.4179466282155768	0.01855434458203801	SLC5A11;SMC1A
Achilles_fitness_increase	LK2-lung	2/78	0.9565769415991848	1.0	0	0	0.4179466282155768	0.01855434458203801	GOLGA4;MYEF2
Achilles_fitness_increase	U178-central nervous system	1/50	0.9579795370761904	1.0	0	0	0.32599837000815	0.013994738805260237	MXD4
Achilles_fitness_increase	LN443-central nervous system	4/128	0.9583116406537068	1.0	0	0	0.5093724531377343	0.021690225404747663	PSMD7;WARS;CPSF2;APBB3
