Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Aging_Perturbations_from_GEO_down	Human retinalperiphery 32 years vs 74 years GSE32614 aging:151	17/293	0.6296555666818284	1.0	0	0	0.9457290597506056	0.4374775507359883	YWHAE;SERPINA3;MOAP1;HSP90AA1;CEBPD;HSPB1;AQP4;RASGRP1;HSPD1;PPP1CB;DNAJA1;SDCBP;DNAJB1;PTPRZ1;PPA1;KDR;ITGAV
Aging_Perturbations_from_GEO_down	Rat thoracicaorta 3 months vs 15 months GDS3077 aging:120	10/227	0.8958602076558182	1.0	0	0	0.7180580837183921	0.07896549114856463	DNAJA1;DNAJB1;HSP90AA1;SMARCD2;SPARC;HSPB1;DLAT;IGFBP6;PDLIM5;HSPD1
Aging_Perturbations_from_GEO_down	Mouse hippocampus 3 months vs 16 months GDS2654 aging:61	14/304	0.8968274340810115	1.0	0	0	0.7506541414661347	0.08174009311124072	APP;RTN1;RGS14;TPM3;ROCK2;CACNA1A;ASNS;RASGRP1;DNAJA1;MAS1;CAND1;TSPAN5;MAPK1;RAC1
Aging_Perturbations_from_GEO_down	Mouse liver 6 months vs 14 months GSE15129 aging:323	10/228	0.8987274131039166	1.0	0	0	0.7149087061582236	0.0763347357831001	DNAJA1;UGT1A10;HSP90AA1;ACSL1;APOH;HSPB1;SERPINA6;SLC25A47;NUDT4;HSPD1
Aging_Perturbations_from_GEO_down	Mouse hippocampus 3 months vs 16 months GDS2654 aging:63	19/402	0.9062544929188168	1.0	0	0	0.7703941579794589	0.07583383763003965	APP;DYNC1H1;HSP90AA1;MYEF2;RTN1;WSB2;RGS14;ROCK2;ITPK1;RASGRP1;HSPD1;DNAJA1;RUFY3;PKIA;UBQLN1;NEFL;MAPK1;MATR3;RAC1
Aging_Perturbations_from_GEO_down	Mouse spinal cord 9 months vs 12 months GDS967 aging:331	6/151	0.9073919222439646	1.0	0	0	0.6476788808108941	0.06294196077101173	APP;DNAJB1;HSP90AA1;RTN1;MAT2A;RAC1
Aging_Perturbations_from_GEO_down	Mouse tumor tissue 143 days vs 551 days GSE45606 aging:236	8/208	0.9453097164933126	1.0	0	0	0.6269199423233653	0.03525964695831678	DNAJB1;SMARCD2;BTG1;COL16A1;GLRX5;ARL1;NUDT4;SAP30
Aging_Perturbations_from_GEO_down	Rat hippocampus CA1 18 months vs 28 months GSE21681 aging:353	11/270	0.946608267119693	1.0	0	0	0.6640707537203056	0.03643751448350041	TM9SF2;SDCBP;EIF5;RTN1;CNIH1;BCL11B;PPA1;TCP1;UBE2V2;NAP1L3;NEFL
Aging_Perturbations_from_GEO_down	Mouse brown fat 5 months vs 24 months GSE25325 aging:283	11/274	0.9526166425813204	1.0	0	0	0.6543762901623448	0.03176520507763075	DNAJB1;CLIC4;SPARC;ACSL1;PPA1;PKIA;ITPK1;HSPB1;ASB2;MYOM2;HSPD1
Aging_Perturbations_from_GEO_down	Mouse spinal cord 9 months vs 12 months GDS967 aging:332	16/377	0.9570637971989752	1.0	0	0	0.6917737294602652	0.030358646466060974	CHGA;DYNC1H1;SPARC;RTN1;ARL1;ADD1;HSPD1;DNAJA1;GLUD1;DNAJB1;JPH3;CNIH1;MAT2A;RAB24;NDUFS2;PPID
Aging_Perturbations_from_GEO_down	Mouse retina 3 months vs 16 months GDS2654 aging:62	14/339	0.9587906070474695	1.0	0	0	0.6731529764180088	0.028328009297985863	YWHAE;RTN1;TPM3;RNF26;GDI2;ITPK1;SERPINA6;PRRC2A;PPP1CB;DNAJA1;EIF5;MAT2A;KDELR2;MATR3
Aging_Perturbations_from_GEO_down	Mouse cardiacventricle 4 months vs 25 months GSE12480 aging:149	4/131	0.9633845392263872	1.0	0	0	0.4977074351269465	0.018565797818875084	DNAJA1;DNAJB1;RIT1;HSPB1
Aging_Perturbations_from_GEO_down	Rat thoracicaorta 3 months vs 6 months GDS3077 aging:119	7/199	0.9642247434369334	1.0	0	0	0.5733639673510175	0.020888151137755297	DNAJA1;SMARCD2;SPARC;IGFBP6;RPL10A;SH2B2;RAB11FIP5
