Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Allen_Brain_Atlas_down	horizontal nucleus of the diagonal band	14/300	0.88635800161077	1.0	0	0	0.7606628633523499	0.09176206626039776	SERPINA11;AMN;KCNK10;ACSL1;DCAKD;NAP1L3;NUP153;TC2N;EML1;GLUD1;SDCBP;ARL6IP4;RDH14;KIF21B
Allen_Brain_Atlas_down	rhombomere 7	14/300	0.88635800161077	1.0	0	0	0.7606628633523499	0.09176206626039776	CCNK;SETD3;RTN1;KCNK10;CYP46A1;PRRC2A;SYNPR;GRM7;MAT2A;RAB24;MATR3;RAC1;PDLIM5;UNC79
Allen_Brain_Atlas_down	sublayer 6a of OCx	14/300	0.88635800161077	1.0	0	0	0.7606628633523499	0.09176206626039776	SPARC;DTNA;SERPINA1;NOTCH4;AQP4;TMEM186;ASB15;DLK1;XKR8;GLUD1;IFI16;PEG10;KDELR2;STEAP1
Allen_Brain_Atlas_down	layer 1 of ERCx	13/300	0.9300814521815682	1.0	0	0	0.7063298016843249	0.05119698331039853	DYNC1H1;CLIC4;RNMT;ITPK1;ARL1;ASH1L;BEGAIN;SNX14;NEFL;EVL;DLAT;KIF3C;LGMN
Allen_Brain_Atlas_down	mantle zone of r10Ve	13/300	0.9300814521815682	1.0	0	0	0.7063298016843249	0.05119698331039853	APP;B3GALNT1;HSP90AA1;SPRYD3;RTN1;DDX24;CYP46A1;MARCH6;MAT2A;UBE2Q2;PPP4R4;RAB24;APBB3
Allen_Brain_Atlas_down	paraventricular nucleus, lateral part	13/300	0.9300814521815682	1.0	0	0	0.7063298016843249	0.05119698331039853	ZFAND2B;DIO3;HSPB1;LRP4;FAIM3;OAZ3;NUDT22;SPIC;HEPH;ASTE1;BTBD2;BDKRB2;IGFBP6
Allen_Brain_Atlas_down	r10 part of the vestibular column	13/300	0.9300814521815682	1.0	0	0	0.7063298016843249	0.05119698331039853	APP;B3GALNT1;HSP90AA1;SPRYD3;RTN1;DDX24;CYP46A1;MARCH6;MAT2A;UBE2Q2;PPP4R4;RAB24;APBB3
Allen_Brain_Atlas_down	Anterior hypothalamic nucleus, anterior part	12/300	0.9601098006714444	1.0	0	0	0.6519967400162999	0.026541239029330345	NUDT22;ATXN3;WARS;PSMC1;BTBD2;ARL6IP4;KIF3C;CDC42BPB;SMC1A;SLC25A47;TRIM23;RAB11FIP5
Allen_Brain_Atlas_down	Brain stem	12/300	0.9601098006714444	1.0	0	0	0.6519967400162999	0.026541239029330345	YY1;EML5;CCNK;RPS6KA5;NETO1;TPM3;ATL2;PAPOLA;PHACTR1;ZC3H14;PPID;MXD4
Allen_Brain_Atlas_down	Lingula (I)	12/300	0.9601098006714444	1.0	0	0	0.6519967400162999	0.026541239029330345	B3GALNT1;RTL1;MOAP1;PAK1;TTC8;PSMD7;DOK3;OPA1;TCP1;AP2S1;EVL;BEGAIN
Allen_Brain_Atlas_down	Lingula (I), granular layer	12/300	0.9601098006714444	1.0	0	0	0.6519967400162999	0.026541239029330345	B3GALNT1;MOAP1;PAK1;TTC8;PSMD7;DOK3;OPA1;APC;TCP1;AP2S1;EVL;BEGAIN
Allen_Brain_Atlas_down	periventricular stratum of r3Lim	12/300	0.9601098006714444	1.0	0	0	0.6519967400162999	0.026541239029330345	FCRL1;GOLGA4;TTC8;SERPINA1;DOK3;APOH;TDP1;GSC;CBX2;CINP;BTBD2;OAZ3
Allen_Brain_Atlas_down	r3 liminal central gray	12/300	0.9601098006714444	1.0	0	0	0.6519967400162999	0.026541239029330345	FCRL1;GOLGA4;TTC8;SERPINA1;DOK3;APOH;TDP1;GSC;CBX2;CINP;BTBD2;OAZ3
Allen_Brain_Atlas_down	rhombomere 10	12/300	0.9601098006714444	1.0	0	0	0.6519967400162999	0.026541239029330345	CCNK;SETD3;RTN1;MRPL1;DDX24;MAT2A;PPP4R4;GRK6;RAB24;TAF1A;RAC1;MXD4
Allen_Brain_Atlas_down	rhombomere 11	12/300	0.9601098006714444	1.0	0	0	0.6519967400162999	0.026541239029330345	CCNK;HSP90AA1;SPRYD3;RTN1;DDX24;MAT2A;APC;TAF1A;MRPS7;DNM1L;ATG2B;MXD4
Allen_Brain_Atlas_down	Cochlear nucleus, subpedunclular granular region	11/300	0.9790637632420204	1.0	0	0	0.5976636783482749	0.012645671468435676	RTL1;RPS6KL1;GOLGA5;CASP6;UBE2Q2;PKIA;DIO3;CCDC53;EVL;SCN3B;CHFR
Allen_Brain_Atlas_down	Entorhinal area, medial part, ventral zone	11/300	0.9790637632420204	1.0	0	0	0.5976636783482749	0.012645671468435676	DYNC1H1;MINPP1;CLIC4;MRPL1;RNMT;SNX14;CPSF2;LSAMP;MPZL1;BEGAIN;MAP2K6
Allen_Brain_Atlas_down	Locus ceruleus	11/300	0.9790637632420204	1.0	0	0	0.5976636783482749	0.012645671468435676	SYT5;TTC8;AMN;DOK3;GSC;GRAP2;CBX2;CINP;BDKRB1;TLR6;ASB2
Allen_Brain_Atlas_down	Medial amygdalar nucleus, posteroventral part	11/300	0.9790637632420204	1.0	0	0	0.5976636783482749	0.012645671468435676	SDCBP;CLIC4;OPA1;CD207;ITPK1;GATAD1;UBE2V2;DRG1;NEFL;NR1D2;KIF3C
Allen_Brain_Atlas_down	Medulla	11/300	0.9790637632420204	1.0	0	0	0.5976636783482749	0.012645671468435676	CCNK;SETD3;RTN1;GRM7;MAT2A;TPM3;RAB24;MATR3;RAC1;CYP46A1;PRRC2A
Allen_Brain_Atlas_down	Olfactory tubercle, molecular layer	11/300	0.9790637632420204	1.0	0	0	0.5976636783482749	0.012645671468435676	APP;PPM1A;PSMD7;PSMC1;SNX14;ITPK1;LSAMP;NAP1L3;LGMN;MAP2K6;HSPD1
Allen_Brain_Atlas_down	Posterior parietal association areas, layer 4	11/300	0.9790637632420204	1.0	0	0	0.5976636783482749	0.012645671468435676	GLUD1;SPARC;DTNA;SPR;PKIA;ITPK1;AQP4;TMEM186;ASB15;DLK1;MAP2K6
Allen_Brain_Atlas_down	Posterior parietal association areas, layer 5	11/300	0.9790637632420204	1.0	0	0	0.5976636783482749	0.012645671468435676	GLUD1;SPARC;DTNA;GIF;PEG10;PKIA;AQP4;STEAP1;TMEM186;ASB15;DLK1
Allen_Brain_Atlas_down	Superior colliculus, motor related, deep white layer	11/300	0.9790637632420204	1.0	0	0	0.5976636783482749	0.012645671468435676	NUDT22;B3GALNT1;DTNA;SERPINA1;C1QTNF7;SERPINA10;CINP;DIO3;STEAP1;MET;TMEM9B
Allen_Brain_Atlas_down	intralaminar nuclei	11/300	0.9790637632420204	1.0	0	0	0.5976636783482749	0.012645671468435676	SYNPR;NETO1;MTHFD2;PEG10;PDE1A;PKIA;KCNK13;KIT;SLC5A11;PHACTR1;IGFBP6
