Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Allen_Brain_Atlas_up	bed nucleus of the stria terminalis, laterocentral division	14/301	0.8890524289729742	1.0	0	0	0.7581357442049999	0.0891560584405219	CLIC4;BCL11B;CEBPD;SERPINA9;AK7;PPP1R2;RPS6KA5;CATSPERB;NETO1;PEG10;PHACTR1;ITGAV;STEAP1;UNC79
Allen_Brain_Atlas_up	periventricular stratum of Pal	14/301	0.8890524289729742	1.0	0	0	0.7581357442049999	0.0891560584405219	CLIC4;BCL11B;CEBPD;SERPINA9;AK7;PPP1R2;RPS6KA5;CATSPERB;NETO1;PEG10;PHACTR1;ITGAV;STEAP1;UNC79
Allen_Brain_Atlas_up	Bed nuclei of the stria terminalis, anterior division, anterolateral area	13/301	0.9319334515563272	1.0	0	0	0.7039831910474998	0.04962650008370935	AMN;COL16A1;BCL11B;CEBPD;PDE1A;SERPINA9;DLK1;PPP1R2;RPS6KA5;NETO1;GRM7;PEG10;CACNG3
Allen_Brain_Atlas_up	Bed nuclei of the stria terminalis, anterior division, juxtacapsular nucleus	13/301	0.9319334515563272	1.0	0	0	0.7039831910474998	0.04962650008370935	COL16A1;BCL11B;CEBPD;SERPINA9;SYNPR;PPP1R2;RPS6KA5;NETO1;GRM7;PEG10;HHIPL1;ITGAV;CACNG3
Allen_Brain_Atlas_up	Dorsal peduncular area, layer 2/3	13/301	0.9319334515563272	1.0	0	0	0.7039831910474998	0.04962650008370935	SERPINA11;SERPINA12;WDR25;GPR65;DICER1;SERPINA5;YY1;TAF6L;MAS1;GOLGA4;ZNF839;SOX17;APBB3
Allen_Brain_Atlas_up	secondary prosencephalon	13/301	0.9319334515563272	1.0	0	0	0.7039831910474998	0.04962650008370935	BCL11B;CEBPD;ROCK2;PDE1A;LRP4;SERPINA9;MAS1;RPS6KA5;TSPAN5;PHACTR1;ITGAV;CACNG3;PPID
Allen_Brain_Atlas_up	septopallidal shell area	13/301	0.9319334515563272	1.0	0	0	0.7039831910474998	0.04962650008370935	BCL11B;SLC5A11;SERPINA9;PIK3CG;PPP1R2;GOLGA5;RPS6KA5;ZNF839;NETO1;GRM7;SLMAP;CINP;UNC79
Allen_Brain_Atlas_up	Nucleus of the optic tract	12/301	0.9612797476742336	1.0	0	0	0.6498306378899998	0.02566168957646646	FCRL1;CCBE1;MAS1;SMARCD2;MRPL1;BCL11B;PKIA;DCAKD;ATL2;TAF1A;DSG4;UNC79
Allen_Brain_Atlas_up	alar plate of evaginated telencephalic vesicle	12/301	0.9612797476742336	1.0	0	0	0.6498306378899998	0.02566168957646646	MAS1;RPS6KA5;BCL11B;CEBPD;ROCK2;PDE1A;TSPAN5;LRP4;PHACTR1;ITGAV;SERPINA9;PPID
Allen_Brain_Atlas_up	anterior pretectal nucleus, dorsal core part	12/301	0.9612797476742336	1.0	0	0	0.6498306378899998	0.02566168957646646	CCBE1;SMARCD2;COL16A1;CLMN;TDP1;DCAKD;TAF1A;SLC29A1;CYP46A1;DSG4;EML1;GRM1
Allen_Brain_Atlas_up	caudal secondary prosencephalon	12/301	0.9612797476742336	1.0	0	0	0.6498306378899998	0.02566168957646646	MAS1;RPS6KA5;BCL11B;CEBPD;ROCK2;PDE1A;LRP4;PHACTR1;ITGAV;SERPINA9;CACNG3;PPID
Allen_Brain_Atlas_up	dorsolateral part of Lat	12/301	0.9612797476742336	1.0	0	0	0.6498306378899998	0.02566168957646646	XKR8;C14ORF159;BTG1;MRPL1;KCNK10;UBE2V2;BDKRB1;SERPINA9;ASB2;TMEM186;MYOM2;SERPINA5
Allen_Brain_Atlas_up	forebrain	12/301	0.9612797476742336	1.0	0	0	0.6498306378899998	0.02566168957646646	CCBE1;MAS1;RPS6KA5;BCL11B;CEBPD;PDE1A;TSPAN5;LRP4;ITGAV;SERPINA9;CACNG3;PPID
Allen_Brain_Atlas_up	intermediate stratum of PcPL	12/301	0.9612797476742336	1.0	0	0	0.6498306378899998	0.02566168957646646	CCBE1;SMARCD2;COL16A1;CLMN;TDP1;DCAKD;TAF1A;SLC29A1;CYP46A1;DSG4;EML1;GRM1
Allen_Brain_Atlas_up	mantle zone of r5Co	12/301	0.9612797476742336	1.0	0	0	0.6498306378899998	0.02566168957646646	IFITM3;XKR8;DTNA;MRPL1;SOX17;HEPH;CNOT2;ID1;KDELR2;STEAP1;ASB2;PIK3CG
Allen_Brain_Atlas_up	paraseptal subpallium	12/301	0.9612797476742336	1.0	0	0	0.6498306378899998	0.02566168957646646	PPP1R2;RPS6KA5;BCL11B;NETO1;GRM7;PEG10;CINP;SLC5A11;PHACTR1;SERPINA9;PIK3CG;UNC79
Allen_Brain_Atlas_up	r5 part of posteroventral cochlear nucleus	12/301	0.9612797476742336	1.0	0	0	0.6498306378899998	0.02566168957646646	IFITM3;XKR8;DTNA;MRPL1;SOX17;CNOT2;ID1;LEO1;ARHGEF2;STEAP1;ASB2;PIK3CG
Allen_Brain_Atlas_up	r5 part of the cochlear column	12/301	0.9612797476742336	1.0	0	0	0.6498306378899998	0.02566168957646646	IFITM3;XKR8;DTNA;MRPL1;SOX17;HEPH;CNOT2;ID1;KDELR2;STEAP1;ASB2;PIK3CG
Allen_Brain_Atlas_up	superficial stratum of r5Co	12/301	0.9612797476742336	1.0	0	0	0.6498306378899998	0.02566168957646646	IFITM3;XKR8;DTNA;MRPL1;SOX17;CNOT2;ID1;LEO1;ARHGEF2;STEAP1;ASB2;PIK3CG
Allen_Brain_Atlas_up	Ammon's horn	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	CCBE1;SERPINA3;MAS1;RPS6KL1;RGS14;KIT;TAF1A;CCDC53;DLAT;PDLIM5;TMEM9B
Allen_Brain_Atlas_up	Anterior pretectal nucleus	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	FCRL1;CCBE1;MAS1;SMARCD2;COL16A1;CLMN;TDP1;DCAKD;TAF1A;SLC29A1;UNC79
Allen_Brain_Atlas_up	Bed nuclei of the stria terminalis, anterior division, oval nucleus	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	SYNPR;PPP1R2;RPS6KA5;BCL11B;NETO1;GRM7;CEBPD;PEG10;ITGAV;SERPINA9;CACNG3
Allen_Brain_Atlas_up	Caudoputamen	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	EML5;PPP1R2;RPS6KA5;BCL11B;NETO1;CEBPD;PPP4R4;VRK1;PHACTR1;SERPINA9;UNC79
Allen_Brain_Atlas_up	Dentate nucleus	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	GLUD1;MRPL1;ASTE1;CNOT2;UBE2V2;NUP153;SERPINA9;TMEM186;MYOM2;MPZL1;SERPINA5
Allen_Brain_Atlas_up	Field CA2, pyramidal layer	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	CCBE1;SERPINA3;MAS1;SYCE2;CLIC4;SLC25A29;RGS14;ACSL1;CNOT2;LEO1;PDLIM5
Allen_Brain_Atlas_up	Infralimbic area, layer 2	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	SERPINA11;YY1;SERPINA12;GOLGA4;DTNA;CATSPERB;SOX17;SLMAP;GPR65;TNFAIP2;PIK3CG
Allen_Brain_Atlas_up	Lobule III, granular layer	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	PREX2;SLC46A1;SMARCD2;RPS6KA5;BTG1;KCNK10;PTPRZ1;KIT;AQP4;MPZL1;GRM1
Allen_Brain_Atlas_up	Nucleus accumbens	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	PPP1R2;RPS6KA5;BCL11B;NETO1;GRM7;CEBPD;SLMAP;PHACTR1;ITGAV;SERPINA9;UNC79
Allen_Brain_Atlas_up	Olfactory tubercle, pyramidal layer	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	PPP1R2;RPS6KA5;BCL11B;C1QTNF7;GPR65;GRAP2;SLC5A11;HHIPL1;ITGAV;SERPINA9;DEGS2
Allen_Brain_Atlas_up	Pretectal region	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	FCRL1;CCBE1;MAS1;SMARCD2;COL16A1;BCL11B;TDP1;DCAKD;SLC29A1;DSG4;UNC79
Allen_Brain_Atlas_up	Striatum	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	EML5;PPP1R2;RPS6KA5;BCL11B;NETO1;CEBPD;PPP4R4;VRK1;PHACTR1;SERPINA9;UNC79
Allen_Brain_Atlas_up	Striatum dorsal region	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	EML5;PPP1R2;RPS6KA5;BCL11B;NETO1;CEBPD;PPP4R4;VRK1;PHACTR1;SERPINA9;UNC79
Allen_Brain_Atlas_up	Subiculum, dorsal part, molecular layer	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	FCRL1;CCBE1;SYCE2;SMARCD2;BTG1;MRPL1;BCL11B;DLG3;RGS14;LRP4;SLC25A47
Allen_Brain_Atlas_up	central subpallium (classic basal ganglia)	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	EML5;PPP1R2;RPS6KA5;BCL11B;NETO1;CEBPD;PPP4R4;VRK1;PHACTR1;SERPINA9;UNC79
Allen_Brain_Atlas_up	core part of the anterobasal nucleus	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	IFITM3;SERPINA3;GOLGA5;UBE2Q2;POLDIP3;PEG10;GRAP2;G3BP1;SLC5A11;TMEM209;DEGS2
Allen_Brain_Atlas_up	mantle zone of SePal	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	PPP1R2;RPS6KA5;BCL11B;NETO1;GRM7;PEG10;CINP;SLC5A11;SERPINA9;PIK3CG;UNC79
Allen_Brain_Atlas_up	mantle zone of Str	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	EML5;PPP1R2;RPS6KA5;BCL11B;NETO1;CEBPD;PPP4R4;VRK1;PHACTR1;SERPINA9;UNC79
Allen_Brain_Atlas_up	nucleus of the stria terminalis, medial division, anterior part	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	PPP1R2;CLIC4;BCL11B;CAPN6;NETO1;GRM7;PEG10;PDE1A;LEO1;DLK1;UNC79
Allen_Brain_Atlas_up	pallidal part of olfactory tuberculum	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	PPP1R2;RPS6KL1;RPS6KA5;BCL11B;C1QTNF7;GPR65;G3BP1;HHIPL1;ITGAV;SERPINA9;SH2B2
Allen_Brain_Atlas_up	r2 part of the trigeminal motor nucleus	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	ANKRD9;GALC;SERPINA3;SPR;GPR68;GSC;IGHMBP2;CAPN2;HSPB1;SMC1A;MYOM2
Allen_Brain_Atlas_up	r7 part of trigeminal transition zone	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	ANKRD9;SERPINA12;SERPINA3;PAIP2B;DOK3;GIF;GSC;HSPB1;KDELR2;URB2;PIK3CG
Allen_Brain_Atlas_up	septopallidal transition area	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	PPP1R2;RPS6KA5;BCL11B;NETO1;GRM7;PEG10;CINP;SLC5A11;SERPINA9;PIK3CG;UNC79
Allen_Brain_Atlas_up	striatum (corpus striatum)	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	EML5;PPP1R2;RPS6KA5;BCL11B;NETO1;CEBPD;PPP4R4;VRK1;PHACTR1;SERPINA9;UNC79
Allen_Brain_Atlas_up	sublayer 6b of FCx	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	CEBPD;ACSL1;ROCK2;PDE1A;TAF1A;KRIT1;TSPAN5;ITGAV;PDLIM5;PPID;SERPINA5
Allen_Brain_Atlas_up	superficial stratum of Pal	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	PPP1R2;RPS6KL1;RPS6KA5;BCL11B;C1QTNF7;GPR65;G3BP1;HHIPL1;ITGAV;SERPINA9;SH2B2
Allen_Brain_Atlas_up	superficial stratum of r2Lim	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	ANKRD9;GALC;SERPINA3;SPR;GPR68;GSC;IGHMBP2;CAPN2;HSPB1;SMC1A;MYOM2
Allen_Brain_Atlas_up	telencephalic vesicle	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	MAS1;RPS6KA5;BCL11B;CEBPD;ROCK2;PDE1A;LRP4;PHACTR1;ITGAV;SERPINA9;PPID
Allen_Brain_Atlas_up	temporal muscle trigeminal motor cell group	11/301	0.9797383242029832	1.0	0	0	0.5956780847325001	0.012193386890903256	GALC;SERPINA3;SPR;GPR68;UBR7;GSC;IGHMBP2;CAPN2;HSPB1;SMC1A;MYOM2
