Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BioCarta_2016	Cycling of Ran in nucleocytoplasmic transport Homo sapiens h ranPathway	2/9	0.1016066838592796	1.0	0	0	3.622204111201666	8.282698397120452	NUP62;NUP153
BioCarta_2016	Polyadenylation of mRNA Homo sapiens h cpsfPathway	2/9	0.1016066838592796	1.0	0	0	3.622204111201666	8.282698397120452	CPSF2;PAPOLA
BioCarta_2016	p38 MAPK Signaling Pathway  Homo sapiens h p38mapkPathway	4/30	0.10896375154344644	1.0	0	0	2.1733224667210003	4.817690859459566	RPS6KA5;HSPB1;RAC1;MAP2K6
BioCarta_2016	fMLP induced chemokine gene expression in HMC-1 cells Homo sapiens h fMLPpathway	4/30	0.10896375154344644	1.0	0	0	2.1733224667210003	4.817690859459566	PAK1;MAPK1;RAC1;MAP2K6
BioCarta_2016	Mechanism of Protein Import into the Nucleus Homo sapiens h npcPathway	2/12	0.16529135979264584	1.0	0	0	2.716653083401249	4.890099281114446	NUP62;NUP153
BioCarta_2016	Melanocyte Development and Pigmentation Pathway Homo sapiens h melanocytepathway	2/13	0.1878035462248389	1.0	0	0	2.5076797692934614	4.193740403485409	KIT;MAPK1
BioCarta_2016	Sumoylation by RanBP2 Regulates Transcriptional Repression Homo sapiens h ranbp2Pathway	2/14	0.21069700103573602	1.0	0	0	2.3285597857725	3.626345771593989	NUP62;NUP153
BioCarta_2016	Links between Pyk2 and Map Kinases Homo sapiens h pyk2Pathway	3/26	0.21182640723607465	1.0	0	0	1.880759826970096	2.9189170087074174	PAK1;MAPK1;RAC1
BioCarta_2016	Influence of Ras and Rho proteins on G1 to S Transition Homo sapiens h RacCycDPathway	3/28	0.2449097439472495	1.0	0	0	1.7464198393293746	2.456977870000829	PAK1;MAPK1;RAC1
BioCarta_2016	Role of PI3K subunit p85 in regulation of Actin Organization and Cell Migration Homo sapiens h cdc42racPathway	2/16	0.2571168681159845	1.0	0	0	2.0374898125509366	2.767368699467789	PAK1;RAC1
BioCarta_2016	Human Cytomegalovirus and Map Kinase Pathways Homo sapiens h hcmvPathway	2/16	0.2571168681159845	1.0	0	0	2.0374898125509366	2.767368699467789	MAPK1;MAP2K6
BioCarta_2016	VEGF, Hypoxia, and Angiogenesis Homo sapiens h vegfPathway	3/30	0.27872270731833804	1.0	0	0	1.6299918500407498	2.0823763194246183	HSP90AA1;KDR;BDKRB2
BioCarta_2016	mCalpain and friends in Cell motility Homo sapiens h mCalpainPathway	3/30	0.27872270731833804	1.0	0	0	1.6299918500407498	2.0823763194246183	CAPN2;MAPK1;RAC1
