Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BioPlanet_2019	Caffeine metabolism	3/7	0.006687619516102358	1.0	0	0	6.9856793573174985	34.980770487970645	CYP2A7;CYP2A6;CYP2A13
BioPlanet_2019	Signal transduction by L1	6/35	0.018492959074189998	1.0	0	0	2.794271742927	11.150164750052841	PAK1;RPS6KA5;AP2S1;MAPK1;ITGAV;RAC1
BioPlanet_2019	S1P/S1P1 pathway	4/21	0.03653323830359866	1.0	0	0	3.10474638103	10.275259966060725	KDR;MAPK1;ITGAV;RAC1
BioPlanet_2019	Drug metabolism: other enzymes	7/52	0.03852567667040548	1.0	0	0	2.1942197981317784	7.145323908960901	UGT1A10;CYP2A7;CYP2A6;CYP2A13;UGT1A9;UGT1A8;UGT1A7
BioPlanet_2019	Irinotecan pathway	3/13	0.04147437825365299	1.0	0	0	3.761519653940192	11.97171124276218	UGT1A10;APC;UGT1A9
BioPlanet_2019	Nicotine metabolism	2/6	0.047812774112470084	1.0	0	0	5.433306166802499	16.51976329443383	CYP2A6;UGT1A9
BioPlanet_2019	PIK3C1/B pathway	2/6	0.047812774112470084	1.0	0	0	5.433306166802499	16.51976329443383	MAPK1;PIK3CG
BioPlanet_2019	Sema3A/PAK-dependent axon repulsion	3/15	0.060265276996608164	1.0	0	0	3.2599837000814995	9.157291535917278	HSP90AA1;PAK1;RAC1
BioPlanet_2019	Ascorbate and aldarate metabolism	4/26	0.07182143122650331	1.0	0	0	2.5076797692934614	6.6041561342034125	UGT1A10;UGT1A9;UGT1A8;UGT1A7
BioPlanet_2019	Glucuronidation	4/27	0.0804008774707597	1.0	0	0	2.4148027408011106	6.0870661693171595	UGT1A10;UGT1A9;UGT1A8;UGT1A7
BioPlanet_2019	Sema4D-mediated inhibition of cell attachment and migration	2/8	0.08227872977429837	1.0	0	0	4.074979625101873	10.177842918334543	RAC1;MET
BioPlanet_2019	ACE inhibitor pathway	3/17	0.08231932205914567	1.0	0	0	2.8764562059542644	7.182940954763048	MAS1;BDKRB2;BDKRB1
BioPlanet_2019	Signaling events mediated by focal adhesion kinase	7/62	0.08436336106405116	1.0	0	0	1.8403133790782655	4.5503994993672405	PAK1;ROCK2;CAPN2;PTPN21;MAPK1;ITGAV;RAC1
BioPlanet_2019	Human cytomegalovirus and MAP kinase pathways	3/18	0.09446349118249313	1.0	0	0	2.716653083401249	6.410056658035535	MAPK1;PIK3CG;MAP2K6
BioPlanet_2019	Pentose and glucuronate interconversions	4/29	0.09898848943137836	1.0	0	0	2.2482646207458616	5.19967783262154	UGT1A10;UGT1A9;UGT1A8;UGT1A7
BioPlanet_2019	Polyadenylation of mRNA	2/9	0.1016066838592796	1.0	0	0	3.622204111201666	8.282698397120452	CPSF2;PAPOLA
BioPlanet_2019	Retinol metabolism	7/65	0.10239607862911053	1.0	0	0	1.755375838505423	4.000338043315922	UGT1A10;CYP2A7;CYP2A6;CYP2A13;UGT1A9;UGT1A8;UGT1A7
BioPlanet_2019	Alpha-V beta-3 integrin/OPN pathway	4/31	0.11936859564192527	1.0	0	0	2.103215290375161	4.47046639996484	ROCK2;MAPK1;ITGAV;RAC1
BioPlanet_2019	Tetrahydrobiopterin (BH4) biosynthesis, recycling, salvage and regulation	2/10	0.12201822028038392	1.0	0	0	3.2599837000814995	6.857652481954178	HSP90AA1;SPR
BioPlanet_2019	L1CAM interactions	9/94	0.1223600348024213	1.0	0	0	1.5606304947198668	3.2785529968366296	SDCBP;PAK1;RPS6KA5;DLG3;AP2S1;MAPK1;ITGAV;RAC1;SCN3B
BioPlanet_2019	Hypothetical network for drug addiction	4/32	0.13018272564447322	1.0	0	0	2.0374898125509366	4.154067305524708	PPA1;KRIT1;MAPK1;GRM1
BioPlanet_2019	CD28-dependent Vav1 pathway	2/11	0.14330789545226905	1.0	0	0	2.963621545528636	5.75760494421504	PAK1;RAC1
BioPlanet_2019	Down syndrome cell adhesion molecule (DSCAM) interactions	2/11	0.14330789545226905	1.0	0	0	2.963621545528636	5.75760494421504	PAK1;RAC1
BioPlanet_2019	Mechanism of protein import into the nucleus	2/11	0.14330789545226905	1.0	0	0	2.963621545528636	5.75760494421504	NUP62;NUP153
BioPlanet_2019	MAPK/TRK pathway	4/34	0.1529521222532402	1.0	0	0	1.917637470636176	3.6006142825846106	RIT1;RPS6KA5;MAPK1;MAP2K6
BioPlanet_2019	CREB transcription factor and its extracellular signals	3/23	0.16437961420187674	1.0	0	0	2.126076326140108	3.8387941006781583	RPS6KA5;MAPK1;RAC1
BioPlanet_2019	fMLP induced chemokine gene expression in HMC-1 cells	4/35	0.16486185374268375	1.0	0	0	1.862847828618	3.3580578056872232	PAK1;MAPK1;RAC1;MAP2K6
BioPlanet_2019	Caspase-mediated cleavage of cytoskeletal proteins	2/12	0.16529135979264584	1.0	0	0	2.716653083401249	4.890099281114446	CASP6;ADD1
BioPlanet_2019	Tandem pore domain potassium channels	2/12	0.16529135979264584	1.0	0	0	2.716653083401249	4.890099281114446	KCNK10;KCNK13
BioPlanet_2019	Phospholipids as signaling intermediaries	4/36	0.17709017073761762	1.0	0	0	1.811102055600833	3.1351919531518977	MAPK1;ITGAV;RAC1;PIK3CG
BioPlanet_2019	Tumor suppressor Arf inhibits ribosomal biogenesis	3/24	0.1798397725563456	1.0	0	0	2.0374898125509366	3.4956988120978933	HSP90AA1;RAC1;PIK3CG
BioPlanet_2019	Advanced glycosylation endproduct receptor signaling	2/13	0.1878035462248389	1.0	0	0	2.5076797692934614	4.193740403485409	APP;MAPK1
BioPlanet_2019	Melanocyte development and pigmentation pathway	2/13	0.1878035462248389	1.0	0	0	2.5076797692934614	4.193740403485409	KIT;MAPK1
BioPlanet_2019	Mitochondrial pathway of apoptosis: caspases	7/77	0.19264793294672114	1.0	0	0	1.481810772764318	2.4403807328234914	HSP90AA1;CAPN6;CASP6;CAPN2;HSPB1;MAPK1;HSPD1
BioPlanet_2019	MAPK cascade role in angiogenesis	6/64	0.19784943125127555	1.0	0	0	1.528117359413203	2.475930601773996	PAK1;APC;KDR;MAPK1;RAC1;MAP2K6
BioPlanet_2019	Signaling events mediated by HDAC class II	4/38	0.20240578653524727	1.0	0	0	1.7157808947797364	2.7409269547059183	YWHAE;HSP90AA1;NUP62;NUP153
BioPlanet_2019	Signaling of hepatocyte growth factor receptor	4/38	0.20240578653524727	1.0	0	0	1.7157808947797364	2.7409269547059183	PAK1;MAPK1;MET;PIK3CG
BioPlanet_2019	Activation of Rac	2/14	0.21069700103573602	1.0	0	0	2.3285597857725	3.626345771593989	PAK1;RAC1
