Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BioPlex_2017	ENDOG	3/13	0.04147437825365299	1.0	0	0	3.761519653940192	11.97171124276218	DNAJA1;GRK6;EVL
BioPlex_2017	BICD2	3/13	0.04147437825365299	1.0	0	0	3.761519653940192	11.97171124276218	CAPN6;CCDC53;NEFL
BioPlex_2017	WASF2	3/14	0.05044285190690991	1.0	0	0	3.492839678658749	10.432812535461725	NHSL2;CCDC53;EVL
BioPlex_2017	MIA3	3/18	0.09446349118249313	1.0	0	0	2.716653083401249	6.410056658035535	SERPINA12;SERPINA10;SERPINA5
BioPlex_2017	TEX13A	3/18	0.09446349118249313	1.0	0	0	2.716653083401249	6.410056658035535	SMARCD2;SETD3;CNOT2
BioPlex_2017	WRAP73	3/20	0.12074489471666452	1.0	0	0	2.4449877750611244	5.1688881836734595	SDCBP;CNOT2;ZC3H14
BioPlex_2017	LRPAP1	2/10	0.12201822028038392	1.0	0	0	3.2599837000814995	6.857652481954178	ROCK2;LRP4
BioPlex_2017	G3BP2	2/10	0.12201822028038392	1.0	0	0	3.2599837000814995	6.857652481954178	G3BP1;NUP153
BioPlex_2017	DCAKD	2/10	0.12201822028038392	1.0	0	0	3.2599837000814995	6.857652481954178	TMEM9B;DLK1
BioPlex_2017	PCBP1	2/11	0.14330789545226905	1.0	0	0	2.963621545528636	5.75760494421504	HSP90AA1;MET
BioPlex_2017	GANAB	2/11	0.14330789545226905	1.0	0	0	2.963621545528636	5.75760494421504	RUFY3;TCP1
BioPlex_2017	HECTD1	2/11	0.14330789545226905	1.0	0	0	2.963621545528636	5.75760494421504	CAPN6;CINP
BioPlex_2017	WASF1	2/11	0.14330789545226905	1.0	0	0	2.963621545528636	5.75760494421504	NHSL2;CCDC53
BioPlex_2017	CIRBP	2/11	0.14330789545226905	1.0	0	0	2.963621545528636	5.75760494421504	PAIP2B;MRPL1
BioPlex_2017	TRPV5	2/11	0.14330789545226905	1.0	0	0	2.963621545528636	5.75760494421504	YY1;GCLM
BioPlex_2017	GBP2	2/11	0.14330789545226905	1.0	0	0	2.963621545528636	5.75760494421504	HSP90AA1;ADD1
BioPlex_2017	DSG4	4/35	0.16486185374268375	1.0	0	0	1.862847828618	3.3580578056872232	B3GALNT1;MAS1;GSC;OAZ3
BioPlex_2017	QARS	2/12	0.16529135979264584	1.0	0	0	2.716653083401249	4.890099281114446	PPM1A;SDCBP
BioPlex_2017	ADD2	2/12	0.16529135979264584	1.0	0	0	2.716653083401249	4.890099281114446	ROCK2;ADD1
BioPlex_2017	USP10	2/12	0.16529135979264584	1.0	0	0	2.716653083401249	4.890099281114446	SMEK1;G3BP1
BioPlex_2017	KLHL33	2/12	0.16529135979264584	1.0	0	0	2.716653083401249	4.890099281114446	TCP1;HSPD1
BioPlex_2017	ST6GALNAC3	2/12	0.16529135979264584	1.0	0	0	2.716653083401249	4.890099281114446	DSG4;SCN3B
BioPlex_2017	ARHGAP36	2/13	0.1878035462248389	1.0	0	0	2.5076797692934614	4.193740403485409	PTPRD;ATG2B
BioPlex_2017	POLA2	2/13	0.1878035462248389	1.0	0	0	2.5076797692934614	4.193740403485409	RAC1;MPZL1
BioPlex_2017	PRAF2	2/13	0.1878035462248389	1.0	0	0	2.5076797692934614	4.193740403485409	TSPAN5;DLK1
BioPlex_2017	PSMD2	2/13	0.1878035462248389	1.0	0	0	2.5076797692934614	4.193740403485409	PSMD7;PSMC1
BioPlex_2017	CCDC9	2/13	0.1878035462248389	1.0	0	0	2.5076797692934614	4.193740403485409	WSB2;ARL6IP4
BioPlex_2017	GOLGA4	2/13	0.1878035462248389	1.0	0	0	2.5076797692934614	4.193740403485409	UBR7;CCDC53
BioPlex_2017	FYCO1	2/13	0.1878035462248389	1.0	0	0	2.5076797692934614	4.193740403485409	DTNA;TCP1
BioPlex_2017	CELF5	2/13	0.1878035462248389	1.0	0	0	2.5076797692934614	4.193740403485409	PAIP2B;PUM2
BioPlex_2017	NOL8	2/13	0.1878035462248389	1.0	0	0	2.5076797692934614	4.193740403485409	URB2;RPL10A
BioPlex_2017	TMEM87A	2/13	0.1878035462248389	1.0	0	0	2.5076797692934614	4.193740403485409	TSPAN5;SCN3B
BioPlex_2017	DUSP23	2/13	0.1878035462248389	1.0	0	0	2.5076797692934614	4.193740403485409	DNM1L;PRRC2A
BioPlex_2017	LITAF	3/25	0.1956719845484276	1.0	0	0	1.9559902200489	3.190837300577256	PTPRD;SDCBP;PUM2
BioPlex_2017	CRYAB	3/25	0.1956719845484276	1.0	0	0	1.9559902200489	3.190837300577256	MAS1;HSPB1;OAZ3
BioPlex_2017	PSMC6	2/14	0.21069700103573602	1.0	0	0	2.3285597857725	3.626345771593989	PSMC1;ZFAND2B
BioPlex_2017	ZYX	2/14	0.21069700103573602	1.0	0	0	2.3285597857725	3.626345771593989	MAS1;EVL
BioPlex_2017	ODF1	2/14	0.21069700103573602	1.0	0	0	2.3285597857725	3.626345771593989	PSMD7;TCP1
BioPlex_2017	SATB2	2/14	0.21069700103573602	1.0	0	0	2.3285597857725	3.626345771593989	NR1D2;ASB3
BioPlex_2017	PSMD1	2/14	0.21069700103573602	1.0	0	0	2.3285597857725	3.626345771593989	PSMD7;PSMC1
BioPlex_2017	TRPC4AP	3/26	0.21182640723607465	1.0	0	0	1.880759826970096	2.9189170087074174	RNMT;MPZL1;PRRC2A
BioPlex_2017	SYNC	4/39	0.215444208369742	1.0	0	0	1.6717865128623073	2.5662813981703074	GOLGA5;APC;SLMAP;NEFL
BioPlex_2017	PKP3	3/27	0.228254600335176	1.0	0	0	1.811102055600833	2.675529484562292	B3GALNT1;MAS1;OAZ3
