Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CCLE_Proteomics_2020	VMRCRCW KIDNEY TenPx01	6/134	0.837574500749774	1.0	0	0	0.7298470970331715	0.12936179478169785	UGT1A10;CAPN6;TSPAN5;LRRFIP1;UGT1A9;MET
CCLE_Proteomics_2020	HUH1 LIVER TenPx03	7/199	0.9642247434369334	1.0	0	0	0.5733639673510175	0.020888151137755297	GLUD1;SERPINA1;CNIH1;APOH;MPC2;GCLM;HSPD1
CCLE_Proteomics_2020	HCC1954 BREAST TenPx08	5/161	0.9724088049883842	1.0	0	0	0.5062086490809782	0.014163202517596852	RIT1;GRK6;ASH1L;PDLIM5;MPZL1
CCLE_Proteomics_2020	AU565 BREAST TenPx01	9/250	0.9730079862120702	1.0	0	0	0.5867970660146699	0.016056521666415673	SLC46A1;RPS6KA5;SMEK1;CAPN6;TDP1;MPC2;DLAT;TC2N;ATG2B
CCLE_Proteomics_2020	HSC3 UPPER AERODIGESTIVE TRACT TenPx07	7/209	0.975269250780294	1.0	0	0	0.5459302847026435	0.013671017749018143	GOLGA5;DDX24;MTHFD2;GLRX5;PTPN21;TMEM209;DICER1
CCLE_Proteomics_2020	RPMI7951 SKIN TenPx01	2/91	0.978338694378964	1.0	0	0	0.3582399670419231	0.00784522443877055	CAPN6;SERPINA5
CCLE_Proteomics_2020	KMRC1 KIDNEY TenPx01	3/125	0.9847640211881036	1.0	0	0	0.3911980440097799	0.006006157030792647	RIT1;MPZL1;SERPINA5
CCLE_Proteomics_2020	RERFLCMS LUNG TenPx01	2/101	0.9874491081521758	1.0	0	0	0.3227706633744059	0.004076696630538129	APOH;SERPINA5
CCLE_Proteomics_2020	A2058 SKIN TenPx03	2/103	0.9887577139385874	1.0	0	0	0.3165032718525728	0.0035783727689783994	WARS;PEG10
CCLE_Proteomics_2020	SW48 LARGE INTESTINE TenPx07	7/236	0.9913524292166253	1.0	0	0	0.4834721589103919	0.004199041752317842	SMEK1;TRAF3;KDR;ASNS;PTPN21;FAM3D;TECPR2
CCLE_Proteomics_2020	WM1799 SKIN TenPx08	8/261	0.9919639795735852	1.0	0	0	0.499614360165747	0.004031130106572025	SDCBP;WARS;ASTE1;APC;GRAP2;ITPK1;MAPK1;ATG2B
CCLE_Proteomics_2020	OE33 OESOPHAGUS TenPx10	11/341	0.9949131601366502	1.0	0	0	0.5258038225937902	0.002681505837426707	NUDT22;APP;TCL1A;MGRN1;RUFY3;TSPAN5;PTPN21;CCDC53;STEAP1;MET;TMEM9B
CCLE_Proteomics_2020	HCC827 LUNG TenPx10	8/274	0.9951845663138216	1.0	0	0	0.47591002920897796	0.002297248760624951	SDCBP;TTC8;RUFY3;ATL2;TSPAN5;BTN3A3;TC2N;MET
CCLE_Proteomics_2020	786O KIDNEY TenPx10	12/366	0.9953994967384746	1.0	0	0	0.5344235573904098	0.0024642901626185077	PREX2;CLIC4;TTC8;TPM3;EPB41L2;CUL2;NEFL;HSPB1;PTPN21;LRRFIP1;PDLIM5;RAB11FIP5
CCLE_Proteomics_2020	SNU449 LIVER TenPx39	12/367	0.9955597784517836	1.0	0	0	0.5329673624111443	0.00237176264827926	PSMD7;CLMN;PEG10;EPB41L2;FN3KRP;YME1L1;LRRFIP1;SLC29A1;EML1;MYOM2;MPZL1;TRIM23
CCLE_Proteomics_2020	IGR39 SKIN TenPx07	10/324	0.9958514431989832	1.0	0	0	0.5030839043335648	0.002091413332071114	FAM133B;TCL1A;RIT1;ASTE1;PNPLA8;KDR;NEFL;PTPN21;PUM2;ATG2B
CCLE_Proteomics_2020	CAL851 BREAST TenPx07	8/279	0.9960600976467886	1.0	0	0	0.4673811756389247	0.0018450732894875691	SERPINA3;COL16A1;OPA1;NUP153;ITGAV;DLAT;MRPS7;STEAP1
CCLE_Proteomics_2020	HS695T SKIN TenPx05	6/235	0.9967393744432846	1.0	0	0	0.4161681319252978	0.0013591855505867266	RTL1;SMEK1;TAF1A;KRIT1;ARHGEF2;SERPINA5
CCLE_Proteomics_2020	KMRC20 KIDNEY TenPx02	3/156	0.9968506924428058	1.0	0	0	0.3134599711616827	0.0009887395970940257	ACSL1;UGT1A9;MET
CCLE_Proteomics_2020	HCC56 LARGE INTESTINE TenPx07	7/263	0.9971723715947332	1.0	0	0	0.4338381349918345	0.0012284706827670046	CAPN6;DLG3;EPB41L2;FAM3D;MRPS7;ADD1;HSPD1
CCLE_Proteomics_2020	MKN7 STOMACH TenPx17	11/358	0.9972793750323736	1.0	0	0	0.5008354846493923	0.0013644424350458624	TM9SF2;SLC25A29;DTNA;RNMT;EPB41L2;IGHMBP2;CACNA1A;PRPF4B;SLC29A1;ASB3;RAB11FIP5
CCLE_Proteomics_2020	SKHEP1 LIVER TenPx02	2/130	0.9975208637140782	1.0	0	0	0.2507679769293461	0.0006224598916097178	CCBE1;EML5
