Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CORUM	CAND1-CUL2-RBX1 complex (human)	2/3	0.01082195538332776	1.0	0	0	10.866612333604998	49.18422496653302	CAND1;CUL2
CORUM	Amyloid beta protein oligomer (human)	1/1	0.06134977209381854	1.0	0	0	16.299918500407493	45.495742831039934	APP
CORUM	TCL1(homotrimer) complex (human)	1/1	0.06134977209381854	1.0	0	0	16.299918500407493	45.495742831039934	TCL1A
CORUM	Emerin complex 25 (human)	3/16	0.07090471259250619	1.0	0	0	3.056234718826406	8.088075731948345	YWHAE;G3BP1;EMD
CORUM	ITGAV-ITGB5 complex (human)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	ITGAV
CORUM	ITGAV-ITGB6 complex (human)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	ITGAV
CORUM	YY1-Notch1 complex (human)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	YY1
CORUM	HDAC4-ERK2 complex (human)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	MAPK1
CORUM	P-TEFb.4 complex (human)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	CCNK
CORUM	DLP1-hFIS1 complex (human)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	DNM1L
CORUM	LSD1-CoREST complex (human)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	RCOR1
CORUM	ITGAV-ITGB1 complex (human)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	ITGAV
CORUM	HGF-Met complex (human)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	MET
CORUM	hs4 enhancer complex (slow migrating complex) (human)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	YY1
CORUM	ARD1-NATH complex (human)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	TRIM23
CORUM	APP-TOMM40 complex (human)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	APP
CORUM	APP-TIMM23 complex (human)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	APP
CORUM	SMC1-SMC3 complex (human)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	SMC1A
CORUM	Yy1-Ppargc1a complex (mouse)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	YY1
CORUM	CoREST-HDAC2 complex (human)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	RCOR1
CORUM	Ubiquitin-protein-ligase (UBE2N, UBE2V2/MMS2) (human)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	UBE2V2
CORUM	Pik3r5-Pik3cg complex (mouse)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	PIK3CG
CORUM	SERPINA1-ELA2 complex (human)	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	SERPINA1
