Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
COVID-19_Related_Gene_Sets	SARS coronavirus nsp8-pp1a from Virus-Host PPI P-HIPSTer 2020	5/45	0.13990326357170044	1.0	0	0	1.811102055600833	3.562082893586132	APP;DYNC1H1;TPM3;CAPN2;RCOR1
COVID-19_Related_Gene_Sets	Up-regulated due to SARS-CoV-2 infection from a phosphoproteomics study	2/12	0.16529135979264584	1.0	0	0	2.716653083401249	4.890099281114446	SERPINA1;APOH
COVID-19_Related_Gene_Sets	COVID19-Nsp9 protein host PPI from Krogan	2/16	0.2571168681159845	1.0	0	0	2.0374898125509366	2.767368699467789	NUP62;FBLN5
COVID-19_Related_Gene_Sets	SARS coronavirus E2 glycoprotein precursor from Virus-Host PPI P-HIPSTer 2020	6/72	0.279558811951592	1.0	0	0	1.3583265417006247	1.731245028647623	YWHAE;APP;HSP90AA1;LSAMP;SCN3B;MPZL1
COVID-19_Related_Gene_Sets	SARS coronavirus formerly known as growth-factor-like protein from Virus-Host PPI P-HIPSTer 2020	2/17	0.2804232078865398	1.0	0	0	1.917637470636176	2.4381904409153043	YWHAE;APP
COVID-19_Related_Gene_Sets	SARS coronavirus orf1ab from Virus-Host PPI P-HIPSTer 2020	12/194	0.5309274547664845	1.0	0	0	1.0082423814685049	0.6383483851475985	YWHAE;APP;DYNC1H1;ATXN3;HSP90AA1;APC;TPM3;EPB41L2;CAPN2;UBQLN1;PTPN21;RCOR1
COVID-19_Related_Gene_Sets	SARS coronavirus nsp9-pp1a from Virus-Host PPI P-HIPSTer 2020	1/13	0.5610269574816582	1.0	0	0	1.253839884646731	0.7247023033815463	APP
COVID-19_Related_Gene_Sets	COVID19-Nsp10 protein host PPI from Krogan	1/14	0.5879753967689929	1.0	0	0	1.1642798928862497	0.6183143255192973	CUL2
COVID-19_Related_Gene_Sets	COVID19-N protein host PPI from Krogan	1/15	0.6132707379744892	1.0	0	0	1.0866612333605001	0.5313216842224844	G3BP1
COVID-19_Related_Gene_Sets	SARS coronavirus protein E from Virus-Host PPI P-HIPSTer 2020	1/15	0.6132707379744892	1.0	0	0	1.0866612333605001	0.5313216842224844	APP
