Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cancer_Cell_Line_Encyclopedia	FADU UPPER AERODIGESTIVE TRACT	8/77	0.09904835358946353	1.0	0	0	1.6934980260163637	3.915616597110853	C14ORF109;DDX24;GLRX5;CPSF2;PAPOLA;BTBD7;TM2D3;ATG2B
Cancer_Cell_Line_Encyclopedia	JMSU1 URINARY TRACT	4/70	0.6296533913235961	1.0	0	0	0.9314239143089998	0.4308634611705314	TPM3;MOK;NUP153;TMEM186
Cancer_Cell_Line_Encyclopedia	PANC0327 PANCREAS	2/38	0.6861001646951739	1.0	0	0	0.8578904473898682	0.3231944831123273	SOX17;SERPINA5
Cancer_Cell_Line_Encyclopedia	SKLU1 LUNG	3/58	0.6990871890817297	1.0	0	0	0.8430992327796981	0.3018125035869361	GPR68;GSC;MOK
Cancer_Cell_Line_Encyclopedia	NCIH2452 PLEURA	2/43	0.7499230075435104	1.0	0	0	0.7581357442049999	0.21817989373210064	CUL2;BDKRB1
Cancer_Cell_Line_Encyclopedia	OC316 OVARY	2/43	0.7499230075435104	1.0	0	0	0.7581357442049999	0.21817989373210064	WDR25;BEGAIN
Cancer_Cell_Line_Encyclopedia	TE11 OESOPHAGUS	3/64	0.7605970483111891	1.0	0	0	0.7640586797066015	0.209085852867386	PPP4R4;IGHMBP2;ASB2
Cancer_Cell_Line_Encyclopedia	MSTO211H PLEURA	2/45	0.7721497338919766	1.0	0	0	0.7244408222403332	0.1873235837694368	NETO1;MOK
Cancer_Cell_Line_Encyclopedia	BT549 BREAST	3/72	0.8263108826878296	1.0	0	0	0.6791632708503124	0.12957362467963554	BDKRB1;DIO3;EMD
Cancer_Cell_Line_Encyclopedia	CJM SKIN	5/113	0.830173504953923	1.0	0	0	0.721235331876438	0.13423672236377046	TRAF3;RNMT;PPP4R4;CPSF2;BTBD7
Cancer_Cell_Line_Encyclopedia	SW1088 CENTRAL NERVOUS SYSTEM	1/30	0.8505499590996778	1.0	0	0	0.5433306166802501	0.0879500831368962	UGT1A8
Cancer_Cell_Line_Encyclopedia	NCIH460 LUNG	3/77	0.859020313700406	1.0	0	0	0.6350617597561362	0.0965057055205021	GPR65;PDE1A;BEGAIN
Cancer_Cell_Line_Encyclopedia	CALU1 LUNG	1/32	0.8683510615356058	1.0	0	0	0.5093724531377343	0.07190260661950201	CCBE1
Cancer_Cell_Line_Encyclopedia	UMUC3 URINARY TRACT	2/57	0.8723802064657066	1.0	0	0	0.5719269649265788	0.07808515049494899	DYNC1H1;GRM7
Cancer_Cell_Line_Encyclopedia	NCIH1975 LUNG	2/58	0.8785692264077563	1.0	0	0	0.5620661551864654	0.07276540694589284	SYCE2;SLC24A4
Cancer_Cell_Line_Encyclopedia	OC314 OVARY	2/58	0.8785692264077563	1.0	0	0	0.5620661551864654	0.07276540694589284	WDR25;BEGAIN
Cancer_Cell_Line_Encyclopedia	ONCODG1 OVARY	7/164	0.8824810871064365	1.0	0	0	0.6957282286759299	0.08697849703981446	PPP1CB;TPH2;PAK1;CAPN6;SOX17;GRM1;SERPINA5
Cancer_Cell_Line_Encyclopedia	U87MG CENTRAL NERVOUS SYSTEM	5/127	0.8960120968256061	1.0	0	0	0.6417290748191928	0.07046272848886137	DTNA;GPR68;APOH;CACNA1A;BDKRB1
Cancer_Cell_Line_Encyclopedia	AGS STOMACH	4/107	0.9004768036230842	1.0	0	0	0.6093427476787849	0.06387793288956989	GALC;SYNPR;SLC46A1;RASGRP1
Cancer_Cell_Line_Encyclopedia	TT2609C02 THYROID	2/62	0.9006493432191217	1.0	0	0	0.5258038225937902	0.05501973517506687	BDKRB1;NEFL
Cancer_Cell_Line_Encyclopedia	PK1 PANCREAS	1/37	0.904127005721187	1.0	0	0	0.4405383378488513	0.04439984819215185	SLC46A1
Cancer_Cell_Line_Encyclopedia	HSC3 UPPER AERODIGESTIVE TRACT	2/63	0.9055523412094724	1.0	0	0	0.5174577301716665	0.05133708473338233	CYP2A7;PPP4R4
Cancer_Cell_Line_Encyclopedia	CAL51 BREAST	4/109	0.9081017416233638	1.0	0	0	0.5981621468039449	0.057662146900852126	PREX2;PTPRD;SOX17;PAX2
