Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ChEA_2013	FOXP1-22492998-STRATIUM-MOUSE	1/26	0.8074087322717662	1.0	0	0	0.6269199423233653	0.13411400872897128	BCL11B
ChEA_2013	RBPJ-22232070-NCS-MOUSE	1/34	0.8840333520008727	1.0	0	0	0.479409367659044	0.05909223287234348	HSPD1
ChEA_2013	STAT3-22323479-MACROPHAGE-MOUSE	1/38	0.9100196005730956	1.0	0	0	0.4289452236949341	0.04044487651177035	RIN3
ChEA_2013	ZNF652-21678463-ZR75-1-HUMAN	4/112	0.9185672109214584	1.0	0	0	0.5821399464431248	0.04944708484583519	PPA1;SNX14;HSPB1;NUP153
ChEA_2013	ESR1-20079471-T-47D-HUMAN	9/216	0.919086151894992	1.0	0	0	0.6791632708503124	0.057304683346317366	CYP2A7;SERPINA1;ACSL1;TPM3;GPR65;PHACTR1;SLC29A1;NT5C2;MYOM2
ChEA_2013	TRIM28-21343339-HEK293-HUMAN	3/90	0.9200389881554276	1.0	0	0	0.5433306166802501	0.0452807559941204	RTN1;ITGAV;MXD4
ChEA_2013	EZH2-22144423-EOC-HUMAN	1/40	0.9207412846316784	1.0	0	0	0.40749796251018733	0.0336496288556434	MYOM2
ChEA_2013	STAT6-21828071-BEAS2B-HUMAN	1/41	0.9256134318835036	1.0	0	0	0.39755898781481697	0.03073074986213249	PSMD7
ChEA_2013	BCL11B-21912641-STHDH STRIATAL CELLS-MOUSE	1/43	0.9344782629472376	1.0	0	0	0.3790678721024999	0.02568825950253438	BCL11B
ChEA_2013	MYBL1-21750041-SPERMATOCYTES-MOUSE	5/161	0.9724088049883842	1.0	0	0	0.5062086490809782	0.014163202517596852	YY1;MOAP1;HSP90AA1;MAT2A;MATR3
ChEA_2013	NR4A2-19515692-MN9D-mouse	7/207	0.9733492388949464	1.0	0	0	0.5512049734437318	0.014889331296795675	RTN1;WSB2;SERPINA10;NUP62;CDC42BPB;PDLIM5;UGT1A9
ChEA_2013	CIITA-18437201-Raji B cells and iDC-human	1/59	0.9762687709451114	1.0	0	0	0.2762698050916525	0.006635268717269062	MAT2A
ChEA_2013	PPARD-23176727-KERATINOCYTES-MOUSE	6/194	0.98158044144629	1.0	0	0	0.5041211907342525	0.009372273818925045	RTN1;KIT;BDKRB2;KIF21B;SLC29A1;FBLN5
ChEA_2013	SOX9-22984422-TESTIS-RAT	1/63	0.9815921555950884	1.0	0	0	0.2587288650858333	0.004807021142006832	RAB24
ChEA_2013	PRDM16-22522345-PALATE MESENCHYMAL-MOUSE	3/122	0.9823340371247492	1.0	0	0	0.4008176680428073	0.007144121393295467	SLMAP;KDR;ASB15
ChEA_2013	WT1-19549856-Wilms tumor-derived CCG99?11-human	6/199	0.9849570450509672	1.0	0	0	0.491454829158015	0.0074491026507916185	DCLRE1A;TPM3;UBQLN1;ARL6IP4;ARHGEF2;NUDT4
ChEA_2013	EGR1-19374776-THP-1-human	1/68	0.98660076381712	1.0	0	0	0.239704683829522	0.003233572077164713	MAPK1
ChEA_2013	KLF4-18264089-MESC-mouse	2/102	0.9881209713815002	1.0	0	0	0.31960624510602936	0.0038193419499118063	CNIH;GSC
