Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ClinVar_2019	charcot-marie-tooth disease, type 2	4/19	0.02606186730036592	1.0	0	0	3.4315617895594728	12.51587373898766	DYNC1H1;IGHMBP2;HSPB1;NEFL
ClinVar_2019	distal hereditary motor neuronopathy	2/7	0.06426286142024776	1.0	0	0	4.657119571544999	12.782737908919096	IGHMBP2;HSPB1
ClinVar_2019	hepatocellular carcinoma	2/9	0.1016066838592796	1.0	0	0	3.622204111201666	8.282698397120452	APC;MET
ClinVar_2019	charcot-marie-tooth disease, type i	1/5	0.271374280234816	1.0	0	0	3.2599837000814995	4.251854288760047	NEFL
ClinVar_2019	pyruvate dehydrogenase complex deficiency	1/5	0.271374280234816	1.0	0	0	3.2599837000814995	4.251854288760047	DLAT
ClinVar_2019	cutis laxa, autosomal recessive	1/5	0.271374280234816	1.0	0	0	3.2599837000814995	4.251854288760047	FBLN5
ClinVar_2019	de lange syndrome	1/5	0.271374280234816	1.0	0	0	3.2599837000814995	4.251854288760047	SMC1A
ClinVar_2019	familial adenomatous polyposis 1	1/5	0.271374280234816	1.0	0	0	3.2599837000814995	4.251854288760047	APC
ClinVar_2019	charcot-marie-tooth disease	4/44	0.2834707051118674	1.0	0	0	1.481810772764318	1.8680395555935176	DYNC1H1;IGHMBP2;HSPB1;NEFL
ClinVar_2019	pure gonadal dysgenesis 46,xy	1/6	0.3160865819985104	1.0	0	0	2.716653083401249	3.128875602440809	CBX2
ClinVar_2019	congenital myopathy with fiber type disproportion	1/6	0.3160865819985104	1.0	0	0	2.716653083401249	3.128875602440809	TPM3
ClinVar_2019	neoplasm of stomach	1/8	0.3974541116276092	1.0	0	0	2.0374898125509366	1.8799425305582895	APC
ClinVar_2019	familial hyperinsulinism	1/8	0.3974541116276092	1.0	0	0	2.0374898125509366	1.8799425305582895	GLUD1
ClinVar_2019	noonan syndrome	1/8	0.3974541116276092	1.0	0	0	2.0374898125509366	1.8799425305582895	RIT1
ClinVar_2019	brugada syndrome	1/8	0.3974541116276092	1.0	0	0	2.0374898125509366	1.8799425305582895	SCN3B
ClinVar_2019	nemaline myopathy	1/8	0.3974541116276092	1.0	0	0	2.0374898125509366	1.8799425305582895	TPM3
ClinVar_2019	neoplasm of the genitourinary tract	2/23	0.4165003245942982	1.0	0	0	1.4173842174267388	1.2414415336628644	KIT;MET
ClinVar_2019	alzheimer's disease	1/10	0.4691479925650968	1.0	0	0	1.6299918500407498	1.2336381599539008	APP
ClinVar_2019	essential hypertension	1/11	0.5017319865234258	1.0	0	0	1.481810772764318	1.0219888764151441	ADD1
ClinVar_2019	prader-willi syndrome	1/12	0.5323174809797019	1.0	0	0	1.3583265417006247	0.8564455295807103	MKRN3
ClinVar_2019	age-related macular degeneration	1/13	0.5610269574816582	1.0	0	0	1.253839884646731	0.7247023033815463	FBLN5
ClinVar_2019	leigh syndrome	1/13	0.5610269574816582	1.0	0	0	1.253839884646731	0.7247023033815463	DLAT
ClinVar_2019	myocardial infarction 1	1/13	0.5610269574816582	1.0	0	0	1.253839884646731	0.7247023033815463	GCLM
ClinVar_2019	rasopathy	1/14	0.5879753967689929	1.0	0	0	1.1642798928862497	0.6183143255192973	RIT1
ClinVar_2019	lung cancer	1/14	0.5879753967689929	1.0	0	0	1.1642798928862497	0.6183143255192973	CYP2A6
ClinVar_2019	neoplasm of lung	1/14	0.5879753967689929	1.0	0	0	1.1642798928862497	0.6183143255192973	CYP2A6
ClinVar_2019	pontoneocerebellar hypoplasia	1/16	0.637014309226976	1.0	0	0	1.0187449062754683	0.4594164223692268	VRK1
ClinVar_2019	leber congenital amaurosis	1/16	0.637014309226976	1.0	0	0	1.0187449062754683	0.4594164223692268	SPATA7
ClinVar_2019	familial colorectal cancer	1/17	0.6593012325054565	1.0	0	0	0.958818735318088	0.3994196686796179	APC
ClinVar_2019	bardet-biedl syndrome	1/18	0.6802208034493177	1.0	0	0	0.9055510278004164	0.34894306127347496	TTC8
ClinVar_2019	acute myeloid leukemia	1/20	0.7182880560154563	1.0	0	0	0.8149959250203749	0.269669599158851	KIT
ClinVar_2019	anophthalmia-microphthalmia syndrome	1/21	0.7355882985593353	1.0	0	0	0.7761865952574999	0.238355022874486	PAX2
ClinVar_2019	carcinoma of colon	1/30	0.8505499590996778	1.0	0	0	0.5433306166802501	0.0879500831368962	APC
ClinVar_2019	combined oxidative phosphorylation deficiency	1/37	0.904127005721187	1.0	0	0	0.4405383378488513	0.04439984819215185	MRPS7
ClinVar_2019	retinitis pigmentosa	2/75	0.9491525712830124	1.0	0	0	0.43466449334420004	0.022683280722274463	TTC8;SPATA7
ClinVar_2019	mitochondrial diseases	1/60	0.977728845703844	1.0	0	0	0.27166530834012503	0.0061186909184549705	DLAT
ClinVar_2019	hereditary hearing loss and deafness	1/170	0.9999764814499909	1.0	0	0	0.0958818735318088	2.2550291552513604e-06	DLAT
