Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DSigDB	2-Propenamide, 2-cyano-3-(3,4-dihydroxy-5-nitrophenyl)-N,N-diethyl- CTD 00002756	5/11	0.00029153683518491933	1.0	0	0	7.409053863821589	60.312248617368915	UGT1A10;HSPB1;UGT1A9;UGT1A8;UGT1A7
DSigDB	2',4'-Dihydroxychalcone CTD 00002476	5/12	0.00047455981289213186	0.9552889033518616	0	0	6.7916327085031245	51.977199764271326	UGT1A10;TDP1;UGT1A9;UGT1A8;UGT1A7
DSigDB	Plumbagin CTD 00000768	7/31	0.0023007293707583147	1.0	0	0	3.680626758156532	22.35807430669115	UGT1A10;TDP1;MAPK1;UGT1A9;GCLM;UGT1A8;UGT1A7
DSigDB	1,3,5[10]-Estratriene-2,3-diol-17-one CTD 00001165	4/11	0.003282933062802412	1.0	0	0	5.927243091057272	33.898010104196345	UGT1A10;UGT1A9;UGT1A8;UGT1A7
DSigDB	N-Hydroxy phip CTD 00002510	5/18	0.003769818728482988	1.0	0	0	4.527755139002083	25.268171517290288	UGT1A10;UGT1A9;UGT1A8;UGT1A;UGT1A7
DSigDB	Quinizarin CTD 00001664	4/13	0.006444826302329179	1.0	0	0	5.015359538586923	25.299868816839947	UGT1A10;UGT1A9;UGT1A8;UGT1A7
DSigDB	THYMOL CTD 00006890	4/13	0.006444826302329179	1.0	0	0	5.015359538586923	25.299868816839947	UGT1A10;UGT1A9;UGT1A8;UGT1A7
DSigDB	2-methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol CTD 00001063	6/29	0.007392858700183754	1.0	0	0	3.3723969311187925	16.549163764401378	UGT1A10;APP;TDP1;UGT1A9;UGT1A8;UGT1A7
DSigDB	PREGNENOLONE CARBONITRILE CTD 00006611	5/21	0.0076815487899179824	1.0	0	0	3.8809329762874993	18.896006856833843	UGT1A10;TDP1;UGT1A9;UGT1A8;UGT1A7
DSigDB	carmustine MCF7 UP	5/23	0.011474246390082331	1.0	0	0	3.5434605435668467	15.830942203533056	UGT1A10;UGT1A9;GCLM;UGT1A8;UGT1A7
DSigDB	4-methylumbelliferone CTD 00006134	5/23	0.011474246390082331	1.0	0	0	3.5434605435668467	15.830942203533056	UGT1A10;HSPB1;UGT1A9;UGT1A8;UGT1A7
DSigDB	4-Nitrophenol CTD 00001160	5/24	0.013777397985252671	1.0	0	0	3.3958163542515623	14.550142137597653	UGT1A10;CYP2A6;UGT1A9;UGT1A8;UGT1A7
DSigDB	2-Propenoicacid, 3-phenyl- CTD 00001365	4/16	0.014161105038328878	1.0	0	0	4.074979625101873	17.34823208774032	UGT1A10;CYP2A6;UGT1A8;UGT1A7
DSigDB	latamoxef PC3 DOWN	5/25	0.016372111399444382	1.0	0	0	3.2599837000814995	13.405626458383189	SMARCD2;MAT2A;PRPF4B;SLC29A1;MET
DSigDB	ferulic acid CTD 00000186	4/17	0.017636584237030014	1.0	0	0	3.835274941272352	15.485996009435544	UGT1A10;MAPK1;UGT1A8;UGT1A7
