Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	JJN-3	17/389	0.947916385430986	1.0	0	0	0.7123357699406876	0.038102114919317656	SMARCD2;SMEK1;DCAKD;ITPK1;COQ5;DNAJA1;TAF6L;MRPL1;CAND1;APC;SLMAP;GRK6;GATAD1;TAF1A;LEO1;YME1L1;CCDC53
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	NCI-H716	13/318	0.9575567765153528	1.0	0	0	0.666348869513514	0.028899725762888826	WSB2;TPM3;MOK;ASH1L;MARCH6;COQ5;TAF6L;MRPL1;CAND1;OPA1;APC;TAF1A;PAPOLA
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	COR-L279	11/284	0.9651073086851638	1.0	0	0	0.6313348714946565	0.022422478636216343	DNAJA1;GALC;SERPINA1;MRPL1;WSB2;SMEK1;LEO1;MOK;YME1L1;AK7;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	SiHa	8/229	0.9734782541396414	1.0	0	0	0.569429467263144	0.015306145770676337	TAF6L;CAND1;OPA1;MPC2;YME1L1;CACNA1A;ASNS;ITGAV
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	JHH-4	13/336	0.9750468140625282	1.0	0	0	0.6306516086467187	0.015936436686455228	SYT5;ASNS;PRPF4B;ASH1L;TM2D3;DNAJA1;MRPL1;CAND1;OPA1;YME1L1;CCDC53;MATR3;ITGAV
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	Hs 766T	13/337	0.9757938517180632	1.0	0	0	0.6287802388881231	0.015407588455964016	ASNS;PRPF4B;DNAJA1;TAF6L;CAND1;OPA1;APC;SLMAP;ID1;GATAD1;YME1L1;MAPK1;ITGAV
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	Daoy	11/300	0.9790637632420204	1.0	0	0	0.5976636783482749	0.012645671468435676	SMEK1;OPA1;APC;TRAF3;MOK;ASNS;CCDC53;MATR3;ITGAV;MARCH6;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	TCCSUP	11/310	0.9849736340491466	1.0	0	0	0.5783842048531693	0.0087569714720973	DNAJA1;MRPL1;OPA1;APC;SLMAP;YME1L1;KDELR2;PRPF4B;MATR3;ITGAV;MARCH6
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	Hs 578T	9/270	0.986663993783412	1.0	0	0	0.5433306166802501	0.00729460980120001	DNAJA1;TAF6L;OPA1;GDI2;TAF1A;MOK;PRPF4B;ITGAV;TM2D3
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	LS180	11/320	0.989311548992928	1.0	0	0	0.5603096984515078	0.006021078391983611	TPH2;TAF6L;CNIH1;MRPL1;CAND1;OPA1;IGHMBP2;ASNS;CCDC53;ITGAV;SCN3B
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	COV504	11/325	0.9910143833344736	1.0	0	0	0.5516895492445615	0.004979677199973454	TM9SF2;SYT5;MRPL1;OPA1;APC;SLMAP;TAF1A;ASNS;CCDC53;PRPF4B;ITGAV
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	DU4475	12/349	0.9916893864598192	1.0	0	0	0.5604556504438108	0.004677192519138296	DNAJA1;TAF6L;RIT1;CAND1;OPA1;PTPRZ1;MPC2;ITPK1;LEO1;MAPK1;MYT1;MPZL1
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	SK-MEL-24	11/336	0.9939101127256308	1.0	0	0	0.5336282842395312	0.003259671719101357	DNAJA1;TAF6L;CAND1;OPA1;MPC2;MOK;CCDC53;KDELR2;MATR3;ITGAV;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	8-MG-BA	8/269	0.9941263531556708	1.0	0	0	0.4847559405325649	0.0028556800626899177	MRPL1;APC;TAF1A;CACNA1A;ASNS;CCDC53;ITGAV;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	LS1034	11/338	0.9943317996449093	1.0	0	0	0.5304707204274629	0.0030153682778973237	NUDT22;TM9SF2;DNAJA1;TAF6L;MRPL1;OPA1;TAF1A;ASNS;MATR3;ITGAV;BEGAIN
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	KYSE-150	9/293	0.9943395212875632	1.0	0	0	0.5006800904562029	0.0028421405420983787	DNAJA1;TAF6L;MRPL1;CAND1;OPA1;YME1L1;MPZL1;RAB11FIP5;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	SK-GT-4	8/270	0.9943542060497432	1.0	0	0	0.4829605481602222	0.0027344220165381105	TM9SF2;SYT5;TAF6L;OPA1;APC;YME1L1;PRPF4B;TM2D3
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	Calu-1	10/317	0.9946095107747508	1.0	0	0	0.5141930126311514	0.0027792493992651987	YWHAE;DNAJA1;OPA1;MGRN1;TAF1A;MOK;CCDC53;PRPF4B;ITGAV;UGT1A7
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	HCC-56	11/341	0.9949131601366502	1.0	0	0	0.5258038225937902	0.002681505837426707	DNAJA1;TAF6L;CNIH1;CAND1;OPA1;G3BP1;ASNS;PRPF4B;ASH1L;MPZL1;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	A2058	9/296	0.9949548523548666	1.0	0	0	0.4956056300799577	0.002506732325408485	DNAJA1;TAF6L;HSP90AA1;MRPL1;APC;LEO1;MOK;ASNS;CCDC53
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	TC-138	11/344	0.9954380124935576	1.0	0	0	0.5212183241409375	0.002383231762342087	TM9SF2;DNAJA1;TPH2;CNIH1;CEBPD;SLMAP;MPC2;MOK;MAPK1;ITGAV;TMEM9B
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	ABC-1	13/391	0.9958570743091943	1.0	0	0	0.5419410243102237	0.0022498851707921357	GDI2;ASNS;PRPF4B;COQ5;TM9SF2;DNAJA1;MRPL1;CAND1;APC;SLMAP;YME1L1;CCDC53;ITGAV
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	LN-443	10/328	0.9964339836418066	1.0	0	0	0.4969487347685213	0.0017752945667532532	TAF6L;BCL11B;SMEK1;APC;GATAD1;TAF1A;LEO1;ASNS;PRPF4B;ITGAV
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	NCI-H1299	6/234	0.9965927853588754	1.0	0	0	0.4179466282155768	0.001426465390101598	MRPL1;OPA1;TAF1A;YME1L1;LRP4;ITGAV
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	SK-N-BE(2)	6/234	0.9965927853588754	1.0	0	0	0.4179466282155768	0.001426465390101598	TAF6L;OPA1;MOK;PRPF4B;MYT1;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	Calu-6	11/352	0.9965988716677088	1.0	0	0	0.5093724531377343	0.001735393906470408	DNAJA1;CAND1;WSB2;OPA1;APC;MPC2;MOK;ASNS;CCDC53;ITGAV;MPZL1
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	Hs 852.T	7/259	0.996650651737684	1.0	0	0	0.4405383378488513	0.0014779928567731414	DNAJA1;OPA1;TAF1A;YME1L1;KDELR2;PRPF4B;ITGAV
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	EW-8	13/399	0.9968696714269842	1.0	0	0	0.5310750388603946	0.0016650468021259927	TPH2;BCL11B;GMFG;MOK;LRP4;PRPF4B;COQ5;DNAJA1;TAF6L;GOLGA4;CAND1;OPA1;YME1L1
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	EWS-502	10/332	0.9969383276679612	1.0	0	0	0.4909614006146836	0.0015054687401606698	YWHAE;DNAJA1;MRPL1;SMEK1;APC;RNF26;TAF1A;LEO1;PAPOLA;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	RKN	8/286	0.9970347634164822	1.0	0	0	0.4559417762351747	0.001353983669364775	CAND1;OPA1;APC;TAF1A;LEO1;PAPOLA;PRPF4B;ITGAV
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	PK-45H	7/262	0.9970497691391556	1.0	0	0	0.43549400573607816	0.001286706831192309	DNAJA1;OPA1;SLMAP;TAF1A;MATR3;ITGAV;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	HT-1080	10/333	0.9970533793257912	1.0	0	0	0.4894870420542792	0.0014444618250927064	DNAJA1;MRPL1;CAND1;TAF1A;MAPK1;PRPF4B;ITGAV;TMEM251;MPZL1;PUM2
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	KP-4	9/310	0.9970784334222706	1.0	0	0	0.4732234403344112	0.0013845773408062572	SYT5;DNAJA1;MRPL1;OPA1;TAF1A;LEO1;ITGAV;RASGRP1;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	PE/CA-PJ49	13/401	0.997083476405205	1.0	0	0	0.5284262855493702	0.001543419535299999	MOK;TM2D3;COQ5;TM9SF2;TAF6L;CAND1;OPA1;APC;TRAF3;SLMAP;TAF1A;YME1L1;CCDC53
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	CHLA-06-ATRT	8/287	0.9971535969983982	1.0	0	0	0.4543531289312194	0.001295116196959298	DNAJA1;TPH2;MRPL1;OPA1;TAF1A;YME1L1;MET;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	EKVX	10/334	0.9971643095695684	1.0	0	0	0.4880215119882485	0.0013858437733189472	TAF6L;DNAJB1;MRPL1;OPA1;GDI2;YME1L1;CCDC53;PRPF4B;ITGAV;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	SaOS-2	9/311	0.9971918180713129	1.0	0	0	0.4717018215552009	0.0013264879136511466	SYT5;DNAJA1;OPA1;APC;TAF1A;PRPF4B;ITGAV;KIF21B;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	42-MG-BA	8/288	0.997267869271526	1.0	0	0	0.4527755139002082	0.0012387348590167891	TAF6L;CAND1;OPA1;APC;TAF1A;YME1L1;MAPK1;UGT1A8
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	VMRC-RCW	10/337	0.9974737341282436	1.0	0	0	0.4836771068370178	0.00122344299058174	DNAJA1;TAF6L;CAND1;GPR68;MPC2;MOK;PAPOLA;ASNS;CCDC53;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	COV318	11/360	0.9974758819496286	1.0	0	0	0.4980530652902291	0.001258733997889921	TAF6L;CAND1;TRAF3;POLDIP3;MOK;ASNS;CCDC53;LRP4;ITGAV;ASH1L;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	OACM5.1 C	10/339	0.9976618359377772	1.0	0	0	0.4808235545842919	0.0011255607418255305	DNAJA1;BTG1;MRPL1;CAND1;WSB2;OPA1;APC;TAF1A;YME1L1;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	SNU-349	8/293	0.9977764005704706	1.0	0	0	0.4450489692944027	0.0009907125167898806	TM9SF2;OPA1;SLMAP;TAF1A;ASNS;CCDC53;PRPF4B;ITGAV
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	OV-90	9/319	0.9979592350129066	1.0	0	0	0.4598723087889263	0.0009394502312586254	DNAJA1;TAF6L;SLMAP;TAF1A;CCDC53;PRPF4B;MATR3;ITGAV;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	RHJT	12/389	0.9980005335090074	1.0	0	0	0.502825249369897	0.0010063886927937458	DNAJA1;WSB2;APC;SMEK1;GDI2;LEO1;MOK;ASNS;CCDC53;PRPF4B;MATR3;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	IGR-1	13/412	0.9980327914440504	1.0	0	0	0.5143178167604308	0.0010127668983936123	WSB2;ITPK1;ASNS;PRPF4B;COQ5;TM9SF2;DNAJA1;TAF6L;OPA1;LEO1;UBQLN1;MAPK1;ITGAV
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	YKG-1	9/320	0.9980396713321368	1.0	0	0	0.4584352078239609	0.0008995656908216338	TAF6L;MRPL1;OPA1;APC;MOK;ASNS;ITGAV;TECPR2;MET
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	U-251MG	7/273	0.9981577335637822	1.0	0	0	0.4179466282155768	0.0007706791616395106	TAF6L;MRPL1;APC;TAF1A;ASNS;ITGAV;ASH1L
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	T98G	9/322	0.9981915222407348	1.0	0	0	0.4555877841728804	0.0008246662953622058	TAF6L;WSB2;OPA1;MPC2;MOK;ASNS;CCDC53;ITGAV;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	UW228	7/274	0.9982356766232204	1.0	0	0	0.4164212755578558	0.0007353506801734111	DNAJA1;CNIH1;APC;TAF1A;LEO1;CCDC53;ITGAV
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	CAL-78	10/347	0.9982888514829096	1.0	0	0	0.4697382853143371	0.0008044804595722059	DNAJA1;OPA1;APC;SLMAP;GRAP2;TAF1A;CCDC53;PRPF4B;ITGAV;TM2D3
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	BHY	13/417	0.9983593352573128	1.0	0	0	0.5081509364635431	0.0008343899898582269	YWHAE;BTG1;TPM3;RNF26;GDI2;TM9SF2;DNAJB1;CNIH1;CAND1;OPA1;APC;TAF1A;MATR3
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	SUM159PT	8/301	0.9984064175744698	1.0	0	0	0.4332204252599999	0.000690923123882376	SYT5;DNAJA1;TAF6L;DNAJB1;HIST1H2AH;GATAD1;CCDC53;ITGAV
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	HCC1954	11/373	0.9984594692905856	1.0	0	0	0.4806946474651004	0.0007410958534107843	TM9SF2;TPH2;MRPL1;CAND1;SLMAP;TAF1A;MOK;CACNA1A;CCDC53;MATR3;ITGAV
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	639V	8/302	0.9984718752711312	1.0	0	0	0.431785920540596	0.0006603274026680551	DNAJA1;TAF6L;SLMAP;TAF1A;ASNS;ITGAV;MPZL1;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	Kuramochi	8/302	0.9984718752711312	1.0	0	0	0.431785920540596	0.0006603274026680551	DNAJA1;OPA1;APC;SLMAP;MOK;PRPF4B;ITGAV;ASH1L
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	HLF	6/252	0.9984733258900784	1.0	0	0	0.3880932976287499	0.0005929447216558414	CAND1;OPA1;TAF1A;MOK;ASNS;ITGAV
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	JR	11/374	0.9985175467707912	1.0	0	0	0.479409367659044	0.0007112292776191942	TM9SF2;DNAJA1;TAF6L;OPA1;APC;GPR68;MOK;UBQLN1;PRPF4B;ITGAV;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	HCC15	9/327	0.9985233603230024	1.0	0	0	0.44862161010295865	0.0006629420532554504	DNAJA1;TAF6L;CAND1;APC;GPR68;RNF26;MOK;ITGAV;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	WM983B	9/327	0.9985233603230024	1.0	0	0	0.44862161010295865	0.0006629420532554504	DNAJA1;TAF6L;CAND1;TAF1A;UBQLN1;YME1L1;MAPK1;PRPF4B;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	NCI-H526	8/303	0.9985347391577059	1.0	0	0	0.43036088449920784	0.0006310533940137419	DNAJA1;TAF6L;BTG1;WSB2;APC;TPM3;TAF1A;MOK
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	SJSA-1	7/279	0.9985800485694456	1.0	0	0	0.4089585286840591	0.0005811139223242263	TAF6L;OPA1;TAF1A;PAPOLA;LRP4;MAPK1;PRPF4B
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	Rh28	12/399	0.998623198882368	1.0	0	0	0.4902231127942104	0.0006754047853797166	DNAJA1;TPH2;CAND1;WSB2;APC;SMEK1;GDI2;LEO1;ASNS;PRPF4B;MATR3;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	NCI-H1581	9/329	0.998638980019418	1.0	0	0	0.4458944270628191	0.0006072845814943768	DNAJA1;TAF6L;MRPL1;APC;MOK;CCDC53;MATR3;ITGAV;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	Hs 944.T	8/306	0.9987087286994488	1.0	0	0	0.4261416601413725	0.0005506200722154177	APC;TAF1A;LEO1;MOK;ASNS;CCDC53;MATR3;ITGAV
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	CHLA-15	6/256	0.998726614684975	1.0	0	0	0.3820293398533007	0.00048678054669632365	DNAJA1;OPA1;TAF1A;MOK;PRPF4B;MYT1
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	TE-6	7/282	0.9987544688730364	1.0	0	0	0.40460790603848396	0.0005042658458217532	TM9SF2;DNAJA1;SDCBP;APC;TAF1A;YME1L1;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	KYSE-180	9/332	0.9987962194347509	1.0	0	0	0.4418652605532153	0.0005322292210181613	TM9SF2;TAF6L;MRPL1;OPA1;APC;TAF1A;LEO1;YME1L1;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	HGC-27	9/335	0.9989358716878116	1.0	0	0	0.4379082582199029	0.00046623868862686777	DNAJA1;TAF6L;OPA1;TAF1A;MOK;CCDC53;MARCH6;ASB3;COQ5
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	WM793	9/336	0.9989788449065898	1.0	0	0	0.4366049598323437	0.0004460691702251754	DNAJA1;TAF6L;CAND1;APC;LEO1;PAPOLA;MAPK1;PRPF4B;ITGAV
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	5637	7/287	0.9990001000108222	1.0	0	0	0.39755898781481697	0.00039771809992861153	TM9SF2;DNAJA1;OPA1;APC;MOK;YME1L1;PRPF4B
DepMap_WG_CRISPR_Screens_Broad_CellLines_2019	RERF-LC-A1	7/287	0.9990001000108222	1.0	0	0	0.39755898781481697	0.00039771809992861153	DNAJA1;CAND1;OPA1;TAF1A;LEO1;ASNS;ITGAV
