Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	NMC-G1	7/78	0.20131097048876775	1.0	0	0	1.462813198754519	2.3447497852404298	YWHAE;FAM133B;DNAJA1;FAM45A;ITGAV;BTBD7;HSPD1
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	HOP-62	9/126	0.3684302060329275	1.0	0	0	1.1642798928862497	1.1625381132532775	FAM133B;HIST1H2AH;ATL2;PAPOLA;ARL1;BTBD7;ITGAV;RCOR1;HSPD1
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	MFE-280	11/170	0.4724052893803899	1.0	0	0	1.054700608849897	0.7909389689684742	FAM133B;YWHAE;HSP90AA1;SOX17;APC;SNX14;ATL2;YME1L1;NDUFS2;RCOR1;HSPD1
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	SNB-75	9/164	0.6822738334739249	1.0	0	0	0.8945077225833383	0.3419919372354357	YY1;FAM133B;YWHAE;HSP90AA1;ARL1;VRK1;ITGAV;RCOR1;UGT1A7
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	42-MG-BA	15/282	0.7522590267308995	1.0	0	0	0.8670169415110371	0.2468176697200446	YWHAE;PNPLA8;HIST1H2AH;ARL1;VRK1;BTBD7;FAM133B;CAND1;GATAD1;LEO1;PAPOLA;DNM1L;UGT1A8;RCOR1;UGT1A7
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	T84	4/88	0.7961344117164012	1.0	0	0	0.740905386382159	0.16891698040499198	FAM133B;DNAJA1;SMEK1;ASNS
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	TT	5/113	0.830173504953923	1.0	0	0	0.721235331876438	0.13423672236377046	FAM133B;PAPOLA;ARL1;NDUFS2;RCOR1
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	YH-13	1/31	0.8597323895821879	1.0	0	0	0.5258038225937902	0.07946689437335902	ITGAV
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	LNCaP clone FGC	8/187	0.8934178481899819	1.0	0	0	0.6973227165949731	0.07858889247713363	YY1;FAM133B;YWHAE;HIST1H2AH;MATR3;DNM1L;RCOR1;HSPD1
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	COLO 678	1/36	0.8978488447154702	1.0	0	0	0.4527755139002082	0.04878816862192095	UGT1A8
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	LS123	3/89	0.9163791502435426	1.0	0	0	0.5494354550699156	0.04797949532660818	FAM133B;DNAJA1;UGT1A8
DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019	T-47D	10/239	0.9261415562340564	1.0	0	0	0.6820049581760459	0.052329004317675135	YWHAE;DNAJA1;MRPL1;APC;YME1L1;PRPF4B;BTBD7;TM2D3;DNM1L;UGT1A9
