Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DisGeNET	Uniparental disomy, paternal, chromosome 14	4/8	0.000808135018011158	1.0	0	0	8.149959250203747	58.034078336626905	RTL1;DIO3;WDR20;DLK1
DisGeNET	Crigler Najjar syndrome, type 1	5/16	0.002129504699430405	1.0	0	0	5.093724531377343	31.335910053891872	UGT1A10;UGT1A9;UGT1A;UGT1A8;UGT1A7
DisGeNET	BILIRUBIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 1	4/10	0.0021951495796448226	1.0	0	0	6.519967400162998	39.91201362120779	UGT1A10;UGT1A9;UGT1A8;UGT1A7
DisGeNET	Lucey-Driscoll syndrome (disorder)	4/10	0.0021951495796448226	1.0	0	0	6.519967400162998	39.91201362120779	UGT1A10;UGT1A9;UGT1A8;UGT1A7
DisGeNET	Crigler Najjar syndrome, type 2	4/11	0.003282933062802412	1.0	0	0	5.927243091057272	33.898010104196345	UGT1A10;UGT1A9;UGT1A8;UGT1A7
DisGeNET	Hypesthesia	4/11	0.003282933062802412	1.0	0	0	5.927243091057272	33.898010104196345	APP;DYNC1H1;AMN;GIF
DisGeNET	Distal lower limb muscle weakness	4/12	0.0046871250981789505	1.0	0	0	5.433306166802499	29.138472534307308	DYNC1H1;TPM3;HSPB1;NEFL
DisGeNET	Progressive spasticity	3/8	0.01021532261507986	1.0	0	0	6.112469437652812	28.018743696373466	GALC;OPA1;HSPD1
DisGeNET	Gilbert Disease (disorder)	6/32	0.012062517837056443	1.0	0	0	3.056234718826406	13.501382437647989	UGT1A10;NT5C2;UGT1A9;UGT1A8;UGT1A;UGT1A7
DisGeNET	Leukemia, Monocytic, Chronic	4/19	0.02606186730036592	1.0	0	0	3.4315617895594728	12.51587373898766	SMARCD2;GSKIP;SMC1A;ATG2B
DisGeNET	Absent fingernail	3/11	0.026214740382281363	1.0	0	0	4.445432318292953	16.187745794221033	APC;LRP4;MAPK1
DisGeNET	Absent toenail	3/11	0.026214740382281363	1.0	0	0	4.445432318292953	16.187745794221033	APC;LRP4;MAPK1
DisGeNET	Generalized glycogen storage disease of infants	5/29	0.029919637295042188	1.0	0	0	2.8103307759323277	9.862125870334834	UGT1A10;UGT1A9;UGT1A8;UGT1A;UGT1A7
DisGeNET	Cardiac sarcoidosis	3/12	0.033390625475626524	1.0	0	0	4.074979625101873	13.852812114011195	PSMD7;MAPK1;ARHGEF2
DisGeNET	EMG: neuropathic changes	4/21	0.03653323830359866	1.0	0	0	3.10474638103	10.275259966060725	DYNC1H1;IGHMBP2;HSPB1;VRK1
DisGeNET	Cerebral Cavernous Malformations 3	3/13	0.04147437825365299	1.0	0	0	3.761519653940192	11.97171124276218	GRAP2;KRIT1;MAPK1
DisGeNET	Minimal Brain Dysfunction	4/22	0.04255225961598992	1.0	0	0	2.963621545528636	9.356219368494148	PTPRD;TPH2;GRM7;GRM1
DisGeNET	Congenital anomaly of nose	2/6	0.047812774112470084	1.0	0	0	5.433306166802499	16.51976329443383	SPR;LRP4
DisGeNET	Decreased activity of the pyruvate dehydrogenase complex	2/6	0.047812774112470084	1.0	0	0	5.433306166802499	16.51976329443383	GLRX5;DLAT
DisGeNET	Deformity of the nose	2/6	0.047812774112470084	1.0	0	0	5.433306166802499	16.51976329443383	SPR;LRP4
DisGeNET	Headache associated with sexual activity	2/6	0.047812774112470084	1.0	0	0	5.433306166802499	16.51976329443383	JPH3;KIT
DisGeNET	Male Germ Cell Tumor	2/6	0.047812774112470084	1.0	0	0	5.433306166802499	16.51976329443383	KIT;DICER1
DisGeNET	Malformation of the nose	2/6	0.047812774112470084	1.0	0	0	5.433306166802499	16.51976329443383	SPR;LRP4
DisGeNET	Fibromatosis	3/14	0.05044285190690991	1.0	0	0	3.492839678658749	10.432812535461725	APC;KIT;GRM1
DisGeNET	Epilepsy, Benign Psychomotor, Childhood	4/24	0.056158536538039164	1.0	0	0	2.716653083401249	7.822810590599611	BDKRB2;KDR;BDKRB1;GRM1
DisGeNET	Uncinate Epilepsy	4/24	0.056158536538039164	1.0	0	0	2.716653083401249	7.822810590599611	BDKRB2;KDR;BDKRB1;GRM1
DisGeNET	Non-medullary thyroid carcinoma	9/82	0.06349622498561153	1.0	0	0	1.7890154451666769	4.9319127387968456	MINPP1;DYNC1H1;WARS;PAPOLA;DIO3;WDR20;DICER1;PIK3CG;BEGAIN
DisGeNET	Charcot-Marie-Tooth disease, Type 1C	2/7	0.06426286142024776	1.0	0	0	4.657119571544999	12.782737908919096	RNMT;NEFL
