Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Disease_Perturbations_from_GEO_down	Pulmonary Hypertension C0020542 human GSE703 sample 241	12/173	0.3729507455834025	1.0	0	0	1.130630184999364	1.1151506337825106	SPARC;G3BP1;GRK6;GDI2;TCP1;PAPOLA;MATR3;ARHGEF2;RPL10A;MYOM2;PRRC2A;HSPD1
Disease_Perturbations_from_GEO_down	Generalized seizures C0234533 rat GSE1156 sample 342	21/318	0.3955727907627942	1.0	0	0	1.0764097122910612	0.9982843918867482	APP;BTG1;RTN1;DCAKD;GDI2;AQP4;CDC42BPB;RASGRP1;PPP1CB;DNAJA1;PPP1R2;EIF5;DLG3;APC;UBQLN1;ARL6IP4;NEFL;MAPK1;MATR3;DLAT;KIF3C
Disease_Perturbations_from_GEO_down	HIV - Human immunodeficiency virus infection C0019693 human GSE2171 sample 40	14/226	0.5246297139090748	1.0	0	0	1.0097294646270132	0.6513386855534815	HSP90AA1;SPARC;SERPINA1;BTG1;CEBPD;ACSL1;TNFAIP2;HSPB1;FAIM3;HSPD1;DNAJA1;SDCBP;DNAJB1;LRRFIP1
Disease_Perturbations_from_GEO_down	Anxiety Disorder C0003469 rat GSE932 sample 111	13/242	0.7286862989095517	1.0	0	0	0.8756154566334606	0.2771427613932921	YWHAE;CHGA;APP;HSP90AA1;RTN1;RGS14;GDI2;HSPD1;PSMC1;AP2S1;UBQLN1;NEFL;MATR3
Disease_Perturbations_from_GEO_down	Senescence C0001792 rat GSE854 sample 161	17/314	0.7374994932310762	1.0	0	0	0.8824796640348008	0.2687061251623985	SYT5;YWHAE;HSP90AA1;RTN1;WSB2;RGS14;DCAKD;LSAMP;RPL10A;NUDT4;HSPD1;DNAJA1;SDCBP;PKIA;PSMC1;AP2S1;MAP2K6
Disease_Perturbations_from_GEO_down	HIV encephalitis C0276548 human GSE3489 sample 2	13/249	0.7643563162167335	1.0	0	0	0.8509997610654516	0.2286816906564381	SYT5;APP;DYNC1H1;HSP90AA1;WARS;RTN1;ITPK1;HSPD1;DNAJA1;DNAJB1;AP2S1;NEFL;CACNG3
Disease_Perturbations_from_GEO_down	Bipolar Disorder C0005586 human GSE5388 sample 107	18/341	0.7781575555928654	1.0	0	0	0.8604062551534749	0.2158124845160012	IFITM3;APP;SERPINA3;HSP90AA1;WARS;WSB2;ASNS;TM9SF2;DNAJA1;PSMD7;EIF5;PPA1;PSMC1;NEFL;NDUFS2;RAC1;KIF3C;DNM1L
Disease_Perturbations_from_GEO_down	Rett Syndrome C0035372 human GSE6955 sample 390	11/219	0.7936760373688909	1.0	0	0	0.8187173676003765	0.1891891392101315	IFITM3;SERPINA3;SDCBP;HSP90AA1;SERPINA1;RTN1;CEBPD;ACSL1;MTHFD2;NEFL;HSPD1
Disease_Perturbations_from_GEO_down	Parkinson's disease DOID-14330 human GSE19587 sample 740	10/207	0.8232000777700553	1.0	0	0	0.7874356763481882	0.153200335439287	DNAJA1;GLUD1;SDCBP;DNAJB1;PAIP2B;HSP90AA1;SPARC;HSPB1;RAC1;HSPD1
Disease_Perturbations_from_GEO_down	juvenile dermatomyositis UMLS CUI-C0263666 human GSE11971 sample 772	4/97	0.8534448194545395	1.0	0	0	0.67216158764567	0.10652039819661087	GLRX5;ID1;HSPB1;RPL10A
