Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Disease_Perturbations_from_GEO_up	Hypertension C0020538 rat GSE2739 sample 209	11/182	0.5647046191674938	1.0	0	0	0.9851599093652884	0.5629720758424515	DNAJA1;SDCBP;HSP90AA1;SPARC;MAT2A;CNOT2;GDI2;KDR;NR1D2;NUDT4;HSPD1
Disease_Perturbations_from_GEO_up	Dystonia C0393593 human GSE3064 sample 329	17/283	0.5716854458054567	1.0	0	0	0.9791470477276588	0.5475060893922584	IFITM3;YWHAE;SERPINA3;CLIC4;HSP90AA1;SPARC;DTNA;COL16A1;CEBPD;ADIRF;HSPB1;HSPD1;DNAJB1;MAT2A;MTHFD2;EPB41L2;CAPN2
Disease_Perturbations_from_GEO_up	Cerebral Infarction C0007785 mouse GSE63 sample 262	11/192	0.6362794990907876	1.0	0	0	0.9338494974191796	0.42220955838994334	DNAJA1;APP;DNAJB1;CLIC4;HSP90AA1;CEBPD;MPC2;ID1;EMD;PPID;HSPD1
Disease_Perturbations_from_GEO_up	rheumatoid arthritis DOID-7148 human GSE10500 sample 779	13/232	0.6720916542698109	1.0	0	0	0.9133575021780064	0.36293224624110654	IFITM3;HSP90AA1;SERPINA1;BTG1;WARS;HSPB1;HSPD1;DNAJB1;RIT1;EIF5;MTHFD2;PSMC1;CAPN2
Disease_Perturbations_from_GEO_up	Sjogren's syndrome DOID-12894 human GSE23117 sample 888	11/207	0.7307639769526325	1.0	0	0	0.8661792439830072	0.2716898945588493	PPP1CB;YWHAE;SERPINA3;SDCBP;ACSL1;PPA1;UBE2Q2;CAPN2;GSKIP;ITGAV;RPL10A
Disease_Perturbations_from_GEO_up	osteoarthritis DOID-8398 human GSE16464 sample 751	12/229	0.7536108798542126	1.0	0	0	0.854144200894716	0.2416195587494045	APP;SERPINA3;GOLGA4;CLIC4;HSP90AA1;SERPINA1;BTG1;CEBPD;ID1;HSPB1;PDLIM5;SERPINA5
Disease_Perturbations_from_GEO_up	Parkinson's disease DOID-14330 human GSE19587 sample 741	8/158	0.7603041974134495	1.0	0	0	0.8253123291345569	0.22616583910931354	DNAJA1;SDCBP;DNAJB1;HSP90AA1;RTN1;HSPB1;MATR3;HSPD1
Disease_Perturbations_from_GEO_up	Parkinson's disease DOID-14330 human GSE7621 sample 940	12/235	0.7834166840098153	1.0	0	0	0.8323362638505956	0.20316542562867565	IFITM3;DNAJA1;APP;SYNPR;SERPINA3;HSP90AA1;CEBPD;ACSL1;PPA1;KIT;CAPN2;HSPB1
Disease_Perturbations_from_GEO_up	schizophrenia DOID-5419 human GSE17612 sample 853	16/309	0.7926328900191256	1.0	0	0	0.8440087249401941	0.19614349433029066	YWHAE;CHGA;APP;SERPINA3;MOAP1;HSP90AA1;RTN1;PNPLA8;HSPB1;LRP4;DNAJA1;SYNPR;DNAJB1;PPA1;UBR7;NEFL
Disease_Perturbations_from_GEO_up	Down Syndrome C0013080 mouse GSE1611 sample 105	15/294	0.804538515954732	1.0	0	0	0.8316284949187499	0.18086791914307135	APP;DYNC1H1;HSP90AA1;SPARC;RNF26;ITPK1;MYT1;HSPD1;PTPRZ1;TRAF3;RUFY3;MATR3;RAC1;LGMN;MXD4
