Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DrugMatrix	Colchicine-1000 uM in DMSO-Rat-Primary rat hepatocytes-0.67d-up	3/49	0.5855866954906339	1.0	0	0	0.9979541939024998	0.5340462412476223	SDCBP;DIO3;DLAT
DrugMatrix	Ketoprofen-4 mg/kg in Corn Oil-Rat-Kidney-3d-up	21/371	0.6808176662932294	1.0	0	0	0.922636896249481	0.35471767564263595	SPARC;CEBPD;ACSL1;GDI2;ARL1;NR1D2;MRPS7;RPL10A;FBLN5;TM9SF2;PPP1CB;SDCBP;EIF5;PSMC1;CNOT2;ID1;TCP1;CCDC53;KDELR2;GCLM;MXD4
DrugMatrix	Acetazolamide-250 mg/kg in Corn Oil-Rat-Liver-3d-up	17/313	0.7328513061664003	1.0	0	0	0.8852990878815573	0.2751619822052321	WSB2;SERPINA10;GDI2;ARL1;MRPS7;RPL10A;NUDT4;TM9SF2;SDCBP;EIF5;CAND1;TCP1;PAPOLA;UBQLN1;CCDC53;KDELR2;MXD4
DrugMatrix	Paroxetine-104 mg/kg in Water-Rat-Heart-3d-up	17/314	0.7374994932310762	1.0	0	0	0.8824796640348008	0.2687061251623985	CLIC4;SPARC;CEBPD;ACSL1;ROCK2;GDI2;B3GALT3;NR1D2;MRPS7;RPL10A;PPP1CB;SDCBP;EIF5;PSMC1;RAC1;DLAT;LRRFIP1
DrugMatrix	Rosiglitazone-1800 mg/kg in Corn Oil-Rat-Heart-3d-up	17/316	0.7466412270130282	1.0	0	0	0.8768943497054666	0.2562026556429096	SPARC;WSB2;CEBPD;ACSL1;NR1D2;MRPS7;RPL10A;NUDT4;TM9SF2;PPP1CB;PPM1A;EIF5;SOX17;PSMC1;IGFBP6;LRRFIP1;MXD4
DrugMatrix	Flunarizine-126 mg/kg in CMC-Rat-Heart-1d-dn	12/228	0.748385142246503	1.0	0	0	0.8578904473898682	0.2486488546902346	ANKRD9;PPP1CB;SDCBP;CLIC4;SPARC;ACSL1;GDI2;TCP1;DLAT;IGFBP6;RPL10A;NUDT4
DrugMatrix	Paroxetine-104 mg/kg in Water-Rat-Heart-5d-up	15/286	0.7706340209399813	1.0	0	0	0.8548908304409527	0.2227347095313498	SPARC;WSB2;ACSL1;GDI2;NR1D2;RPL10A;NUDT4;PPP1CB;SDCBP;EIF5;PSMC1;TCP1;ITGAV;DLAT;LRRFIP1
DrugMatrix	Gemcitabine-11 mg/kg in Saline-Rat-Bone marrow-1d-dn	14/269	0.7743895148259997	1.0	0	0	0.8483228959319887	0.2168994379805192	GDI2;ASNS;NUP153;RPL10A;FAIM3;NUDT4;PUM2;TM9SF2;PPP1CB;SDCBP;PPM1A;SMC1L1;UBQLN1;GCLM
DrugMatrix	Ouabain-144 mg/kg in CMC-Rat-Heart-3d-dn	15/287	0.7750795670903403	1.0	0	0	0.8519121167460365	0.2170583369698895	CLIC4;SPARC;WSB2;FBLN5;NUDT4;ANKRD9;TM9SF2;PPP1CB;SDCBP;CAND1;TCP1;UBQLN1;NDUFS2;DLAT;MXD4
DrugMatrix	Droperidol-94 mg/kg in CMC-Rat-Heart-1d-dn	14/273	0.7921325666642646	1.0	0	0	0.8358932564311536	0.19478529582069368	SPARC;RTN1;WSB2;ROCK2;MRPS7;FBLN5;NUDT4;PPP1CB;SDCBP;TCP1;KDELR2;DLAT;GCLM;MXD4
DrugMatrix	Oxybutynin-230 mg/kg in Water-Rat-Heart-1d-up	14/275	0.8006244486577524	1.0	0	0	0.8298140327480181	0.1845201825351762	SPARC;WARS;RTN1;CEBPD;GDI2;FBLN5;PPP1CB;SDCBP;EIF5;PSMC1;TCP1;RAC1;GCLM;MXD4
DrugMatrix	Hydrazine-45 mg/kg in Water-Rat-Kidney-3d-dn	14/276	0.8047759348009068	1.0	0	0	0.8268074601655977	0.1795754550619053	SPARC;WSB2;B3GALT3;MRPS7;RPL10A;TM9SF2;SDCBP;CCDC53;NDUFS2;KDELR2;GCLM;PDLIM5;RCOR1;MXD4
DrugMatrix	Loxoprofen-18 mg/kg in Corn Oil-Rat-Kidney-3d-up	15/299	0.8238163169595848	1.0	0	0	0.8177216639000418	0.1584807469342656	YWHAE;WSB2;CEBPD;RPL10A;FBLN5;NUDT4;TM9SF2;PPP1CB;SDCBP;EIF5;CAND1;NDUFS2;KDELR2;GCLM;MXD4
DrugMatrix	6-Mercaptopurine-5 uM in DMSO-Rat-Primary rat hepatocytes-1d-up	2/51	0.8287643580449868	1.0	0	0	0.6392124902120587	0.1200565144963672	TCP1;RAC1
