Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Drug_Perturbations_from_GEO_2014	disulfiram homo sapiens gpl14550 gse42318 chdir up	6/71	0.2689097999771771	1.0	0	0	1.3774579014428872	1.8091246553686768	SERPINA1;C10ORF116;MPC2;APOH;ID1;HSPD1
Drug_Perturbations_from_GEO_2014	telmisartan homo sapiens gpl6244 gse42808 chdir up	1/5	0.271374280234816	1.0	0	0	3.2599837000814995	4.251854288760047	LRRFIP1
Drug_Perturbations_from_GEO_2014		1/6	0.3160865819985104	1.0	0	0	2.716653083401249	3.128875602440809	ASNS
Drug_Perturbations_from_GEO_2014	ethanol mus musculus gpl6246 gse43324 chdir up	1/6	0.3160865819985104	1.0	0	0	2.716653083401249	3.128875602440809	CHGA
Drug_Perturbations_from_GEO_2014	candesartan rattus norvegicus gpl341 gse4206 chdir up	4/54	0.4247381295809	1.0	0	0	1.2074013704005553	1.0338766224852112	YWHAE;SDCBP;HSP90AA1;AQP4
Drug_Perturbations_from_GEO_2014	alitretinoin rattus norvegicus gpl85 lung gds2385 chdir up	6/95	0.5309990112451183	1.0	0	0	1.029468536867842	0.6516485598289601	DNAJA1;SDCBP;HSP90AA1;SPARC;KDR;HSPB1
Drug_Perturbations_from_GEO_2014	estradiol rattus norvegicus gpl85 gds2311 chdir down	8/131	0.5572088268520258	1.0	0	0	0.995414870253893	0.5821337422089357	YWHAE;DNAJA1;SDCBP;DNAJB1;HSP90AA1;HSPB1;EVL;HSPD1
Drug_Perturbations_from_GEO_2014	estradiol homo sapiens gpl96 gse1045 chdir up	5/82	0.5709426374948854	1.0	0	0	0.9938974695370424	0.5570462700034692	YWHAE;YY1;EIF5;PPA1;ID1
Drug_Perturbations_from_GEO_2014	paclitaxel homo sapiens gpl1998 gse4298 chdir up	2/32	0.5925528503463624	1.0	0	0	1.0187449062754683	0.5331247056377564	DNAJA1;COL16A1
Drug_Perturbations_from_GEO_2014	candesartan rattus norvegicus gpl85 gse2739 chdir down	3/50	0.5994560065079539	1.0	0	0	0.9779951100244498	0.5004720692880741	IFITM3;SDCBP;SPARC
