Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Drug_Perturbations_from_GEO_down	soman 7305 rat GSE13428 sample 2635	6/117	0.730562983343348	1.0	0	0	0.8358932564311536	0.2624201885022793	OTUB2;GRM7;PDE1A;KIT;SCN3B;MAP2K6
Drug_Perturbations_from_GEO_down	Androstanolone 10635 human GSE7868 sample 3410	15/278	0.7329409812555984	1.0	0	0	0.8794920054176707	0.27324945651055715	IFITM3;APP;MOAP1;HSP90AA1;ACSL1;GDI2;HSPB1;TM2D3;NUDT4;TM9SF2;DNAJA1;NETO1;PPA1;PSMC1;STEAP1
Drug_Perturbations_from_GEO_down	Triiodothyronine-[13C6] hydrochloride (T3 thyronine) 53442265 human GSE29159 sample 3045	14/268	0.7697951371737636	1.0	0	0	0.8514882798720335	0.2227756068148012	YWHAE;SERPINA1;ROCK2;GDI2;NUDT4;PUM2;HSPD1;TM9SF2;MAT2A;PPA1;PEG10;APOH;ITGAV;MET
Drug_Perturbations_from_GEO_down	soman 7305 rat GSE13428 sample 2632	6/124	0.779624995134227	1.0	0	0	0.7887057338906853	0.19634218028000744	OTUB2;GRM7;PDE1A;KIT;DEGS2;MAP2K6
Drug_Perturbations_from_GEO_down	doxorubicin, 2xEC50, 3 d 31703 human GSE6930 sample 3264	17/332	0.8122450201268526	1.0	0	0	0.8346343810449622	0.17356491992507156	DCLRE1A;WARS;PDE1A;GDI2;ASNS;RPL10A;HSPD1;TM9SF2;PSMD7;MTHFD2;EPB41L2;PSMC1;AP2S1;PAPOLA;NDUFS2;MATR3;PPID
Drug_Perturbations_from_GEO_down	nicotinamide riboside 439924 mouse GSE62194 sample 3471	19/370	0.8197264102707322	1.0	0	0	0.8370228419128175	0.16638728464238126	SMARCD2;DTNA;MYEF2;KCNK10;RNMT;GPR68;ROCK2;ATL2;RASGRP1;SPATA7;PUM2;PPP1CB;EML5;GLUD1;YME1L1;MKRN3;ITGAV;TRIM23;MAP2K6
Drug_Perturbations_from_GEO_down	alitretinoin DB00523 rat GSE3952 sample 2674	21/407	0.8237559045758517	1.0	0	0	0.8410277358932615	0.16305931971463702	IFITM3;APP;DYNC1H1;HSP90AA1;BTG1;HSPB1;NR1D2;RPL10A;TC2N;FBLN5;NUDT4;HSPD1;PPP1CB;DNAJA1;DNAJB1;SDCBP;ID1;KDR;CAPN2;MATR3;IGFBP6
Drug_Perturbations_from_GEO_down	ZINC ACETATE 11192 human GSE2964 sample 3589	9/189	0.8263188196087572	1.0	0	0	0.7761865952574999	0.1480766870621001	PPP1CB;DNAJA1;DNAJB1;CLIC4;HSP90AA1;PPA1;DRG1;ASNS;RPL10A
Drug_Perturbations_from_GEO_down	decitabine DB01262 human GSE29077 sample 2548	14/284	0.8357508525540713	1.0	0	0	0.8035171091750174	0.14417084323738302	ASNS;RPL10A;NT5C2;HSPD1;SDCBP;PPA1;UBR7;PEG10;PKIA;ID1;CAPN2;UBE2V2;MATR3;GCLM
Drug_Perturbations_from_GEO_down	doxorubicin, 2xEC50, 1 d 31703 human GSE6930 sample 3263	15/304	0.8416536931827834	1.0	0	0	0.8042722944280015	0.13864579856183362	YWHAE;DCLRE1A;HSP90AA1;PDE1A;GDI2;ASNS;RPL10A;HSPD1;DNAJA1;DNAJB1;CNIH1;MAT2A;G3BP1;DRG1;PPID
