Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ENCODE_Histone_Modifications_2015	H3K36me3 myocyte mm9	4/236	0.9997703086526524	1.0	0	0	0.2762698050916525	6.346407261616341e-05	EIF5;PSMC1;MATR3;ASB3
ENCODE_Histone_Modifications_2015	H3K9me3 MCF-7 hg19	2/190	0.9999203590788716	1.0	0	0	0.17157808947797365	1.3665181252499499e-05	SERPINA12;FAIM3
ENCODE_Histone_Modifications_2015	H3K9me3 ES-E14 mm9	1/155	0.9999441778969288	1.0	0	0	0.10516076451875804	5.8704588882057976e-06	CHFR
ENCODE_Histone_Modifications_2015	H3K27me3 GM06990 hg19	1/179	0.9999852457529966	1.0	0	0	0.09106099720898043	1.3435463567260704e-06	DEGS2
ENCODE_Histone_Modifications_2015	H3K4me3 fibroblast of lung hg19	78/5182	0.9999916749012208	1.0	0	0	0.245348059249669	2.0425553308243783e-06	DCLRE1A;APP;SETD3;SPARC;SMEK1;PTPN21;HSPB1;CYP46A1;PREX2;NHSL2;RPS6KA5;SPR;UBE2Q2;GATAD1;NUP62;KDR;CAPN2;ARL6IP4;ITGAV;CCBE1;WSB2;GPR75-ASB3;BTN3A3;DICER1;ASH1L;MRPS7;SAP30;FAM133B;EML5;MINPP1;TAF6L;UTS2D;UBE2V2;YME1L1;TLR6;PPID;OTUB2;RTN1;DDX24;MGRN1;RNMT;ATL2;CUL2;BRP44;AK7;SPATA7;OAZ3;HSPD1;SYCE2;SDCBP;MAT2A;CNIH;GSC;GRK6;RAB24;LEO1;KRIT1;UBQLN1;MAPK1;RDH14;SCN3B;APBB3;BCL11B;CPSF2;NAP1L3;NUP153;MARCH6;CHFR;COQ5;TM9SF2;DLG3;PKIA;SLMAP;CNOT2;MKRN3;GCLM;RCOR1;ATG2B
ENCODE_Histone_Modifications_2015	H3K4me3 K562 hg19	75/4606	0.9999918307548088	1.0	0	0	0.26541334944215417	2.1682355850180508e-06	DCLRE1A;COL16A1;GPR68;ZFAND2B;PTPN21;CYP46A1;PIK3CG;PREX2;TCL1A;GOLGA4;PAIP2B;RPS6KA5;CASP6;PEG10;GRAP2;NUP62;PAPOLA;ARL6IP4;ITGAV;DLAT;WSB2;ACSL1;GLRX5;PRPF4B;DICER1;ASH1L;MRPS7;EML1;PAX2;EML5;MINPP1;UTS2D;TRAF3;CINP;UBE2V2;MATR3;SLC29A1;C14ORF109;CUL2;IGHMBP2;BRP44;WDR20;AK7;SPATA7;ADD1;SYCE2;MAT2A;ASTE1;CLMN;G3BP1;RAB24;LEO1;MAPK1;IGFBP6;SCN3B;MOAP1;SPRYD3;MYEF2;CPSF2;MOK;NUP153;COQ5;XKR8;DNAJA1;TTC8;PKIA;SNX14;CNOT2;MKRN3;ASB3;TECPR2;TMEM9B;RCOR1;MXD4;ATG2B
ENCODE_Histone_Modifications_2015	H3K4me1 MEL cell line mm9	64/4170	0.9999919694222956	1.0	0	0	0.2501666148743597	2.008990506505141e-06	IFITM3;SLC46A1;SETD3;EXOC3L4;FAM45A;GMFG;GDI2;PIK3CG;OPA1;UBE2Q2;GRAP2;CAPN2;PAPOLA;KIF21B;FCRL1;RPS6KL1;WARS;TPM3;ACSL1;DCAKD;ITPK1;DICER1;TMEM251;FAM133B;MINPP1;PPM1A;DOK3;TRAF3;TCP1;UBE2V2;KDELR2;SLC29A1;TPH2;WDR25;RGS14;NOTCH4;ATL2;SLC5A11;TM2D3;AK7;ADD1;PAK1;ASTE1;BTBD2;LEO1;TSPAN5;TMEM209;KIF3C;IGFBP6;STK30;DYNC1H1;MOAP1;MYEF2;PNPLA8;NR1D2;PRRC2A;XKR8;TM9SF2;GLUD1;MAS1;RIT1;EIF5;GCLM;RCOR1
ENCODE_Histone_Modifications_2015	H3K4me3 CH12.LX mm9	68/4143	0.9999919786650272	1.0	0	0	0.2675342645492903	2.145990559516668e-06	DCLRE1A;SETD3;PTPN21;HSPB1;EFCAB11;ANKRD9;MRPL1;PPP4R4;CCBE1;HSP90AA1;WARS;KCNK10;HIST1H2AH;GLRX5;FN3KRP;MTERFD3;PRPF4B;VRK1;DICER1;TC2N;MRPS7;TMEM251;PPA1;CINP;NDUFS2;RIN3;KDELR2;TLR6;SLC29A1;MET;WDR25;CEBPD;MGRN1;RNMT;GOSR2;ARL1;IGHMBP2;SPATA7;ADD1;BEGAIN;MAT2A;ASTE1;UBR7;GSC;RAB24;AP2S1;KRIT1;TMEM209;APBB3;MPZL1;RAB11FIP5;STK30;B3GALNT1;SPRYD3;DTNA;PNPLA8;NR1D2;MARCH6;CHFR;NUDT22;GALC;TM9SF2;TTC8;SLMAP;SNX14;TMEM9B;RCOR1;MXD4
ENCODE_Histone_Modifications_2015	H3K4me3 MEL cell line mm9	53/4088	0.9999919977300676	1.0	0	0	0.21132477507866865	1.6910846598420098e-06	IFITM3;CCNK;SLC46A1;FAM45A;ZFAND2B;TNFAIP2;TMEM186;ANKRD9;PAIP2B;RPS6KA5;PAPOLA;CCDC53;ARL6IP4;ITGAV;KIF21B;DLAT;HSP90AA1;RPS6KL1;WARS;GLRX5;ITPK1;FN3KRP;MTERFD3;DICER1;MRPS7;FAM133B;PPA1;CINP;TCP1;NDUFS2;RNMT;GOSR2;CUL2;ARL1;IGHMBP2;SPATA7;SYCE2;RAB24;AP2S1;LEO1;KRIT1;TMEM209;APBB3;MPZL1;RAB11FIP5;STK30;MAP2K6;SPRYD3;COQ5;XKR8;TECPR2;TMEM9B;LGMN
ENCODE_Histone_Modifications_2015	H3K36me3 CH12.LX mm9	54/4031	0.9999920178091588	1.0	0	0	0.2183566358278355	1.7429712949928185e-06	SLC46A1;BTG1;SETD3;GPR68;ZFAND2B;SPIC;PAIP2B;PSMD7;OPA1;PAPOLA;ARL6IP4;BDKRB1;DLAT;SLC25A47;HSP90AA1;ACSL1;VRK1;URB2;ASH1L;TAF6L;PPA1;TRAF3;RUFY3;TCP1;RIN3;KDELR2;PPID;SMARCD2;DDX24;MGRN1;ATL2;GSKIP;RFNG;TM2D3;ADD1;ATXN3;SYCE2;PPP1R2;SLC25A29;RAB24;BTBD2;AP2S1;TMEM209;APBB3;SH2B2;MARCH6;PRRC2A;NUDT22;GLUD1;RIT1;PSMC1;TDP1;DRG1;ATG2B
ENCODE_Histone_Modifications_2015	H3K4me3 A549 hg19	61/3895	0.9999920675249698	1.0	0	0	0.25527471849161937	2.024968361784584e-06	APP;SETD3;SMEK1;SERPINA10;ZFAND2B;SERPINA6;PREX2;NHSL2;PAIP2B;NETO1;CASP6;PPP4R4;CAPN2;BDKRB2;ARL6IP4;WARS;WSB2;HIST1H2AH;MTERFD3;BTN3A3;MRPS7;EML5;MINPP1;UTS2D;TRAF3;TLR6;STEAP1;TPH2;WDR25;C14ORF109;PDE1A;ARL1;IGHMBP2;AK7;SPATA7;FBLN5;ASTE1;GSC;KRIT1;UBQLN1;TSPAN5;SCN3B;CHGA;MOAP1;SPRYD3;DTNA;CBX2;CPSF2;NAP1L3;NUP153;CDC42BPB;CHFR;COQ5;PTPRD;XKR8;TTC8;PKIA;CCDC88C;DEGS2;ASB3;TECPR2
ENCODE_Histone_Modifications_2015	H3K4me1 CH12.LX mm9	57/3885	0.9999920712893048	1.0	0	0	0.2391493834036621	1.8961537909575591e-06	UGT1A10;APP;SLC46A1;EXOC3L4;FAM45A;GPR68;GMFG;GPR65;TNFAIP2;PTPN21;SERPINA9;CYP46A1;RPL10A;NUDT4;ANKRD9;SPIC;UBE2Q2;CASP6;PPP4R4;GRAP2;CAPN2;BDKRB2;CCDC53;DLAT;FCRL1;CCBE1;RPS6KL1;KCNK10;TPM3;KCNK13;URB2;FAM133B;TAF6L;UBE2V2;RIN3;ARHGEF2;SLC29A1;MET;DDX24;CEBPD;MGRN1;POLDIP3;TM2D3;RASGRP1;AK7;PAK1;ASTE1;TMEM209;SCN3B;MPZL1;RAB11FIP5;MAP2K6;B3GALNT1;DYNC1H1;NUDT22;PSMC1;ID1
