Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ENCODE_TF_ChIP-seq_2015	HDAC2 HepG2 hg19	10/255	0.9545549665554884	1.0	0	0	0.6392124902120587	0.029729805341675207	SERPINA11;PPP1CB;SERPINA1;APOH;ID1;ZFAND2B;SERPINA10;DRG1;KDELR2;PPID
ENCODE_TF_ChIP-seq_2015	RXRA SK-N-SH hg19	4/139	0.974243851938888	1.0	0	0	0.4690624028894244	0.012239547983892455	CAPN2;BDKRB1;RIN3;IGFBP6
ENCODE_TF_ChIP-seq_2015	FOXP2 PFSK-1 hg19	5/163	0.9746065752665994	1.0	0	0	0.4999975000124999	0.012860636679047664	HSP90AA1;OPA1;GMFG;PDLIM5;SAP30
ENCODE_TF_ChIP-seq_2015	ESRRA HepG2 hg19	3/115	0.9751424231508278	1.0	0	0	0.4252152652280217	0.0107034096420613	ZNF839;RNMT;GDI2
ENCODE_TF_ChIP-seq_2015	HSF1 HepG2 hg19	8/249	0.9872769022081168	1.0	0	0	0.5236921606556625	0.006705736482348184	DNAJA1;DNAJB1;SPR;MAT2A;TCP1;PAPOLA;UBQLN1;HSPD1
ENCODE_TF_ChIP-seq_2015	FOXM1 MCF-7 hg19	4/168	0.9932278871761262	1.0	0	0	0.3880932976287499	0.002637151253561782	SERPINA3;GLRX5;RNF26;ID1
ENCODE_TF_ChIP-seq_2015	MAFK GM12878 hg19	5/194	0.9933685721020148	1.0	0	0	0.42010099227854375	0.0027951476274983185	DYNC1H1;COL16A1;GDI2;STEAP1;ATG2B
ENCODE_TF_ChIP-seq_2015	NANOG H1-hESC hg19	2/113	0.9935447582538284	1.0	0	0	0.2884941327505752	0.0018683361588877304	ID1;RAC1
ENCODE_TF_ChIP-seq_2015	RXRA H1-hESC hg19	2/117	0.9948388178108836	1.0	0	0	0.2786310854770513	0.00144178967408675	SMARCD2;CNOT2
ENCODE_TF_ChIP-seq_2015	REST HL-60 hg19	2/118	0.9951202920799512	1.0	0	0	0.2762698050916525	0.001351415901587061	TPH2;SAP30
ENCODE_TF_ChIP-seq_2015	TEAD4 MCF-7 hg19	3/150	0.9957015337166578	1.0	0	0	0.32599837000815	0.001404313365660773	SERPINA3;SMARCD2;HSPB1
ENCODE_TF_ChIP-seq_2015	JUND HCT116 hg19	11/348	0.9960586753552316	1.0	0	0	0.5152273089209267	0.002034690417167689	SERPINA3;DNAJB1;SMARCD2;PNPLA8;ID1;RAB24;CAPN2;TSPAN5;HSPB1;RIN3;TLR6
ENCODE_TF_ChIP-seq_2015	CEBPB HCT116 hg19	9/303	0.9961535968372772	1.0	0	0	0.4841559950616088	0.0018658498609031766	SERPINA3;HIST1H2AH;ID1;CUL2;TSPAN5;HSPB1;RIN3;TLR6;ASB15
ENCODE_TF_ChIP-seq_2015	JUND T47D hg19	2/123	0.9963165818380808	1.0	0	0	0.26503932520987805	0.0009780530611635293	SMARCD2;DTNA
ENCODE_TF_ChIP-seq_2015	MEF2C GM12878 hg19	3/155	0.9966825326286192	1.0	0	0	0.31548229355627416	0.0010483420985411096	SMARCD2;POLDIP3;RCOR1
ENCODE_TF_ChIP-seq_2015	GABPA MEL cell line mm9	2/125	0.9967097358669164	1.0	0	0	0.26079869600651995	0.0008595113818503137	TSPAN5;GCLM
ENCODE_TF_ChIP-seq_2015	STAT5A K562 hg19	5/217	0.9976869847438684	1.0	0	0	0.3755741589955645	0.000869714979773775	WDR25;WARS;HEPH;ID1;MKRN3
ENCODE_TF_ChIP-seq_2015	STAT2 K562 hg19	7/271	0.9979917769689098	1.0	0	0	0.42103110517657744	0.000846374501339713	IFITM3;DNAJA1;C14ORF159;WDR25;WARS;IFI16;GCLM
ENCODE_TF_ChIP-seq_2015	TCF12 MCF-7 hg19	1/104	0.998639732606344	1.0	0	0	0.15672998558084136	0.0002133398215133684	SERPINA3
ENCODE_TF_ChIP-seq_2015	FOSL1 H1-hESC hg19	4/203	0.9987745289860586	1.0	0	0	0.3211806601065517	0.00039383895763101207	TDP1;ATL2;DICER1;EFCAB11
ENCODE_TF_ChIP-seq_2015	EP300 MCF-7 hg19	3/175	0.998841468075072	1.0	0	0	0.27942717429270003	0.000323912970119466	SERPINA3;SERPINA1;BTG1
ENCODE_TF_ChIP-seq_2015	FOSL1 HCT116 hg19	10/360	0.9989786045779326	1.0	0	0	0.4527755139002082	0.00046269917677876037	SERPINA3;DNAJB1;PNPLA8;TDP1;RAB24;CAPN2;TSPAN5;RIN3;TLR6;EFCAB11
ENCODE_TF_ChIP-seq_2015	NR2F2 HepG2 hg19	2/148	0.9991129268311104	1.0	0	0	0.22026916892442566	0.00019548158574572783	EXOC3L4;KIF21B
ENCODE_TF_ChIP-seq_2015	NELFE K562 hg19	8/334	0.9996126301658206	1.0	0	0	0.3904172095905988	0.0001512651494097025	SDCBP;EIF5;BTG1;MAT2A;HIST1H2AH;POLDIP3;ID1;RPL10A
ENCODE_TF_ChIP-seq_2015	JUND MEL cell line mm9	5/257	0.9996590770091368	1.0	0	0	0.3171190369729085	0.00010813160386686686	MGRN1;CPSF2;SLC29A1;MARCH6;SPATA7
ENCODE_TF_ChIP-seq_2015	NFE2 K562 hg19	6/287	0.9996967757843828	1.0	0	0	0.3407648466984146	0.00010334382231669582	ATXN3;EIF5;GRK6;CAPN2;SLC5A11;GCLM
