Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	VDR CHEA	3/76	0.8529452777394739	1.0	0	0	0.6434178355424012	0.10234196773712312	PPP1R2;CLMN;ARHGEF2
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	ZKSCAN1 ENCODE	4/120	0.9414457127661174	1.0	0	0	0.5433306166802501	0.03278380489682282	SPRYD3;ITPK1;CCDC53;MAP2K6
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	FOXP2 ENCODE	6/178	0.965447230396782	1.0	0	0	0.5494354550699156	0.019320257034207027	PPP1CB;CLIC4;BTG1;OPA1;CNOT2;SAP30
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	TRIM28 CHEA	7/210	0.9761807744502794	1.0	0	0	0.5433306166802501	0.0130983374063857	B3GALNT1;CLIC4;SOX17;CUL2;HSPB1;ITGAV;EVL
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	FOXM1 ENCODE	2/95	0.9825691536425089	1.0	0	0	0.3431561789559473	0.006034247785828856	GLRX5;RNF26
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	ESR1 CHEA	4/154	0.9869530612072874	1.0	0	0	0.4233745065040909	0.00556009175104888	SERPINA1;PHACTR1;SLC29A1;NT5C2
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	FOXA1 ENCODE	6/205	0.9882428151802152	1.0	0	0	0.4770707853777804	0.005642243223536838	PAIP2B;PSMD7;BTG1;TDP1;RNF26;EFCAB11
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SUZ12 ENCODE	2/105	0.9899328552712244	1.0	0	0	0.310474638103	0.0031414324094979013	SOX17;GSC
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	NELFE ENCODE	7/234	0.990629367664592	1.0	0	0	0.4876043995848397	0.004590704204597341	SDCBP;EIF5;BTG1;MAT2A;HIST1H2AH;POLDIP3;RPL10A
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	KAT2A ENCODE	1/90	0.9966889735233376	1.0	0	0	0.1811102055600833	0.0006006556288024853	NUP62
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	POU5F1 CHEA	7/261	0.9969220818630316	1.0	0	0	0.4371625651450287	0.0013476255942364065	SPIC;MOAP1;TCL1A;HSP90AA1;UBR7;GRAP2;NEFL
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	ZC3H11A ENCODE	2/129	0.9973762147451256	1.0	0	0	0.25271191473499993	0.0006639331860552721	CCDC88C;ARL1
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	EGR1 CHEA	9/315	0.9976047421074626	1.0	0	0	0.4657119571544999	0.001116838333546386	TAF6L;SDCBP;SERPINA1;RGS14;CNOT2;ITPK1;ARL1;MAPK1;PRPF4B
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	MYOD1 ENCODE	3/166	0.9981346302928849	1.0	0	0	0.29457684036881016	0.0005500078580732958	DTNA;HSPB1;EML1
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	HDAC2 ENCODE	3/175	0.998841468075072	1.0	0	0	0.27942717429270003	0.000323912970119466	PPP1CB;SMARCD2;ID1
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	CEBPB ENCODE	2/144	0.998884206849162	1.0	0	0	0.2263877569501041	0.0002527429392953953	CUL2;SH2B2
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	STAT5A ENCODE	5/233	0.998913304657274	1.0	0	0	0.34978365880702783	0.00038031495367840375	WDR25;WARS;HIST1H2AH;POLDIP3;MAPK1
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	STAT3 CHEA	3/177	0.998958412372943	1.0	0	0	0.2762698050916525	0.0002879091780747747	PSMD7;ASNS;NUP153
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SOX2 CHEA	29/775	0.9990210984561136	1.0	0	0	0.6099324342087967	0.0005973562257038082	BTG1;CEBPD;MGRN1;POLDIP3;SLC5A11;NUDT4;SPIC;PPP1R2;TCL1A;PTPRZ1;PEG10;GSC;GRAP2;GRK6;NEFL;ITGAV;PHACTR1;PDLIM5;CACNG3;DTNA;HIST1H2AH;ITPK1;ASNS;MYT1;CHFR;SAP30;PKIA;ID1;KIT
