Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ESCAPE	Protein POU5F1-19536159	1/2	0.11893874451416454	1.0	0	0	8.149959250203747	17.35245860132601	YY1
ESCAPE	Protein E2F4-20946988	1/8	0.3974541116276092	1.0	0	0	2.0374898125509366	1.8799425305582895	TDP1
ESCAPE	RNAiScreen 16767105	1/10	0.4691479925650968	1.0	0	0	1.6299918500407498	1.2336381599539008	TCL1
ESCAPE	Protein ZFP42-17093407	1/12	0.5323174809797019	1.0	0	0	1.3583265417006247	0.8564455295807103	YY1
ESCAPE	Protein GCN5-20946988	1/15	0.6132707379744892	1.0	0	0	1.0866612333605001	0.5313216842224844	TAF6L
ESCAPE	KDM5B-22020125 UP	3/61	0.731224805921947	1.0	0	0	0.8016353360856147	0.2509393839189359	PKIA;ID1;NEFL
ESCAPE	Protein POU5F1-22083510	10/198	0.7799209831184624	1.0	0	0	0.8232282070912877	0.20462379962983088	PPP1CB;DNAJA1;DYNC1H1;WARS;TCP1;CPSF2;LEO1;VRK1;PRPF4B;MATR3
ESCAPE	RNAiScreen 18614019	3/68	0.7956512340070818	1.0	0	0	0.7191140514885661	0.1643854001043053	TCP1;IGHMBP2;SMC1A
ESCAPE	Protein NANOG-21589869	5/129	0.9033385273583848	1.0	0	0	0.6317797868374999	0.06422540888775177	DNAJA1;PSMD7;PSMC1;HSPB1;HSPD1
ESCAPE	ZFP281-21915945 UP	4/110	0.9117161647016012	1.0	0	0	0.5927243091057272	0.0547834690746795	APP;CLIC4;WSB2;LRRFIP1
ESCAPE	Protein POU5F1-20362542	3/92	0.9269229179050408	1.0	0	0	0.531519081535027	0.04033425591560293	DNAJA1;MATR3;EMD
ESCAPE	RNAiScreen 20720539	1/43	0.9344782629472376	1.0	0	0	0.3790678721024999	0.02568825950253438	SMC1A
ESCAPE	Protein SOX2-22334693	2/71	0.9373535430332769	1.0	0	0	0.4591526338142957	0.029704766741651036	SMARCD2;TDP1
