Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Elsevier_Pathway_Collection	HGFR -> AP-1/CREB/MYC Signaling	7/38	0.007598938095319629	1.0	0	0	3.0026165658645385	14.652008476071613	PAK1;RPS6KA5;MAPK1;RAC1;RASGRP1;MET;MAP2K6
Elsevier_Pathway_Collection	VEGFR -> AP-1/CREB/MYC Signaling	7/43	0.014886134876226437	1.0	0	0	2.6534751047175	11.164032262972595	PAK1;RPS6KA5;KDR;MAPK1;RAC1;RASGRP1;MAP2K6
Elsevier_Pathway_Collection	BDKRB1/2 -> Prostaglandin Generation	5/26	0.019272086680015784	1.0	0	0	3.1345997116168265	12.378839934681109	BDKRB2;BDKRB1;MAPK1;RASGRP1;MAP2K6
Elsevier_Pathway_Collection	SOD1 Mutation	5/29	0.029919637295042188	1.0	0	0	2.8103307759323277	9.862125870334834	CHGA;DNAJB1;HSPB1;NEFL;RAC1
Elsevier_Pathway_Collection	VEGFA in Neovascular Glaucoma	6/39	0.030242245877449773	1.0	0	0	2.5076797692934614	8.77315644660368	KDR;HSPB1;MAPK1;RAC1;RASGRP1;MAP2K6
Elsevier_Pathway_Collection	HTR5 -> TNF Production	4/20	0.031037671893154824	1.0	0	0	3.2599837000814995	11.320468100805853	RPS6KA5;MAPK1;RASGRP1;MAP2K6
Elsevier_Pathway_Collection	KIT -> MITF Signaling	4/21	0.03653323830359866	1.0	0	0	3.10474638103	10.275259966060725	KIT;MAPK1;RAC1;RASGRP1
Elsevier_Pathway_Collection	AngiopoietinR -> AP-1 Signaling	5/31	0.03873108930631079	1.0	0	0	2.629019112968951	8.547237322091465	PAK1;MAPK1;RAC1;RASGRP1;MAP2K6
Elsevier_Pathway_Collection	ICAM1 -> AP-1/CREB/ELK/SRF Signaling	4/23	0.04909500707663269	1.0	0	0	2.8347684348534776	8.543986217977467	RPS6KA5;MAPK1;RASGRP1;MAP2K6
Elsevier_Pathway_Collection	Angiogenesis in Endometriosis	7/57	0.05870433351279657	1.0	0	0	2.001744377243026	5.6754291913994726	PAK1;KDR;HSPB1;MAPK1;RAC1;RASGRP1;MAP2K6
Elsevier_Pathway_Collection	Mitochondria Enlargement and Apoptosis in Alzheimer's Disease	3/15	0.060265276996608164	1.0	0	0	3.2599837000814995	9.157291535917278	APP;OPA1;DNM1L
