Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Enrichr_Libraries_Most_Popular_Genes	SILAC Phosphoproteomics	7/104	0.4565873329088594	1.0	0	0	1.0971098990658892	0.8601070485140465	BAT2;G3BP1;PRPF4B;NUP153;LRRFIP1;ARHGEF2;ADD1
Enrichr_Libraries_Most_Popular_Genes	NCI-Nature 2015	7/106	0.4766505257196609	1.0	0	0	1.0764097122910612	0.7975891420512523	YWHAE;HSP90AA1;PAK1;MAPK1;ITGAV;RAC1;MAP2K6
Enrichr_Libraries_Most_Popular_Genes	Drug Perturbations from GEO down	7/107	0.4866097489367982	1.0	0	0	1.0663498084378735	0.7680841042568692	IFITM3;DNAJA1;HSP90AA1;ID1;HSPB1;RPL10A;HSPD1
Enrichr_Libraries_Most_Popular_Genes	NCI-Nature 2016	7/109	0.5063567751599625	1.0	0	0	1.0467837569069036	0.7123507596405979	YWHAE;HSP90AA1;PAK1;MAPK1;ITGAV;RAC1;MAP2K6
Enrichr_Libraries_Most_Popular_Genes	GO Cellular Component 2015	7/115	0.5638819087074826	1.0	0	0	0.9921689521987171	0.5684239421597667	APP;SPARC;APC;TCP1;MAPK1;ITGAV;RAC1
Enrichr_Libraries_Most_Popular_Genes	Human Gene Atlas	7/116	0.5731742665841135	1.0	0	0	0.9836157715763144	0.5474465824114717	COL16A1;DTNA;CEBPD;PAPOLA;PHACTR1;PDLIM5;MXD4
Enrichr_Libraries_Most_Popular_Genes	Disease Signatures from GEO up 2014	8/137	0.6085040056063117	1.0	0	0	0.9518200584179559	0.4728183118961044	YWHAE;DNAJA1;SDCBP;GOLGA5;IFI16;PSMC1;ASNS;KDELR2
Enrichr_Libraries_Most_Popular_Genes	Jensen DISEASES	6/103	0.6109622259882945	1.0	0	0	0.9495098155577184	0.4678426139828854	APC;NOTCH4;KIT;KDR;MYOM2;HSPD1
Enrichr_Libraries_Most_Popular_Genes	WikiPathways 2016	6/104	0.6204137436439197	1.0	0	0	0.940379913485048	0.44890793215129776	PAK1;APC;MAPK1;RAC1;PIK3CG;MAP2K6
Enrichr_Libraries_Most_Popular_Genes	CORUM	6/109	0.6656433021119174	1.0	0	0	0.8972432202059173	0.3651791878439503	YY1;YWHAE;HSP90AA1;ITGAV;RCOR1;SAP30
Enrichr_Libraries_Most_Popular_Genes	KEA 2015	6/114	0.7073200835469178	1.0	0	0	0.8578904473898682	0.2970634244222537	PAK1;APC;HSPB1;MAPK1;MET;ADD1
