Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 CD4+ CD25int CD127+ Tmem Primary Cells	1/35	0.8911599110582049	1.0	0	0	0.4657119571544999	0.053664637990144655	ASB2
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 CD4+ CD25- Th Primary Cells	4/118	0.9363512035524624	1.0	0	0	0.5525396101833051	0.03633757706432211	SOX17;MKRN3;SERPINA9;GRM1
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 Colon Smooth Muscle	2/92	0.9794812537222104	1.0	0	0	0.3543460543566847	0.007346366323013519	DIO3;ASB2
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 Duodenum Smooth Muscle	1/65	0.9837879784427652	1.0	0	0	0.2507679769293461	0.0040987710385324205	KCNK10
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 Th17 Primary Cells	2/98	0.9852036704404352	1.0	0	0	0.33265139796749993	0.004958796854345149	PTPN21;LGMN
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 CD8 Memory Primary Cells	1/69	0.9874254586600444	1.0	0	0	0.2362307029044565	0.0029893270867343536	ASB2
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 Adipose Nuclei	2/105	0.9899328552712244	1.0	0	0	0.310474638103	0.0031414324094979013	MGRN1;SERPINA9
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 CD4 Memory Primary Cells	1/80	0.9937488054364126	1.0	0	0	0.20374898125509366	0.0012776721864066394	ASB2
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 Brain Cingulate Gyrus	2/115	0.9942272421372724	1.0	0	0	0.2834768434853478	0.0016411848293190494	DIO3;SERPINA9
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 Brain Substantia Nigra	1/89	0.9964717157260308	1.0	0	0	0.18314515168997186	0.0006473308148562834	DIO3
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 Chondrocytes from Bone Marrow Derived Mesenchymal Stem Cell Cultured Cells	2/129	0.9973762147451256	1.0	0	0	0.25271191473499993	0.0006639331860552721	SERPINA9;CHFR
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 Brain Inferior Temporal Lobe	3/170	0.9984897088626196	1.0	0	0	0.2876456205954264	0.00043475701902975615	FCRL1;MKRN3;TC2N
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 CD8 Naive Primary Cells	1/110	0.9990706666680392	1.0	0	0	0.1481810772764318	0.00013777364301863446	ASB2
Epigenomics_Roadmap_HM_ChIP-seq	H3K36me3 CD4+ CD25int CD127+ Tmem Primary Cells	2/148	0.9991129268311104	1.0	0	0	0.22026916892442566	0.00019548158574572783	C14ORF109;APBB3
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 Fetal Brain	1/115	0.9993232704545716	1.0	0	0	0.1417384217426739	9.595104783321065e-05	DIO3
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 Brain Hippocampus Middle	2/170	0.9997501257876596	1.0	0	0	0.1917637470636176	4.792280283866121e-05	DIO3;SERPINA9
Epigenomics_Roadmap_HM_ChIP-seq	H3K36me3 CD4+ CD25- Th Primary Cells	1/131	0.999753858615668	1.0	0	0	0.12442685878173662	3.063036912399862e-05	C14ORF129
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 Adult Liver	4/240	0.9998128243481762	1.0	0	0	0.27166530834012503	5.085389062002397e-05	KCNK10;DIO3;MKRN3;GRM1
Epigenomics_Roadmap_HM_ChIP-seq	H3K36me3 CD4+ CD25- CD45RA+ Naive Primary Cells	1/137	0.9998310842829032	1.0	0	0	0.1189775073022445	2.0098868519544867e-05	TCP1
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 Duodenum Mucosa	1/138	0.9998413205759658	1.0	0	0	0.11811535145222825	1.874396311801098e-05	CHFR
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 Brain Germinal Matrix	3/214	0.9998575036337524	1.0	0	0	0.22850353037954435	3.2563242880811945e-05	PEG10;DIO3;DEGS2
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 Brain Anterior Caudate	1/141	0.9998683890131084	1.0	0	0	0.11560225886813827	1.5215528663860453e-05	DIO3
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 Brain Mid Frontal Lobe	3/217	0.9998787061853368	1.0	0	0	0.2253444953973387	2.733455124963168e-05	FCRL1;DIO3;SERPINA5
Epigenomics_Roadmap_HM_ChIP-seq	H3K36me3 Fetal Heart	1/143	0.9998837618883746	1.0	0	0	0.11398544405879367	1.3250222875542015e-05	RPL10A
Epigenomics_Roadmap_HM_ChIP-seq	H3K36me3 Chondrocytes from Bone Marrow Derived Mesenchymal Stem Cell Cultured Cells	2/187	0.9999056369500781	1.0	0	0	0.17433067914874328	1.6451150782047332e-05	C14ORF129;ID1
Epigenomics_Roadmap_HM_ChIP-seq	H3K36me3 H1 BMP4 Derived Mesendoderm Cultured Cells	4/259	0.9999287296504134	1.0	0	0	0.2517361930564865	1.794196585543239e-05	DDX24;UBE2Q2;RNF26;APBB3
Epigenomics_Roadmap_HM_ChIP-seq	H3K36me3 Duodenum Smooth Muscle	1/164	0.9999670990825306	1.0	0	0	0.09938974695370427	3.2700676562399867e-06	C14ORF129
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 Stomach Smooth Muscle	2/217	0.9999810236168346	1.0	0	0	0.1502296635982258	2.8508427086752456e-06	TCL1A;TC2N
Epigenomics_Roadmap_HM_ChIP-seq	H3K9me3 Mesenchymal Stem Cell Derived Adipocyte Cultured Cells	4/295	0.9999862510302444	1.0	0	0	0.221015844073322	3.0387610456348597e-06	SYNPR;SOX17;KCNK10;SERPINA9
