Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2017b	novobiocin metabolic process (GO:0043641)	4/9	0.0013840810033142633	1.0	0	0	7.244408222403332	47.68790288938238	CYP2A6;CYP2A13;UGT1A8;UGT1A7
GO_Biological_Process_2017b	flavonoid glucuronidation (GO:0052696)	4/15	0.011153199458905414	1.0	0	0	4.3466449334420005	19.54264113121604	UGT1A10;UGT1A9;UGT1A8;UGT1A7
GO_Biological_Process_2017b	xenobiotic glucuronidation (GO:0052697)	4/16	0.014161105038328878	1.0	0	0	4.074979625101873	17.34823208774032	UGT1A10;UGT1A9;UGT1A8;UGT1A7
GO_Biological_Process_2017b	negative regulation of cytoskeleton organization (GO:0051494)	4/19	0.02606186730036592	1.0	0	0	3.4315617895594728	12.51587373898766	CLIC4;CAPN6;CAPN2;MAPK1
GO_Biological_Process_2017b	regulation of intermediate filament polymerization or depolymerization (GO:0045108)	4/19	0.02606186730036592	1.0	0	0	3.4315617895594728	12.51587373898766	CLIC4;CAPN6;CAPN2;MAPK1
GO_Biological_Process_2017b	retinoic acid biosynthetic process (GO:0002138)	3/11	0.026214740382281363	1.0	0	0	4.445432318292953	16.187745794221033	UGT1A9;UGT1A8;UGT1A7
GO_Biological_Process_2017b	retinoic acid metabolic process in spinal cord anterior-posterior patterning (GO:0021911)	3/11	0.026214740382281363	1.0	0	0	4.445432318292953	16.187745794221033	UGT1A9;UGT1A8;UGT1A7
GO_Biological_Process_2017b	9-cis-retinoic acid metabolic process (GO:0042905)	3/11	0.026214740382281363	1.0	0	0	4.445432318292953	16.187745794221033	UGT1A9;UGT1A8;UGT1A7
GO_Biological_Process_2017b	response to unfolded protein (GO:0006986)	5/29	0.029919637295042188	1.0	0	0	2.8103307759323277	9.862125870334834	DNAJA1;DNAJB1;HSP90AA1;HSPB1;HSPD1
GO_Biological_Process_2017b	detection of unfolded protein (GO:0002235)	5/29	0.029919637295042188	1.0	0	0	2.8103307759323277	9.862125870334834	DNAJA1;DNAJB1;HSP90AA1;HSPB1;HSPD1
GO_Biological_Process_2017b	actin filament reorganization (GO:0090527)	10/84	0.03256868897667185	1.0	0	0	1.9404664881437497	6.644941035017314	PAK1;TPM3;GPR65;RUFY3;KIT;PHACTR1;EVL;ARHGEF2;CDC42BPB;MYOM2
