Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	negative regulation of cell aging (GO:0090344)	2/15	0.01818459450442688	1.0	0	0	9.523809523809524	38.163623801391495	MIF;SLC30A10
GO_Biological_Process_2018	negative regulation of reactive oxygen species metabolic process (GO:2000378)	2/17	0.023125550902281255	1.0	0	0	8.403361344537815	31.653925824084496	SLC30A10;AATF
GO_Biological_Process_2018	sulfur compound transport (GO:0072348)	2/19	0.028550058464874583	1.0	0	0	7.518796992481202	26.73756612838909	SLC13A1;SLC6A6
GO_Biological_Process_2018	sodium ion transport (GO:0006814)	3/58	0.0476809740110602	1.0	0	0	3.6945812807881766	11.243434094886858	SLC13A1;SLC38A7;NALCN
GO_Biological_Process_2018	amino acid transmembrane transport (GO:0003333)	2/29	0.06190293731635892	1.0	0	0	4.9261083743842375	13.705357870988465	SLC6A6;SLC38A7
GO_Biological_Process_2018	oxoacid metabolic process (GO:0043436)	2/32	0.0736093549091019	1.0	0	0	4.464285714285714	11.647246234737489	CHST1;MIF
GO_Biological_Process_2018	macropinocytosis (GO:0044351)	1/6	0.08112380350479817	1.0	0	0	11.904761904761903	29.902129200617594	SNX33
GO_Biological_Process_2018	negative regulation of coenzyme metabolic process (GO:0051198)	1/6	0.08112380350479817	1.0	0	0	11.904761904761903	29.902129200617594	CBFA2T3
GO_Biological_Process_2018	positive regulation of RNA binding (GO:1905216)	1/6	0.08112380350479817	1.0	0	0	11.904761904761903	29.902129200617594	LARP6
GO_Biological_Process_2018	negative regulation of cell cycle phase transition (GO:1901988)	1/6	0.08112380350479817	1.0	0	0	11.904761904761903	29.902129200617594	SUSD2
GO_Biological_Process_2018	positive regulation of T-helper 17 type immune response (GO:2000318)	1/6	0.08112380350479817	1.0	0	0	11.904761904761903	29.902129200617594	NLRP10
GO_Biological_Process_2018	mitochondrial ribosome assembly (GO:0061668)	1/6	0.08112380350479817	1.0	0	0	11.904761904761903	29.902129200617594	FASTKD2
GO_Biological_Process_2018	negative regulation of glycolytic process (GO:0045820)	1/6	0.08112380350479817	1.0	0	0	11.904761904761903	29.902129200617594	CBFA2T3
GO_Biological_Process_2018	regulation of cell cycle checkpoint (GO:1901976)	1/6	0.08112380350479817	1.0	0	0	11.904761904761903	29.902129200617594	RPA2
GO_Biological_Process_2018	regulation of adiponectin secretion (GO:0070163)	1/6	0.08112380350479817	1.0	0	0	11.904761904761903	29.902129200617594	RAB11FIP3
GO_Biological_Process_2018	alpha-beta T cell activation (GO:0046631)	1/6	0.08112380350479817	1.0	0	0	11.904761904761903	29.902129200617594	STOML2
GO_Biological_Process_2018	positive regulation of mitochondrial membrane potential (GO:0010918)	1/6	0.08112380350479817	1.0	0	0	11.904761904761903	29.902129200617594	STOML2
GO_Biological_Process_2018	carboxylic acid transmembrane transport (GO:1905039)	2/35	0.08595638585550226	1.0	0	0	4.081632653061225	10.015980622789057	SLC6A6;SLC38A7
GO_Biological_Process_2018	muscle cell differentiation (GO:0042692)	2/36	0.0902017102090219	1.0	0	0	3.9682539682539684	9.546455920256301	MBNL1;BVES
GO_Biological_Process_2018	sodium ion transmembrane transport (GO:0035725)	2/36	0.0902017102090219	1.0	0	0	3.9682539682539684	9.546455920256301	SLC13A1;NALCN
GO_Biological_Process_2018	molybdopterin cofactor biosynthetic process (GO:0032324)	1/7	0.09399190794558986	1.0	0	0	10.20408163265306	24.12802638880543	MOCS3
GO_Biological_Process_2018	L-alanine transport (GO:0015808)	1/7	0.09399190794558986	1.0	0	0	10.20408163265306	24.12802638880543	SLC38A7
GO_Biological_Process_2018	molybdopterin cofactor metabolic process (GO:0043545)	1/7	0.09399190794558986	1.0	0	0	10.20408163265306	24.12802638880543	MOCS3
GO_Biological_Process_2018	erythrocyte development (GO:0048821)	1/7	0.09399190794558986	1.0	0	0	10.20408163265306	24.12802638880543	SMIM1
GO_Biological_Process_2018	positive regulation of protein kinase A signaling (GO:0010739)	1/7	0.09399190794558986	1.0	0	0	10.20408163265306	24.12802638880543	MIF
GO_Biological_Process_2018	regulation of T-helper 17 type immune response (GO:2000316)	1/7	0.09399190794558986	1.0	0	0	10.20408163265306	24.12802638880543	NLRP10
GO_Biological_Process_2018	cleavage furrow formation (GO:0036089)	1/7	0.09399190794558986	1.0	0	0	10.20408163265306	24.12802638880543	SNX33
GO_Biological_Process_2018	regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000095)	1/7	0.09399190794558986	1.0	0	0	10.20408163265306	24.12802638880543	MLLT3
GO_Biological_Process_2018	ion homeostasis (GO:0050801)	1/7	0.09399190794558986	1.0	0	0	10.20408163265306	24.12802638880543	P2RY2
GO_Biological_Process_2018	cellular ion homeostasis (GO:0006873)	1/7	0.09399190794558986	1.0	0	0	10.20408163265306	24.12802638880543	P2RY2
GO_Biological_Process_2018	regulation of lymphocyte migration (GO:2000401)	1/7	0.09399190794558986	1.0	0	0	10.20408163265306	24.12802638880543	SPN
GO_Biological_Process_2018	positive regulation of mRNA binding (GO:1902416)	1/7	0.09399190794558986	1.0	0	0	10.20408163265306	24.12802638880543	LARP6
GO_Biological_Process_2018	establishment of protein localization to peroxisome (GO:0072663)	1/7	0.09399190794558986	1.0	0	0	10.20408163265306	24.12802638880543	PEX1
GO_Biological_Process_2018	mannose metabolic process (GO:0006013)	1/7	0.09399190794558986	1.0	0	0	10.20408163265306	24.12802638880543	MAN2A2
GO_Biological_Process_2018	negative regulation of nitrogen compound metabolic process (GO:0051172)	1/7	0.09399190794558986	1.0	0	0	10.20408163265306	24.12802638880543	ACMSD
GO_Biological_Process_2018	T-helper cell lineage commitment (GO:0002295)	1/8	0.10668044112882412	1.0	0	0	8.928571428571429	19.981405755455626	SPN
GO_Biological_Process_2018	negative regulation of calcium ion transmembrane transport (GO:1903170)	1/8	0.10668044112882412	1.0	0	0	8.928571428571429	19.981405755455626	YWHAE
GO_Biological_Process_2018	positive regulation of membrane potential (GO:0045838)	1/8	0.10668044112882412	1.0	0	0	8.928571428571429	19.981405755455626	STOML2
GO_Biological_Process_2018	cellular response to angiotensin (GO:1904385)	1/8	0.10668044112882412	1.0	0	0	8.928571428571429	19.981405755455626	SLC30A10
GO_Biological_Process_2018	positive regulation of protein localization to cell surface (GO:2000010)	1/8	0.10668044112882412	1.0	0	0	8.928571428571429	19.981405755455626	SNX33
GO_Biological_Process_2018	granulocyte differentiation (GO:0030851)	1/8	0.10668044112882412	1.0	0	0	8.928571428571429	19.981405755455626	CBFA2T3
GO_Biological_Process_2018	peroxisomal transport (GO:0043574)	1/8	0.10668044112882412	1.0	0	0	8.928571428571429	19.981405755455626	PEX1
GO_Biological_Process_2018	positive regulation of tumor necrosis factor biosynthetic process (GO:0042535)	1/8	0.10668044112882412	1.0	0	0	8.928571428571429	19.981405755455626	SPN
GO_Biological_Process_2018	negative regulation of biosynthetic process (GO:0009890)	1/8	0.10668044112882412	1.0	0	0	8.928571428571429	19.981405755455626	SLC30A10
GO_Biological_Process_2018	positive regulation of non-canonical Wnt signaling pathway (GO:2000052)	1/8	0.10668044112882412	1.0	0	0	8.928571428571429	19.981405755455626	MLLT3
GO_Biological_Process_2018	DNA damage induced protein phosphorylation (GO:0006975)	1/8	0.10668044112882412	1.0	0	0	8.928571428571429	19.981405755455626	MAP2K6
GO_Biological_Process_2018	regulation of ERAD pathway (GO:1904292)	1/8	0.10668044112882412	1.0	0	0	8.928571428571429	19.981405755455626	TMEM259
GO_Biological_Process_2018	alanine transport (GO:0032328)	1/9	0.11919189968074473	1.0	0	0	7.936507936507937	16.881114939352628	SLC38A7
GO_Biological_Process_2018	negative regulation of leukocyte chemotaxis (GO:0002689)	1/9	0.11919189968074473	1.0	0	0	7.936507936507937	16.881114939352628	MIF
GO_Biological_Process_2018	mitochondrial protein processing (GO:0034982)	1/9	0.11919189968074473	1.0	0	0	7.936507936507937	16.881114939352628	STOML2
GO_Biological_Process_2018	manganese ion transport (GO:0006828)	1/9	0.11919189968074473	1.0	0	0	7.936507936507937	16.881114939352628	SLC30A10
GO_Biological_Process_2018	pinocytosis (GO:0006907)	1/9	0.11919189968074473	1.0	0	0	7.936507936507937	16.881114939352628	SNX33
GO_Biological_Process_2018	axonal transport of mitochondrion (GO:0019896)	1/9	0.11919189968074473	1.0	0	0	7.936507936507937	16.881114939352628	TRAK1
GO_Biological_Process_2018	regulation of T-helper 1 type immune response (GO:0002825)	1/9	0.11919189968074473	1.0	0	0	7.936507936507937	16.881114939352628	NLRP10
GO_Biological_Process_2018	regulation of leukocyte activation (GO:0002694)	1/9	0.11919189968074473	1.0	0	0	7.936507936507937	16.881114939352628	MIF
GO_Biological_Process_2018	tRNA wobble uridine modification (GO:0002098)	1/9	0.11919189968074473	1.0	0	0	7.936507936507937	16.881114939352628	MOCS3
GO_Biological_Process_2018	cytoskeletal anchoring at plasma membrane (GO:0007016)	1/9	0.11919189968074473	1.0	0	0	7.936507936507937	16.881114939352628	TLN1
GO_Biological_Process_2018	indolalkylamine catabolic process (GO:0046218)	1/9	0.11919189968074473	1.0	0	0	7.936507936507937	16.881114939352628	ACMSD
GO_Biological_Process_2018	nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' (GO:0034427)	1/9	0.11919189968074473	1.0	0	0	7.936507936507937	16.881114939352628	SKIV2L
GO_Biological_Process_2018	nucleobase-containing compound catabolic process (GO:0034655)	2/43	0.12147607961517272	1.0	0	0	3.3222591362126246	7.003448209898219	RNASET2;SKIV2L
GO_Biological_Process_2018	RNA catabolic process (GO:0006401)	2/43	0.12147607961517272	1.0	0	0	3.3222591362126246	7.003448209898219	RNASET2;SKIV2L
GO_Biological_Process_2018	hexose metabolic process (GO:0019318)	2/45	0.13084225779872544	1.0	0	0	3.174603174603175	6.4563899056502025	MAN2A2;CHST1
GO_Biological_Process_2018	mitotic G1/S transition checkpoint (GO:0044819)	1/10	0.13152874576436102	1.0	0	0	7.142857142857142	14.48949894489333	RPA2
GO_Biological_Process_2018	protein deglycosylation (GO:0006517)	1/10	0.13152874576436102	1.0	0	0	7.142857142857142	14.48949894489333	MAN2A2
GO_Biological_Process_2018	mitotic G1 DNA damage checkpoint (GO:0031571)	1/10	0.13152874576436102	1.0	0	0	7.142857142857142	14.48949894489333	RPA2
GO_Biological_Process_2018	regulation of DNA damage checkpoint (GO:2000001)	1/10	0.13152874576436102	1.0	0	0	7.142857142857142	14.48949894489333	RPA2
