Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2015	mast cell granule (GO:0042629)	3/18	0.09446349118249313	1.0	0	0	2.716653083401249	6.410056658035535	KIT;RASGRP1;PIK3CG
GO_Cellular_Component_2015	nuclear inclusion body (GO:0042405)	2/9	0.1016066838592796	1.0	0	0	3.622204111201666	8.282698397120452	ATXN3;NUP153
GO_Cellular_Component_2015	dendritic shaft (GO:0043198)	4/35	0.16486185374268375	1.0	0	0	1.862847828618	3.3580578056872232	APP;GRM7;DLG3;ARHGEF2
GO_Cellular_Component_2015	proteasome regulatory particle (GO:0005838)	2/12	0.16529135979264584	1.0	0	0	2.716653083401249	4.890099281114446	PSMD7;PSMC1
GO_Cellular_Component_2015	pseudopodium (GO:0031143)	2/13	0.1878035462248389	1.0	0	0	2.5076797692934614	4.193740403485409	CAPN2;MAPK1
GO_Cellular_Component_2015	platelet alpha granule (GO:0031091)	2/13	0.1878035462248389	1.0	0	0	2.5076797692934614	4.193740403485409	SPARC;SERPINA5
GO_Cellular_Component_2015	voltage-gated calcium channel complex (GO:0005891)	4/38	0.20240578653524727	1.0	0	0	1.7157808947797364	2.7409269547059183	PPM1A;CATSPERB;CACNA1A;CACNG3
GO_Cellular_Component_2015	exocyst (GO:0000145)	2/16	0.2571168681159845	1.0	0	0	2.0374898125509366	2.767368699467789	EXOC3L4;TNFAIP2
GO_Cellular_Component_2015	endocytic vesicle lumen (GO:0071682)	2/16	0.2571168681159845	1.0	0	0	2.0374898125509366	2.767368699467789	HSP90AA1;SPARC
GO_Cellular_Component_2015	nuclear inner membrane (GO:0005637)	2/19	0.3267716236372981	1.0	0	0	1.7157808947797364	1.9190902084528567	MATR3;EMD
GO_Cellular_Component_2015	ruffle membrane (GO:0032587)	4/49	0.3540988285179434	1.0	0	0	1.3306055918699995	1.3814070864149022	APC;ITGAV;RAC1;ARHGEF2
GO_Cellular_Component_2015	spindle midzone (GO:0051233)	2/22	0.394576790795926	1.0	0	0	1.481810772764318	1.377997338910336	APP;EML1
GO_Cellular_Component_2015	platelet alpha granule membrane (GO:0031092)	1/8	0.3974541116276092	1.0	0	0	2.0374898125509366	1.8799425305582895	SPARC
GO_Cellular_Component_2015	ubiquitin conjugating enzyme complex (GO:0031371)	1/8	0.3974541116276092	1.0	0	0	2.0374898125509366	1.8799425305582895	UBE2V2
GO_Cellular_Component_2015	MLL5-L complex (GO:0070688)	1/8	0.3974541116276092	1.0	0	0	2.0374898125509366	1.8799425305582895	PPP1CB
GO_Cellular_Component_2015	asymmetric synapse (GO:0032279)	1/8	0.3974541116276092	1.0	0	0	2.0374898125509366	1.8799425305582895	GRM7
GO_Cellular_Component_2015	growth cone (GO:0030426)	7/99	0.4058560920393463	1.0	0	0	1.1525194899278028	1.0392920973766495	PAK1;DLG3;APC;RUFY3;IGHMBP2;NEFL;DICER1
GO_Cellular_Component_2015	chaperonin-containing T-complex (GO:0005832)	1/9	0.4344350281232834	1.0	0	0	1.811102055600833	1.5099318626648055	TCP1
GO_Cellular_Component_2015	neurofilament (GO:0005883)	1/9	0.4344350281232834	1.0	0	0	1.811102055600833	1.5099318626648055	NEFL
GO_Cellular_Component_2015	dense core granule (GO:0031045)	1/9	0.4344350281232834	1.0	0	0	1.811102055600833	1.5099318626648055	SYT5
GO_Cellular_Component_2015	nuclear envelope lumen (GO:0005641)	1/9	0.4344350281232834	1.0	0	0	1.811102055600833	1.5099318626648055	APP
GO_Cellular_Component_2015	F-actin capping protein complex (GO:0008290)	1/9	0.4344350281232834	1.0	0	0	1.811102055600833	1.5099318626648055	ADD1
GO_Cellular_Component_2015	spindle pole centrosome (GO:0031616)	1/9	0.4344350281232834	1.0	0	0	1.811102055600833	1.5099318626648055	ROCK2
GO_Cellular_Component_2015	spectrin (GO:0008091)	1/9	0.4344350281232834	1.0	0	0	1.811102055600833	1.5099318626648055	EPB41L2
GO_Cellular_Component_2015	CatSper complex (GO:0036128)	1/9	0.4344350281232834	1.0	0	0	1.811102055600833	1.5099318626648055	CATSPERB
GO_Cellular_Component_2015	site of polarized growth (GO:0030427)	7/102	0.4363689551105317	1.0	0	0	1.118621857871103	0.9276363780856988	PAK1;DLG3;APC;RUFY3;IGHMBP2;NEFL;DICER1
GO_Cellular_Component_2015	Golgi stack (GO:0005795)	2/25	0.4590882021983032	1.0	0	0	1.3039934800325998	1.0151757792732854	GOSR2;VRK1
GO_Cellular_Component_2015	calcium channel complex (GO:0034704)	4/57	0.4662290165989913	1.0	0	0	1.1438539298531576	0.8728501278545854	PPM1A;CATSPERB;CACNA1A;CACNG3
GO_Cellular_Component_2015	mRNA cleavage and polyadenylation specificity factor complex (GO:0005847)	1/10	0.4691479925650968	1.0	0	0	1.6299918500407498	1.2336381599539008	CPSF2
GO_Cellular_Component_2015	RISC complex (GO:0016442)	1/10	0.4691479925650968	1.0	0	0	1.6299918500407498	1.2336381599539008	DICER1
GO_Cellular_Component_2015	perinuclear endoplasmic reticulum (GO:0097038)	1/10	0.4691479925650968	1.0	0	0	1.6299918500407498	1.2336381599539008	CAPN2
GO_Cellular_Component_2015	junctional sarcoplasmic reticulum membrane (GO:0014701)	1/10	0.4691479925650968	1.0	0	0	1.6299918500407498	1.2336381599539008	JPH3
GO_Cellular_Component_2015	prefoldin complex (GO:0016272)	1/10	0.4691479925650968	1.0	0	0	1.6299918500407498	1.2336381599539008	SLMAP
GO_Cellular_Component_2015	beta-catenin destruction complex (GO:0030877)	1/10	0.4691479925650968	1.0	0	0	1.6299918500407498	1.2336381599539008	APC
GO_Cellular_Component_2015	ciliary rootlet (GO:0035253)	1/10	0.4691479925650968	1.0	0	0	1.6299918500407498	1.2336381599539008	APP
GO_Cellular_Component_2015	RNAi effector complex (GO:0031332)	1/10	0.4691479925650968	1.0	0	0	1.6299918500407498	1.2336381599539008	DICER1
GO_Cellular_Component_2015	protein serine/threonine phosphatase complex (GO:0008287)	3/43	0.4962628638251218	1.0	0	0	1.1372036163075	0.7967811738795376	PPP1CB;SMEK1;PPP4R4
GO_Cellular_Component_2015	phosphatase complex (GO:1903293)	3/43	0.4962628638251218	1.0	0	0	1.1372036163075	0.7967811738795376	PPP1CB;SMEK1;PPP4R4
GO_Cellular_Component_2015	SMN complex (GO:0032797)	1/11	0.5017319865234258	1.0	0	0	1.481810772764318	1.0219888764151441	IGHMBP2
GO_Cellular_Component_2015	BBSome (GO:0034464)	1/11	0.5017319865234258	1.0	0	0	1.481810772764318	1.0219888764151441	TTC8
GO_Cellular_Component_2015	CD40 receptor complex (GO:0035631)	1/11	0.5017319865234258	1.0	0	0	1.481810772764318	1.0219888764151441	TRAF3
GO_Cellular_Component_2015	zona pellucida receptor complex (GO:0002199)	1/11	0.5017319865234258	1.0	0	0	1.481810772764318	1.0219888764151441	TCP1
GO_Cellular_Component_2015	phagocytic cup (GO:0001891)	1/11	0.5017319865234258	1.0	0	0	1.481810772764318	1.0219888764151441	RAC1
GO_Cellular_Component_2015	ER to Golgi transport vesicle (GO:0030134)	1/11	0.5017319865234258	1.0	0	0	1.481810772764318	1.0219888764151441	APP
GO_Cellular_Component_2015	cytoplasmic ubiquitin ligase complex (GO:0000153)	1/11	0.5017319865234258	1.0	0	0	1.481810772764318	1.0219888764151441	CUL2
GO_Cellular_Component_2015	microvillus membrane (GO:0031528)	1/11	0.5017319865234258	1.0	0	0	1.481810772764318	1.0219888764151441	ITGAV
GO_Cellular_Component_2015	alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex (GO:0032281)	2/28	0.5194160132558033	1.0	0	0	1.1642798928862497	0.7626617183986673	DLG3;CACNG3
GO_Cellular_Component_2015	cytoplasmic side of membrane (GO:0098562)	3/45	0.5271441294496136	1.0	0	0	1.0866612333605001	0.6957688426142214	DNAJA1;TRAF3;KIT
GO_Cellular_Component_2015	mRNA cap binding complex (GO:0005845)	1/12	0.5323174809797019	1.0	0	0	1.3583265417006247	0.8564455295807103	RNMT
GO_Cellular_Component_2015	nuclear periphery (GO:0034399)	1/12	0.5323174809797019	1.0	0	0	1.3583265417006247	0.8564455295807103	NUP153
GO_Cellular_Component_2015	PRC1 complex (GO:0035102)	1/12	0.5323174809797019	1.0	0	0	1.3583265417006247	0.8564455295807103	CBX2
GO_Cellular_Component_2015	cohesin complex (GO:0008278)	1/12	0.5323174809797019	1.0	0	0	1.3583265417006247	0.8564455295807103	SMC1A
GO_Cellular_Component_2015	proteasome complex (GO:0000502)	4/63	0.5455301335280766	1.0	0	0	1.034915460343333	0.6271559074646601	PSMD7;PSMC1;UBQLN1;HSPB1
GO_Cellular_Component_2015	STAGA complex (GO:0030914)	1/13	0.5610269574816582	1.0	0	0	1.253839884646731	0.7247023033815463	TAF6L
GO_Cellular_Component_2015	pre-autophagosomal structure (GO:0000407)	1/13	0.5610269574816582	1.0	0	0	1.253839884646731	0.7247023033815463	ATG2B
GO_Cellular_Component_2015	RNA cap binding complex (GO:0034518)	1/13	0.5610269574816582	1.0	0	0	1.253839884646731	0.7247023033815463	RNMT
GO_Cellular_Component_2015	transcription export complex (GO:0000346)	1/13	0.5610269574816582	1.0	0	0	1.253839884646731	0.7247023033815463	POLDIP3
GO_Cellular_Component_2015	nuclear outer membrane (GO:0005640)	1/13	0.5610269574816582	1.0	0	0	1.253839884646731	0.7247023033815463	EMD
GO_Cellular_Component_2015	acrosomal membrane (GO:0002080)	1/13	0.5610269574816582	1.0	0	0	1.253839884646731	0.7247023033815463	SERPINA5
GO_Cellular_Component_2015	axonal growth cone (GO:0044295)	1/13	0.5610269574816582	1.0	0	0	1.253839884646731	0.7247023033815463	APC
GO_Cellular_Component_2015	chylomicron (GO:0042627)	1/13	0.5610269574816582	1.0	0	0	1.253839884646731	0.7247023033815463	APOH
GO_Cellular_Component_2015	sperm flagellum (GO:0036126)	1/13	0.5610269574816582	1.0	0	0	1.253839884646731	0.7247023033815463	OAZ3
GO_Cellular_Component_2015	cell projection cytoplasm (GO:0032838)	1/13	0.5610269574816582	1.0	0	0	1.253839884646731	0.7247023033815463	MAPK1
GO_Cellular_Component_2015	dendrite cytoplasm (GO:0032839)	1/13	0.5610269574816582	1.0	0	0	1.253839884646731	0.7247023033815463	MAPK1
GO_Cellular_Component_2015	filopodium membrane (GO:0031527)	1/13	0.5610269574816582	1.0	0	0	1.253839884646731	0.7247023033815463	ITGAV
GO_Cellular_Component_2015	postsynaptic density (GO:0014069)	6/98	0.5618345035928342	1.0	0	0	0.9979541939024998	0.5753684447365981	NETO1;RGS14;LRP4;PDLIM5;GRM1;ADD1
GO_Cellular_Component_2015	platelet alpha granule lumen (GO:0031093)	3/48	0.5714139777479177	1.0	0	0	1.0187449062754683	0.5701317514289843	APP;SPARC;SERPINA1
