Node	Similar	rank-distance
18840	18840	0.0
18840	218921	0.03375848010182381
18840	75752	0.05292440205812454
18840	14947	0.07510481774806976
18840	75753	0.08147863298654556
18840	218919	0.10124287754297256
18840	137836	0.10841546952724457
18840	14914	0.11126471310853958
18840	218916	0.12093580514192581
18840	218750	0.1555575728416443
18840	218918	0.1894163191318512
18840	75564	0.20204703509807587
18840	75571	0.21926343441009521
18840	75569	0.2377076894044876
18840	14930	0.26130786538124084
18840	14945	0.27181053161621094
18840	218769	0.3024086654186249
18840	14912	0.3098961114883423
18840	218717	0.36373093724250793
18840	74018	0.36517569422721863
271959	271959	0.0
271959	271953	0.0
271959	271956	0.0
271959	271955	0.0
271959	271951	0.0
271959	271962	0.0
271959	271957	0.0
271959	271950	0.0
271959	271960	1.666000493116826e-08
271959	271963	3.161013495400766e-08
271959	271964	4.652886076428331e-08
271959	271952	4.7706993910878737e-08
271959	271961	4.8856723111612155e-08
271959	271939	0.16790466010570526
271959	271944	0.16790467500686646
271959	271946	0.16790467500686646
271959	271937	0.18247069418430328
271959	271941	0.18247070908546448
271959	271938	0.18247070908546448
271959	271948	0.18247070908546448
271793	271793	0.0
271793	127593	0.005007482599467039
271793	216653	0.010789572261273861
271793	246624	0.0110649224370718
271793	1132	0.01647617481648922
271793	219050	0.01675567775964737
271793	75617	0.023141643032431602
271793	1255	0.03153647109866142
271793	1214	0.03153647109866142
271793	219045	0.03578256815671921
271793	26305	0.03660178929567337
271793	75687	0.03760988637804985
271793	219046	0.03769275173544884
271793	1258	0.0404893159866333
271793	218631	0.04113147780299187
271793	135210	0.04676390811800957
271793	75658	0.05073302239179611
271793	75565	0.05173290893435478
271793	1262	0.0539962463080883
271793	75689	0.05585019290447235
75583	75583	0.0
75583	34547	0.0006001355359330773
75583	34442	0.004617653787136078
75583	215685	0.006265840958803892
75583	848	0.008802742697298527
75583	14936	0.010063659399747849
75583	1263	0.010297775268554688
75583	34696	0.012352360412478447
75583	218722	0.01255585066974163
75583	812	0.012692012824118137
75583	218725	0.014601120725274086
75583	841	0.015317333862185478
75583	212320	0.01810171641409397
75583	218720	0.018867282196879387
75583	663	0.021685052663087845
75583	218732	0.024081934243440628
75583	846	0.024420488625764847
75583	137379	0.025649115443229675
75583	128653	0.02571304887533188
75583	862	0.026586102321743965
137380	137380	0.0
137380	34927	0.000369794899597764
137380	246655	0.0011444545816630125
137380	137395	0.0015413955552503467
137380	14891	0.002278360305353999
137380	75580	0.0023181617725640535
137380	36294	0.002648324007168412
137380	36306	0.0031234133057296276
137380	34200	0.003285757964476943
137380	218987	0.004380335099995136
137380	34928	0.004736084956675768
137380	34550	0.005879441276192665
137380	34531	0.005879496224224567
137380	35004	0.006367282941937447
137380	838	0.006685163825750351
137380	225468	0.007118975277990103
137380	34674	0.009824659675359726
137380	34693	0.0098246606066823
137380	34487	0.010743760503828526
137380	34507	0.010743768885731697
35884	35884	0.0
35884	218723	0.00011578284465940669
35884	653	0.0004372499533928931
35884	218724	0.0006064902408979833
35884	218728	0.00130989879835397
35884	218730	0.003849742701277137
35884	1087	0.007570999208837748
35884	135195	0.007931084372103214
35884	647	0.009036130271852016
35884	34391	0.009774851612746716
35884	648	0.011165674775838852
35884	652	0.013931323774158955
35884	654	0.014511092565953732
35884	34903	0.01599881425499916
35884	218726	0.01651664264500141
35884	137039	0.017187338322401047
35884	135196	0.019688459113240242
35884	218731	0.023564837872982025
35884	225899	0.02418672665953636
35884	665	0.02764582261443138
75610	75610	0.0
75610	75609	8.229434911299904e-08
75610	219219	0.010715059004724026
75610	219215	0.015280837193131447
75610	75765	0.016840599477291107
75610	215905	0.02518683299422264
75610	75763	0.028391309082508087
75610	75648	0.03042514994740486
75610	18839	0.03095610998570919
75610	218378	0.032468393445014954
75610	219274	0.03380661830306053
75610	219231	0.039034318178892136
75610	1260	0.04234766215085983
75610	267500	0.04269733652472496
75610	219205	0.04380090907216072
75610	75708	0.043884847313165665
75610	75561	0.044025931507349014
75610	75552	0.04402593523263931
75610	75563	0.04402595013380051
75610	75761	0.04557866230607033
137124	137124	0.0
137124	273288	0.00029893559985794127
137124	137530	0.0003559959586709738
137124	135194	0.0018741931999102235
137124	35889	0.0030918626580387354
137124	651	0.003486758330836892
137124	135200	0.004140297416597605
137124	128654	0.004659988451749086
137124	661	0.004904281813651323
137124	135203	0.009954487904906273
137124	352630	0.01076581235975027
137124	135190	0.010915406979620457
137124	135199	0.010973065160214901
137124	665	0.011213111691176891
137124	137020	0.015078259631991386
137124	75573	0.015211193822324276
137124	218731	0.015294097363948822
137124	271887	0.01653951220214367
137124	135196	0.019170474261045456
137124	137381	0.02070830762386322
