271955:"{'positive regulation of telomerase activity (GO:0051973)', 'negative regulation of stress-activated MAPK cascade (GO:0032873)', 'regulation of chromosome organization (GO:0033044)', 'branching morphogenesis of an epithelial tube (GO:0048754)', 'regulation of response to DNA damage stimulus (GO:2001020)', 'regulation of fibroblast proliferation (GO:0048145)', 'energy reserve metabolic process (GO:0006112)', 'regulation of monocyte differentiation (GO:0045655)', 'branching involved in ureteric bud morphogenesis (GO:0001658)', 'regulation of telomerase activity (GO:0051972)', 'positive regulation of fibroblast proliferation (GO:0048146)', 'ureteric bud morphogenesis (GO:0060675)', 'negative regulation of stress-activated protein kinase signaling cascade (GO:0070303)', 'regulation of mesenchymal cell proliferation (GO:0010464)', 'protein-DNA complex disassembly (GO:0032986)', 'negative regulation of fibroblast proliferation (GO:0048147)', 'positive regulation of mesenchymal cell proliferation (GO:0002053)', 'ERK1 and ERK2 cascade (GO:0070371)', 'beta-catenin-TCF complex assembly (GO:1904837)', 'regulation of stress-activated MAPK cascade (GO:0032872)', 'response to growth factor (GO:0070848)', 'negative regulation of cell division (GO:0051782)', 'regulation of DNA biosynthetic process (GO:2000278)', 'oxygen transport (GO:0015671)', 'response to gamma radiation (GO:0010332)', 'negative regulation of myeloid leukocyte differentiation (GO:0002762)', 'positive regulation of metanephros development (GO:0072216)', 'regulation of telomere maintenance (GO:0032204)', 'gas transport (GO:0015669)', 'cellular response to drug (GO:0035690)'}"
218445:"{'JAK-STAT cascade (GO:0007259)', 'JAK-STAT cascade involved in growth hormone signaling pathway (GO:0060397)', 'cellular response to growth hormone stimulus (GO:0071378)', 'regulation of inflammatory response (GO:0050727)', 'positive regulation of interferon-gamma biosynthetic process (GO:0045078)', 'regulation of interferon-gamma biosynthetic process (GO:0045072)', 'regulation of tyrosine phosphorylation of STAT protein (GO:0042509)', 'cellular response to interleukin-21 (GO:0098757)', 'positive regulation of cytokine biosynthetic process (GO:0042108)', 'regulation of macromolecule biosynthetic process (GO:0010556)', 'interleukin-23-mediated signaling pathway (GO:0038155)', 'positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)', 'T-helper cell differentiation (GO:0042093)', 'interleukin-27-mediated signaling pathway (GO:0070106)', 'positive regulation of osteoclast differentiation (GO:0045672)', 'interleukin-6-mediated signaling pathway (GO:0070102)', 'cytokine-mediated signaling pathway (GO:0019221)', 'interleukin-21-mediated signaling pathway (GO:0038114)', 'interleukin-35-mediated signaling pathway (GO:0070757)', 'regulation of cytokine biosynthetic process (GO:0042035)', 'response to leptin (GO:0044321)', 'regulation of T-helper 17 cell lineage commitment (GO:2000328)', 'positive regulation of NF-kappaB import into nucleus (GO:0042346)', 'positive regulation of interleukin-17 production (GO:0032740)', 'positive regulation of tissue remodeling (GO:0034105)', 'T-helper 17 cell differentiation (GO:0072539)', 'positive regulation of JAK-STAT cascade (GO:0046427)', 'tyrosine phosphorylation of STAT protein (GO:0007260)', 'regulation of cytokine production (GO:0001817)', 'regulation of tissue remodeling (GO:0034103)'}"
34466:"{'Rho protein signal transduction (GO:0007266)', 'exit from mitosis (GO:0010458)', 'neurotrophin signaling pathway (GO:0038179)', 'positive regulation of plasma membrane bounded cell projection assembly (GO:0120034)', 'positive regulation of activin receptor signaling pathway (GO:0032927)', 'regulation of centrosome duplication (GO:0010824)', 'regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901028)', 'positive regulation of intracellular transport (GO:0032388)', 'positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030)', 'nerve growth factor signaling pathway (GO:0038180)', 'positive regulation of locomotion (GO:0040017)', 'positive regulation of actin filament polymerization (GO:0030838)', 'regulation of viral release from host cell (GO:1902186)', 'cellular response to nerve growth factor stimulus (GO:1990090)', 'positive regulation of axon extension (GO:0045773)', 'regulation of leukocyte migration (GO:0002685)', 'plus-end-directed organelle transport along microtubule (GO:0072386)', 'protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:0001844)', 'positive regulation of receptor binding (GO:1900122)', 'positive regulation of developmental growth (GO:0048639)', 'regulation of hydrogen peroxide metabolic process (GO:0010310)', 'regulation of actin filament polymerization (GO:0030833)', 'protein neddylation (GO:0045116)', 'dosage compensation by inactivation of X chromosome (GO:0009048)', 'viral release from host cell (GO:0019076)', 'protein geranylgeranylation (GO:0018344)', 'sphingosine-1-phosphate signaling pathway (GO:0003376)', 'positive regulation of axonogenesis (GO:0050772)', 'ventricular cardiac muscle cell development (GO:0055015)', 'protein localization to non-motile cilium (GO:0097499)'}"
127372:"{'negative regulation of mononuclear cell migration (GO:0071676)', 'negative regulation of neurological system process (GO:0031645)', 'positive regulation of catenin import into nucleus (GO:0035413)', 'regulation of memory T cell differentiation (GO:0043380)', 'regulation of collateral sprouting (GO:0048670)', 'regulation of catenin import into nucleus (GO:0035412)', 'regulation of sensory perception of pain (GO:0051930)', 'positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800)', 'endothelial cell chemotaxis (GO:0035767)', 'regulation of MHC class I biosynthetic process (GO:0045343)', 'positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle (GO:0031659)', 'positive regulation of response to stimulus (GO:0048584)', 'negative regulation of lymphocyte differentiation (GO:0045620)', 'negative regulation of protein import into nucleus (GO:0042308)', 'negative regulation of dendrite development (GO:2000171)', 'dendrite extension (GO:0097484)', 'neuron remodeling (GO:0016322)', 'postsynaptic density organization (GO:0097106)', 'regulation of interleukin-13 production (GO:0032656)', 'neuron maturation (GO:0042551)', 'retrograde axonal transport (GO:0008090)', 'mitotic DNA replication checkpoint (GO:0033314)', 'late endosome to vacuole transport (GO:0045324)', 'smooth muscle cell migration (GO:0014909)', 'negative regulation of cell growth (GO:0030308)', 'negative regulation of cardiocyte differentiation (GO:1905208)', 'late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)', 'negative regulation of type 2 immune response (GO:0002829)', 'response to UV-A (GO:0070141)', 'negative regulation of leukocyte chemotaxis (GO:0002689)'}"
614:"{'negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902236)', 'single strand break repair (GO:0000012)', 'positive regulation of aspartic-type peptidase activity (GO:1905247)', 'inositol metabolic process (GO:0006020)', 'glutamate catabolic process (GO:0006538)', 'mast cell activation involved in immune response (GO:0002279)', 'mast cell degranulation (GO:0043303)', 'iron ion import (GO:0097286)', 'polyol transport (GO:0015791)', 'arachidonic acid secretion (GO:0050482)', 'positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902961)', 'exocyst localization (GO:0051601)', 'negative regulation of peptidase activity (GO:0010466)', 'protein hexamerization (GO:0034214)', 'isotype switching (GO:0045190)', 'arginine catabolic process (GO:0006527)', 'histone-serine phosphorylation (GO:0035404)', 'regulation of endopeptidase activity (GO:0052548)', 'regulation of amyloid precursor protein catabolic process (GO:1902991)', 'peptidyl-lysine monomethylation (GO:0018026)', 'iron ion import across plasma membrane (GO:0098711)', 'regulation of fibroblast apoptotic process (GO:2000269)', 'arachidonate transport (GO:1903963)', 'positive regulation of myoblast differentiation (GO:0045663)', 'negative regulation of mRNA polyadenylation (GO:1900364)', 'melanocyte differentiation (GO:0030318)', 'regulation of protein ADP-ribosylation (GO:0010835)', 'regulation of superoxide metabolic process (GO:0090322)', 'regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902959)', 'equilibrioception (GO:0050957)'}"
219270:"{'spermidine metabolic process (GO:0008216)', 'regulation of secretion by cell (GO:1903530)', 'telencephalon cell migration (GO:0022029)', 'spermine metabolic process (GO:0008215)', 'positive regulation of protein import into nucleus, translocation (GO:0033160)', 'positive regulation of phosphate metabolic process (GO:0045937)', 'cerebral cortex cell migration (GO:0021795)', 'cellular response to interleukin-12 (GO:0071349)', 'regulation of exocytosis (GO:0017157)', 'positive regulation of smooth muscle cell apoptotic process (GO:0034393)', 'regulation of cell-substrate adhesion (GO:0010810)', 'citrate metabolic process (GO:0006101)', 'dolichyl diphosphate metabolic process (GO:0046465)', 'regulation of interleukin-23 production (GO:0032667)', 'regulation of glomerular filtration (GO:0003093)', 'oxaloacetate metabolic process (GO:0006107)', 'regulation of calcidiol 1-monooxygenase activity (GO:0060558)', 'interleukin-12-mediated signaling pathway (GO:0035722)', 'renal filtration cell differentiation (GO:0061318)', 'glomerular epithelial cell differentiation (GO:0072311)', 'protein glycosylation (GO:0006486)', 'valine metabolic process (GO:0006573)', 'negative regulation of cell-substrate adhesion (GO:0010812)', 'regulation of vitamin D biosynthetic process (GO:0060556)', 'positive regulation of killing of cells of other organism (GO:0051712)', 'dolichyl diphosphate biosynthetic process (GO:0006489)', 'polyamine biosynthetic process (GO:0006596)', 'peripheral nervous system neuron development (GO:0048935)', 'renal system process involved in regulation of blood volume (GO:0001977)', 'positive regulation of transforming growth factor beta production (GO:0071636)'}"
1051:"{'positive regulation of receptor biosynthetic process (GO:0010870)', 'definitive hemopoiesis (GO:0060216)', 'cellular response to growth hormone stimulus (GO:0071378)', 'bleb assembly (GO:0032060)', 'bundle of His cell-Purkinje myocyte adhesion involved in cell communication (GO:0086073)', 'positive regulation of aspartic-type peptidase activity (GO:1905247)', 'regulation of protein localization to early endosome (GO:1902965)', 'positive regulation of clathrin-dependent endocytosis (GO:2000370)', 'branching involved in blood vessel morphogenesis (GO:0001569)', 'positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902961)', 'vascular smooth muscle cell differentiation (GO:0035886)', 'response to catecholamine (GO:0071869)', 'response to ammonium ion (GO:0060359)', 'positive regulation of axon guidance (GO:1902669)', 'bundle of His cell to Purkinje myocyte communication (GO:0086069)', 'astral microtubule organization (GO:0030953)', 'nucleus localization (GO:0051647)', 'regulation of fibroblast migration (GO:0010762)', 'coumarin metabolic process (GO:0009804)', 'regulation of dopamine receptor signaling pathway (GO:0060159)', 'positive regulation of deacetylase activity (GO:0090045)', 'positive regulation of amyloid precursor protein catabolic process (GO:1902993)', 'regulation of receptor biosynthetic process (GO:0010869)', 'glomerulus vasculature development (GO:0072012)', 'regulation of respiratory system process (GO:0044065)', 'positive regulation of protein localization to endosome (GO:1905668)', 'regulation of histone deacetylase activity (GO:1901725)', 'regulation of ventricular cardiac muscle cell action potential (GO:0098911)', 'regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902959)', 'vascular smooth muscle cell development (GO:0097084)'}"
246704:"{'neurotransmitter receptor transport (GO:0099637)', 'AV node cell action potential (GO:0086016)', 'mineralocorticoid biosynthetic process (GO:0006705)', 'porphyrin-containing compound catabolic process (GO:0006787)', 'cellular nitrogen compound catabolic process (GO:0044270)', 'negative regulation of keratinocyte proliferation (GO:0010839)', 'neurotransmitter receptor diffusion trapping (GO:0099628)', 'positive regulation of substrate adhesion-dependent cell spreading (GO:1900026)', 'sequestering of extracellular ligand from receptor (GO:0035581)', 'response to catecholamine (GO:0071869)', 'engulfment of apoptotic cell (GO:0043652)', 'cellular response to interleukin-15 (GO:0071350)', 'positive regulation of lamellipodium assembly (GO:0010592)', 'adenylate cyclase-activating dopamine receptor signaling pathway (GO:0007191)', 'vitamin A metabolic process (GO:0006776)', 'regulation of metaphase/anaphase transition of cell cycle (GO:1902099)', 'cellular response to monoamine stimulus (GO:0071868)', 'interleukin-15-mediated signaling pathway (GO:0035723)', 'aldehyde biosynthetic process (GO:0046184)', 'neurotransmitter receptor transport, postsynaptic endosome to lysosome (GO:0098943)', 'AMP metabolic process (GO:0046033)', 'ketone biosynthetic process (GO:0042181)', 'heme catabolic process (GO:0042167)', 'regulation of extent of cell growth (GO:0061387)', 'glucocorticoid biosynthetic process (GO:0006704)', 'positive regulation of calcium ion-dependent exocytosis (GO:0045956)', 'late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)', 'leukocyte aggregation (GO:0070486)', 'regulation of hydrogen peroxide metabolic process (GO:0010310)', 'aldehyde catabolic process (GO:0046185)'}"
34620:"{'RNA-dependent DNA biosynthetic process (GO:0006278)', 'response to hydrogen peroxide (GO:0042542)', 'regulation of systemic arterial blood pressure by hormone (GO:0001990)', 'endoplasmic reticulum calcium ion homeostasis (GO:0032469)', 'protein peptidyl-prolyl isomerization (GO:0000413)', 'negative regulation of reactive oxygen species metabolic process (GO:2000378)', 'regulation of protein modification by small protein conjugation or removal (GO:1903320)', 'regulation of mitotic spindle assembly (GO:1901673)', 'positive regulation of cellular metabolic process (GO:0031325)', 'positive regulation of cholesterol transport (GO:0032376)', 'RNA catabolic process (GO:0006401)', 'biotin metabolic process (GO:0006768)', 'virion assembly (GO:0019068)', 'calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)', 'regulation of cholesterol transport (GO:0032374)', 'positive regulation of cholesterol efflux (GO:0010875)', 'positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265)', 'regulation of cholesterol biosynthetic process (GO:0045540)', 'cellular response to topologically incorrect protein (GO:0035967)', 'regulation of inclusion body assembly (GO:0090083)', 'regulation of erythrocyte differentiation (GO:0045646)', 'regulation of cholesterol metabolic process (GO:0090181)', 'negative regulation of inclusion body assembly (GO:0090084)', 'regulation of cholesterol efflux (GO:0010874)', 'mRNA catabolic process (GO:0006402)', 'peptidyl-proline modification (GO:0018208)', ""'de novo' posttranslational protein folding (GO:0051084)"", 'negative regulation of steroid biosynthetic process (GO:0010894)', 'regulation of microtubule nucleation (GO:0010968)', 'chaperone-mediated protein complex assembly (GO:0051131)'}"
75542:"{'glial cell differentiation (GO:0010001)', 'regulation of chromosome organization (GO:0033044)', 'regulation of response to DNA damage stimulus (GO:2001020)', 'negative regulation of mRNA processing (GO:0050686)', 'regulation of epithelial cell proliferation (GO:0050678)', 'regulation of dendrite development (GO:0050773)', 'regulation of response to wounding (GO:1903034)', 'negative regulation of membrane potential (GO:0045837)', 'negative regulation of RNA splicing (GO:0033119)', 'negative regulation of stress-activated protein kinase signaling cascade (GO:0070303)', 'positive regulation of axon extension (GO:0045773)', 'insulin secretion involved in cellular response to glucose stimulus (GO:0035773)', 'plus-end-directed organelle transport along microtubule (GO:0072386)', 'regulation of microtubule polymerization or depolymerization (GO:0031110)', 'positive regulation of developmental growth (GO:0048639)', 'negative regulation of mRNA splicing, via spliceosome (GO:0048025)', 'regulation of mitochondrial fission (GO:0090140)', 'azole transport (GO:0045117)', 'response to growth factor (GO:0070848)', 'response to lead ion (GO:0010288)', 'negative regulation of keratinocyte differentiation (GO:0045617)', 'astrocyte activation (GO:0048143)', 'regulation of axon extension (GO:0030516)', ""mRNA 3'-end processing (GO:0031124)"", 'sulfur compound catabolic process (GO:0044273)', 'release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0014808)', 'negative regulation of neuron differentiation (GO:0045665)', 'positive regulation of axonogenesis (GO:0050772)', 'negative regulation of cellular protein localization (GO:1903828)', 'regulation of potassium ion transmembrane transport (GO:1901379)'}"
