271955:"{'negative regulation of stress-activated MAPK cascade (GO:0032873)', 'regulation of chromosome organization (GO:0033044)', 'energy reserve metabolic process (GO:0006112)', 'regulation of monocyte differentiation (GO:0045655)', 'Notch receptor processing (GO:0007220)', 'branching involved in ureteric bud morphogenesis (GO:0001658)', 'positive regulation of fibroblast proliferation (GO:0048146)', 'ureteric bud morphogenesis (GO:0060675)', 'negative regulation of stress-activated protein kinase signaling cascade (GO:0070303)', 'regulation of mesenchymal cell proliferation (GO:0010464)', 'protein-DNA complex disassembly (GO:0032986)', 'negative regulation of fibroblast proliferation (GO:0048147)', 'positive regulation of mesenchymal cell proliferation (GO:0002053)', 'positive regulation of transcription of Notch receptor target (GO:0007221)', 'ERK1 and ERK2 cascade (GO:0070371)', 'beta-catenin-TCF complex assembly (GO:1904837)', 'response to growth factor (GO:0070848)', 'negative regulation of cell division (GO:0051782)', 'regulation of DNA biosynthetic process (GO:2000278)', 'oxygen transport (GO:0015671)', 'response to gamma radiation (GO:0010332)', 'negative regulation of myeloid leukocyte differentiation (GO:0002762)', 'Notch receptor processing, ligand-dependent (GO:0035333)', 'positive regulation of metanephros development (GO:0072216)', 'regulation of telomere maintenance (GO:0032204)', 'membrane protein intracellular domain proteolysis (GO:0031293)', 'Notch signaling pathway (GO:0007219)', 'gas transport (GO:0015669)', 'negative regulation of Notch signaling pathway (GO:0045746)', 'cellular response to drug (GO:0035690)'}"
218445:"{'positive regulation of myeloid leukocyte mediated immunity (GO:0002888)', 'negative regulation of smooth muscle cell migration (GO:0014912)', 'amylin receptor signaling pathway (GO:0097647)', 'cellular response to ATP (GO:0071318)', 'photoreceptor cell development (GO:0042461)', 'T cell migration (GO:0072678)', 'L-phenylalanine metabolic process (GO:0006558)', 'positive regulation of flagellated sperm motility (GO:1902093)', 'regulation of lymphocyte migration (GO:2000401)', 'surfactant homeostasis (GO:0043129)', 'activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:0097296)', 'positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440)', 'photoreceptor cell differentiation (GO:0046530)', 'cell migration involved in sprouting angiogenesis (GO:0002042)', 'leukocyte tethering or rolling (GO:0050901)', 'positive regulation of muscle contraction (GO:0045933)', 'positive regulation of intracellular steroid hormone receptor signaling pathway (GO:0033145)', 'positive regulation of leukocyte degranulation (GO:0043302)', 'histone H2A-K119 monoubiquitination (GO:0036353)', 'chondroitin sulfate catabolic process (GO:0030207)', 'granulocyte differentiation (GO:0030851)', 'positive regulation of smooth muscle contraction (GO:0045987)', 'negative regulation of chemotaxis (GO:0050922)', 'erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)', 'regulation of tumor necrosis factor biosynthetic process (GO:0042534)', 'L-phenylalanine catabolic process (GO:0006559)', 'leukocyte adhesion to vascular endothelial cell (GO:0061756)', 'chemical homeostasis within a tissue (GO:0048875)', 'regulation of smooth muscle contraction (GO:0006940)', 'positive regulation of protein kinase A signaling (GO:0010739)'}"
34466:"{'glial cell differentiation (GO:0010001)', 'protein localization to kinetochore (GO:0034501)', 'folic acid metabolic process (GO:0046655)', 'neurotrophin signaling pathway (GO:0038179)', 'vocal learning (GO:0042297)', 'protein localization to chromosome, centromeric region (GO:0071459)', 'positive regulation of ERBB signaling pathway (GO:1901186)', 'nerve growth factor signaling pathway (GO:0038180)', 'type B pancreatic cell development (GO:0003323)', 'cellular response to nerve growth factor stimulus (GO:1990090)', 'regulation of glomerular filtration (GO:0003093)', 'calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)', 'regulation of chromatin silencing (GO:0031935)', 'iron-sulfur cluster assembly (GO:0016226)', 'folic acid-containing compound metabolic process (GO:0006760)', 'histone-serine phosphorylation (GO:0035404)', 'metanephros development (GO:0001656)', 'activation of MAPKK activity (GO:0000186)', 'substrate-dependent cell migration (GO:0006929)', 'neutral amino acid transport (GO:0015804)', 'regulation of actin filament polymerization (GO:0030833)', 'protein neddylation (GO:0045116)', 'positive regulation of muscle contraction (GO:0045933)', 'positive regulation of blood coagulation (GO:0030194)', 'negative regulation of intracellular estrogen receptor signaling pathway (GO:0033147)', 'positive regulation of smooth muscle contraction (GO:0045987)', 'sphingosine-1-phosphate signaling pathway (GO:0003376)', 'histone mRNA metabolic process (GO:0008334)', 'regulation of smooth muscle contraction (GO:0006940)', 'protein localization to non-motile cilium (GO:0097499)'}"
127372:"{'negative regulation of mononuclear cell migration (GO:0071676)', 'mitotic G1/S transition checkpoint (GO:0044819)', 'cellular response to caffeine (GO:0071313)', 'glutamate receptor signaling pathway (GO:0007215)', 'axon extension involved in axon guidance (GO:0048846)', 'positive regulation of nitric-oxide synthase biosynthetic process (GO:0051770)', 'long-term synaptic potentiation (GO:0060291)', 'response to caffeine (GO:0031000)', 'regulation of calcium ion transmembrane transport (GO:1903169)', 'regulation of calcium ion transport into cytosol (GO:0010522)', 'cellular response to purine-containing compound (GO:0071415)', 'membrane disruption in other organism (GO:0051673)', 'G1 DNA damage checkpoint (GO:0044783)', 'neuron apoptotic process (GO:0051402)', 'regulation of chemokine-mediated signaling pathway (GO:0070099)', 'cyclic nucleotide catabolic process (GO:0009214)', 'regulation of potassium ion transport (GO:0043266)', 'neuron projection extension involved in neuron projection guidance (GO:1902284)', 'dendrite extension (GO:0097484)', 'postsynaptic density organization (GO:0097106)', 'male meiosis I (GO:0007141)', 'positive regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0035774)', 'regulation of striated muscle cell differentiation (GO:0051153)', 'retinal ganglion cell axon guidance (GO:0031290)', 'positive regulation of circadian rhythm (GO:0042753)', 'endothelial tube morphogenesis (GO:0061154)', 'mitotic G1 DNA damage checkpoint (GO:0031571)', 'extrinsic apoptotic signaling pathway in absence of ligand (GO:0097192)', 'regulation of sequestering of calcium ion (GO:0051282)', 'modulation of chemical synaptic transmission (GO:0050804)'}"
614:"{'regulation of sprouting angiogenesis (GO:1903670)', 'endodermal cell differentiation (GO:0035987)', 'positive regulation of lipid localization (GO:1905954)', 'lipoxygenase pathway (GO:0019372)', 'positive regulation of activin receptor signaling pathway (GO:0032927)', 'activin receptor signaling pathway (GO:0032924)', 'B cell activation involved in immune response (GO:0002312)', 'regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393)', 'regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901028)', 'retinoic acid metabolic process (GO:0042573)', '2-oxoglutarate metabolic process (GO:0006103)', 'regulation of activin receptor signaling pathway (GO:0032925)', 'sterol metabolic process (GO:0016125)', 'purine nucleobase metabolic process (GO:0006144)', 'negative regulation of apoptotic signaling pathway (GO:2001234)', 'neuron apoptotic process (GO:0051402)', 'negative regulation of DNA recombination (GO:0045910)', 'isotype switching (GO:0045190)', 'endoderm formation (GO:0001706)', 'heterotypic cell-cell adhesion (GO:0034113)', 'positive regulation of lipid storage (GO:0010884)', 'leukocyte tethering or rolling (GO:0050901)', 'nodal signaling pathway (GO:0038092)', 'somatic recombination of immunoglobulin genes involved in immune response (GO:0002204)', 'attachment of GPI anchor to protein (GO:0016255)', 'purine nucleotide biosynthetic process (GO:0006164)', 'viral entry into host cell (GO:0046718)', 'leukocyte adhesion to vascular endothelial cell (GO:0061756)', 'somatic hypermutation of immunoglobulin genes (GO:0016446)', 'positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862)'}"
219270:"{'positive regulation of myeloid leukocyte mediated immunity (GO:0002888)', 'negative regulation of smooth muscle cell migration (GO:0014912)', 'amylin receptor signaling pathway (GO:0097647)', 'cellular response to ATP (GO:0071318)', 'photoreceptor cell development (GO:0042461)', 'T cell migration (GO:0072678)', 'L-phenylalanine metabolic process (GO:0006558)', 'positive regulation of flagellated sperm motility (GO:1902093)', 'regulation of lymphocyte migration (GO:2000401)', 'surfactant homeostasis (GO:0043129)', 'activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:0097296)', 'positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440)', 'photoreceptor cell differentiation (GO:0046530)', 'cell migration involved in sprouting angiogenesis (GO:0002042)', 'leukocyte tethering or rolling (GO:0050901)', 'positive regulation of muscle contraction (GO:0045933)', 'positive regulation of intracellular steroid hormone receptor signaling pathway (GO:0033145)', 'positive regulation of leukocyte degranulation (GO:0043302)', 'histone H2A-K119 monoubiquitination (GO:0036353)', 'chondroitin sulfate catabolic process (GO:0030207)', 'granulocyte differentiation (GO:0030851)', 'positive regulation of smooth muscle contraction (GO:0045987)', 'negative regulation of chemotaxis (GO:0050922)', 'erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)', 'regulation of tumor necrosis factor biosynthetic process (GO:0042534)', 'L-phenylalanine catabolic process (GO:0006559)', 'leukocyte adhesion to vascular endothelial cell (GO:0061756)', 'chemical homeostasis within a tissue (GO:0048875)', 'regulation of smooth muscle contraction (GO:0006940)', 'positive regulation of protein kinase A signaling (GO:0010739)'}"
1051:"{'positive regulation of myeloid leukocyte mediated immunity (GO:0002888)', 'negative regulation of smooth muscle cell migration (GO:0014912)', 'amylin receptor signaling pathway (GO:0097647)', 'cellular response to ATP (GO:0071318)', 'photoreceptor cell development (GO:0042461)', 'T cell migration (GO:0072678)', 'L-phenylalanine metabolic process (GO:0006558)', 'positive regulation of flagellated sperm motility (GO:1902093)', 'regulation of lymphocyte migration (GO:2000401)', 'surfactant homeostasis (GO:0043129)', 'activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:0097296)', 'positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440)', 'photoreceptor cell differentiation (GO:0046530)', 'cell migration involved in sprouting angiogenesis (GO:0002042)', 'leukocyte tethering or rolling (GO:0050901)', 'positive regulation of muscle contraction (GO:0045933)', 'positive regulation of intracellular steroid hormone receptor signaling pathway (GO:0033145)', 'positive regulation of leukocyte degranulation (GO:0043302)', 'histone H2A-K119 monoubiquitination (GO:0036353)', 'chondroitin sulfate catabolic process (GO:0030207)', 'granulocyte differentiation (GO:0030851)', 'positive regulation of smooth muscle contraction (GO:0045987)', 'negative regulation of chemotaxis (GO:0050922)', 'erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)', 'regulation of tumor necrosis factor biosynthetic process (GO:0042534)', 'L-phenylalanine catabolic process (GO:0006559)', 'leukocyte adhesion to vascular endothelial cell (GO:0061756)', 'chemical homeostasis within a tissue (GO:0048875)', 'regulation of smooth muscle contraction (GO:0006940)', 'positive regulation of protein kinase A signaling (GO:0010739)'}"
246704:"{'positive regulation of myeloid leukocyte mediated immunity (GO:0002888)', 'negative regulation of smooth muscle cell migration (GO:0014912)', 'amylin receptor signaling pathway (GO:0097647)', 'cellular response to ATP (GO:0071318)', 'photoreceptor cell development (GO:0042461)', 'T cell migration (GO:0072678)', 'L-phenylalanine metabolic process (GO:0006558)', 'positive regulation of flagellated sperm motility (GO:1902093)', 'regulation of lymphocyte migration (GO:2000401)', 'surfactant homeostasis (GO:0043129)', 'activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:0097296)', 'positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440)', 'photoreceptor cell differentiation (GO:0046530)', 'cell migration involved in sprouting angiogenesis (GO:0002042)', 'leukocyte tethering or rolling (GO:0050901)', 'positive regulation of muscle contraction (GO:0045933)', 'positive regulation of intracellular steroid hormone receptor signaling pathway (GO:0033145)', 'positive regulation of leukocyte degranulation (GO:0043302)', 'histone H2A-K119 monoubiquitination (GO:0036353)', 'chondroitin sulfate catabolic process (GO:0030207)', 'granulocyte differentiation (GO:0030851)', 'positive regulation of smooth muscle contraction (GO:0045987)', 'negative regulation of chemotaxis (GO:0050922)', 'erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)', 'regulation of tumor necrosis factor biosynthetic process (GO:0042534)', 'L-phenylalanine catabolic process (GO:0006559)', 'leukocyte adhesion to vascular endothelial cell (GO:0061756)', 'chemical homeostasis within a tissue (GO:0048875)', 'regulation of smooth muscle contraction (GO:0006940)', 'positive regulation of protein kinase A signaling (GO:0010739)'}"
34620:"{'mannose metabolic process (GO:0006013)', 'cellular response to interleukin-6 (GO:0071354)', 'positive regulation of myelination (GO:0031643)', 'L-alanine transport (GO:0015808)', 'terpenoid metabolic process (GO:0006721)', 'positive regulation of adaptive immune response (GO:0002821)', 'glutamate catabolic process (GO:0006538)', 'miRNA loading onto RISC involved in gene silencing by miRNA (GO:0035280)', 'positive regulation of protein export from nucleus (GO:0046827)', 'phosphatidylinositol dephosphorylation (GO:0046856)', 'snRNA modification (GO:0040031)', 'regulation of protein export from nucleus (GO:0046825)', 'ER overload response (GO:0006983)', 'protein deubiquitination involved in ubiquitin-dependent protein catabolic process (GO:0071947)', 'mitochondrial ribosome assembly (GO:0061668)', 'negative regulation of glial cell proliferation (GO:0060253)', 'activation of transmembrane receptor protein tyrosine kinase activity (GO:0007171)', 'negative regulation of transcription elongation from RNA polymerase II promoter (GO:0034244)', 'negative regulation of glycolytic process (GO:0045820)', 'phospholipid dephosphorylation (GO:0046839)', 'regulation of skeletal muscle satellite cell proliferation (GO:0014842)', 'negative regulation of T cell differentiation in thymus (GO:0033085)', 'prepulse inhibition (GO:0060134)', 'glomerulus vasculature development (GO:0072012)', 'miRNA metabolic process (GO:0010586)', 'positive regulation of neurological system process (GO:0031646)', 'hemostasis (GO:0007599)', 'regulation of microtubule nucleation (GO:0010968)', 'L-cysteine metabolic process (GO:0046439)', 'negative regulation of coenzyme metabolic process (GO:0051198)'}"
75542:"{'positive regulation of vasculogenesis (GO:2001214)', 'respiratory chain complex III assembly (GO:0017062)', 'negative regulation of platelet aggregation (GO:0090331)', 'regulation of endothelial cell migration (GO:0010594)', 'xenobiotic catabolic process (GO:0042178)', 'positive regulation of cholesterol transport (GO:0032376)', 'dynamin family protein polymerization involved in membrane fission (GO:0003373)', 'regulation of protein targeting (GO:1903533)', 'neuron fate specification (GO:0048665)', 'blood vessel endothelial cell migration (GO:0043534)', 'positive regulation of cholesterol efflux (GO:0010875)', 'mitochondrial respiratory chain complex III assembly (GO:0034551)', 'positive regulation of microtubule polymerization or depolymerization (GO:0031112)', 'regulation of membrane depolarization (GO:0003254)', 'coumarin metabolic process (GO:0009804)', 'regulation of MHC class II biosynthetic process (GO:0045346)', 'negative regulation of potassium ion transmembrane transporter activity (GO:1901017)', 'ribosomal protein import into nucleus (GO:0006610)', 'positive regulation of endothelial cell migration (GO:0010595)', 'astrocyte activation (GO:0048143)', 'isoprenoid metabolic process (GO:0006720)', 'regulation of cholesterol efflux (GO:0010874)', 'regulation of establishment of protein localization to mitochondrion (GO:1903747)', 'endosome to pigment granule transport (GO:0043485)', 'regulation of blood vessel remodeling (GO:0060312)', ""mRNA 5'-splice site recognition (GO:0000395)"", 'Cdc42 protein signal transduction (GO:0032488)', 'ATP-dependent chromatin remodeling (GO:0043044)', 'positive regulation of microtubule polymerization (GO:0031116)', 'regulation of oxidative phosphorylation (GO:0002082)'}"
221932:"{'positive regulation of myeloid leukocyte mediated immunity (GO:0002888)', 'negative regulation of smooth muscle cell migration (GO:0014912)', 'amylin receptor signaling pathway (GO:0097647)', 'cellular response to ATP (GO:0071318)', 'photoreceptor cell development (GO:0042461)', 'T cell migration (GO:0072678)', 'L-phenylalanine metabolic process (GO:0006558)', 'positive regulation of flagellated sperm motility (GO:1902093)', 'regulation of lymphocyte migration (GO:2000401)', 'surfactant homeostasis (GO:0043129)', 'activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:0097296)', 'positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440)', 'photoreceptor cell differentiation (GO:0046530)', 'cell migration involved in sprouting angiogenesis (GO:0002042)', 'leukocyte tethering or rolling (GO:0050901)', 'positive regulation of muscle contraction (GO:0045933)', 'positive regulation of intracellular steroid hormone receptor signaling pathway (GO:0033145)', 'positive regulation of leukocyte degranulation (GO:0043302)', 'histone H2A-K119 monoubiquitination (GO:0036353)', 'chondroitin sulfate catabolic process (GO:0030207)', 'granulocyte differentiation (GO:0030851)', 'positive regulation of smooth muscle contraction (GO:0045987)', 'negative regulation of chemotaxis (GO:0050922)', 'erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)', 'regulation of tumor necrosis factor biosynthetic process (GO:0042534)', 'L-phenylalanine catabolic process (GO:0006559)', 'leukocyte adhesion to vascular endothelial cell (GO:0061756)', 'chemical homeostasis within a tissue (GO:0048875)', 'regulation of smooth muscle contraction (GO:0006940)', 'positive regulation of protein kinase A signaling (GO:0010739)'}"
