271955:"{'positive regulation of telomerase activity (GO:0051973)', 'negative regulation of stress-activated MAPK cascade (GO:0032873)', 'regulation of chromosome organization (GO:0033044)', 'branching morphogenesis of an epithelial tube (GO:0048754)', 'regulation of response to DNA damage stimulus (GO:2001020)', 'regulation of fibroblast proliferation (GO:0048145)', 'energy reserve metabolic process (GO:0006112)', 'regulation of monocyte differentiation (GO:0045655)', 'branching involved in ureteric bud morphogenesis (GO:0001658)', 'regulation of telomerase activity (GO:0051972)', 'positive regulation of fibroblast proliferation (GO:0048146)', 'ureteric bud morphogenesis (GO:0060675)', 'negative regulation of stress-activated protein kinase signaling cascade (GO:0070303)', 'regulation of mesenchymal cell proliferation (GO:0010464)', 'protein-DNA complex disassembly (GO:0032986)', 'negative regulation of fibroblast proliferation (GO:0048147)', 'positive regulation of mesenchymal cell proliferation (GO:0002053)', 'ERK1 and ERK2 cascade (GO:0070371)', 'beta-catenin-TCF complex assembly (GO:1904837)', 'regulation of stress-activated MAPK cascade (GO:0032872)', 'response to growth factor (GO:0070848)', 'negative regulation of cell division (GO:0051782)', 'regulation of DNA biosynthetic process (GO:2000278)', 'oxygen transport (GO:0015671)', 'response to gamma radiation (GO:0010332)', 'negative regulation of myeloid leukocyte differentiation (GO:0002762)', 'positive regulation of metanephros development (GO:0072216)', 'regulation of telomere maintenance (GO:0032204)', 'gas transport (GO:0015669)', 'cellular response to drug (GO:0035690)'}"
218445:"{'regulation of vascular endothelial growth factor production (GO:0010574)', 'response to corticosteroid (GO:0031960)', 'negative regulation of signal transduction in absence of ligand (GO:1901099)', 'negative regulation of protein secretion (GO:0050709)', 'positive regulation of T cell mediated immunity (GO:0002711)', 'regulation of tyrosine phosphorylation of STAT protein (GO:0042509)', 'positive regulation of cytokine biosynthetic process (GO:0042108)', 'regulation of B cell proliferation (GO:0030888)', 'positive regulation of membrane protein ectodomain proteolysis (GO:0051044)', 'regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239)', 'interleukin-23-mediated signaling pathway (GO:0038155)', 'regulation of calcidiol 1-monooxygenase activity (GO:0060558)', 'positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)', 'response to glucocorticoid (GO:0051384)', 'positive regulation of lymphocyte proliferation (GO:0050671)', 'positive regulation of cytokine production (GO:0001819)', 'positive regulation of osteoclast differentiation (GO:0045672)', 'interleukin-6-mediated signaling pathway (GO:0070102)', 'interleukin-35-mediated signaling pathway (GO:0070757)', 'negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240)', 'positive regulation of acute inflammatory response (GO:0002675)', 'regulation of membrane protein ectodomain proteolysis (GO:0051043)', 'regulation of cytokine secretion (GO:0050707)', 'T-helper 17 cell differentiation (GO:0072539)', 'negative regulation of cytokine production involved in immune response (GO:0002719)', 'positive regulation of T cell mediated cytotoxicity (GO:0001916)', 'positive regulation of JAK-STAT cascade (GO:0046427)', 'regulation of immunoglobulin production (GO:0002637)', 'positive regulation of leukocyte mediated cytotoxicity (GO:0001912)', 'positive regulation of heterotypic cell-cell adhesion (GO:0034116)'}"
34466:"{'glucose import (GO:0046323)', 'positive regulation of ubiquitin-protein transferase activity (GO:0051443)', 'negative regulation of growth (GO:0045926)', 'regulation of adiponectin secretion (GO:0070163)', 'negative regulation of type I interferon-mediated signaling pathway (GO:0060339)', 'kinetochore assembly (GO:0051382)', 'protein localization to microtubule (GO:0035372)', 'negative regulation of protein autophosphorylation (GO:0031953)', 'ether lipid metabolic process (GO:0046485)', 'chitin catabolic process (GO:0006032)', 'regulation of MHC class I biosynthetic process (GO:0045343)', 'regulation of platelet-derived growth factor receptor-beta signaling pathway (GO:2000586)', 'protein localization to vacuole (GO:0072665)', 'positive regulation of type I interferon-mediated signaling pathway (GO:0060340)', 'proline transport (GO:0015824)', 'protein localization to microtubule cytoskeleton (GO:0072698)', 'negative regulation of fibrinolysis (GO:0051918)', 'response to UV-C (GO:0010225)', 'protein neddylation (GO:0045116)', 'regulation of ubiquitin-protein transferase activity (GO:0051438)', 'negative regulation of type I interferon production (GO:0032480)', 'tRNA aminoacylation for mitochondrial protein translation (GO:0070127)', 'regulation of cell-cell adhesion mediated by cadherin (GO:2000047)', 'regulation of ERAD pathway (GO:1904292)', 'negative regulation of cell growth (GO:0030308)', 'sphingosine-1-phosphate signaling pathway (GO:0003376)', 'response to magnesium ion (GO:0032026)', 'cellular response to magnesium ion (GO:0071286)', 'chitin metabolic process (GO:0006030)', 'cellular response to acidic pH (GO:0071468)'}"
127372:"{'regulation of nervous system development (GO:0051960)', 'regulation of neurogenesis (GO:0050767)', 'regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0061178)', 'sterol homeostasis (GO:0055092)', 'regulation of p38MAPK cascade (GO:1900744)', 'bleb assembly (GO:0032060)', 'protein targeting to mitochondrion (GO:0006626)', 'regulation of telomere capping (GO:1904353)', 'negative regulation of circadian rhythm (GO:0042754)', 'response to organophosphorus (GO:0046683)', 'histone H3 deacetylation (GO:0070932)', 'signal peptide processing (GO:0006465)', 'positive regulation of telomere capping (GO:1904355)', 'histone deacetylation (GO:0016575)', 'entrainment of circadian clock by photoperiod (GO:0043153)', 'regulation of cholesterol transport (GO:0032374)', 'regulation of cell development (GO:0060284)', 'photoperiodism (GO:0009648)', 'regulation of glucocorticoid receptor signaling pathway (GO:2000322)', 'zinc II ion transmembrane transport (GO:0071577)', 'glucan biosynthetic process (GO:0009250)', 'glycogen biosynthetic process (GO:0005978)', 'cellular zinc ion homeostasis (GO:0006882)', 'zinc II ion transmembrane import (GO:0071578)', 'regulation of hair cycle (GO:0042634)', 'membrane protein intracellular domain proteolysis (GO:0031293)', 'response to light stimulus (GO:0009416)', 'C21-steroid hormone metabolic process (GO:0008207)', 'negative regulation of glucocorticoid receptor signaling pathway (GO:2000323)', 'zinc ion homeostasis (GO:0055069)'}"
614:"{'protein K11-linked deubiquitination (GO:0035871)', 'negative regulation of leukocyte migration (GO:0002686)', 'central nervous system neuron axonogenesis (GO:0021955)', 'response to acidic pH (GO:0010447)', 'retinoic acid metabolic process (GO:0042573)', 'thiamine-containing compound metabolic process (GO:0042723)', 'regulation of myoblast fusion (GO:1901739)', 'axon extension involved in axon guidance (GO:0048846)', 'long-term memory (GO:0007616)', 'purine nucleobase metabolic process (GO:0006144)', 'regulation of histone H3-K9 methylation (GO:0051570)', 'positive regulation of glucose transport (GO:0010828)', 'negative regulation of B cell proliferation (GO:0030889)', 'arginine catabolic process (GO:0006527)', 'actin filament depolymerization (GO:0030042)', 'neuron projection extension involved in neuron projection guidance (GO:1902284)', 'phosphatidylethanolamine biosynthetic process (GO:0006646)', 'azole transport (GO:0045117)', 'positive regulation of myoblast fusion (GO:1901741)', 'negative regulation of interferon-beta production (GO:0032688)', 'regulation of skeletal muscle tissue development (GO:0048641)', 'regulation of protein homooligomerization (GO:0032462)', 'negative regulation of alpha-beta T cell activation (GO:0046636)', 'negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000059)', 'response to magnesium ion (GO:0032026)', 'histone H2A ubiquitination (GO:0033522)', 'regulation of Rac protein signal transduction (GO:0035020)', 'cellular response to magnesium ion (GO:0071286)', 'retrograde transport, endosome to plasma membrane (GO:1990126)', 'cellular response to acidic pH (GO:0071468)'}"
219270:"{'endocytic recycling (GO:0032456)', 'regulation of neurotransmitter secretion (GO:0046928)', 'regulation of secretion by cell (GO:1903530)', 'regulated exocytosis (GO:0045055)', 'organelle membrane fusion (GO:0090174)', 'positive regulation of cell communication (GO:0010647)', 'regulation of protein localization (GO:0032880)', 'regulation of exocytosis (GO:0017157)', 'calcium ion regulated exocytosis (GO:0017156)', 'Golgi ribbon formation (GO:0090161)', 'membrane fusion (GO:0061025)', 'negative regulation of calcium ion-dependent exocytosis (GO:0045955)', 'regulation of vesicle-mediated transport (GO:0060627)', 'vesicle organization (GO:0016050)', 'vesicle fusion with Golgi apparatus (GO:0048280)', 'vesicle fusion (GO:0006906)', 'regulation of protein secretion (GO:0050708)', 'regulation of protein transport (GO:0051223)', 'regulation of neurotransmitter transport (GO:0051588)', 'DNA packaging (GO:0006323)', 'positive regulation of synaptic transmission (GO:0050806)', 'Golgi to plasma membrane transport (GO:0006893)', 'regulation of protein complex assembly (GO:0043254)', 'regulation of endocytosis (GO:0030100)', 'vesicle-mediated transport (GO:0016192)', 'modulation of chemical synaptic transmission (GO:0050804)', 'sphingosine-1-phosphate signaling pathway (GO:0003376)', 'regulation of peptide secretion (GO:0002791)', 'post-Golgi vesicle-mediated transport (GO:0006892)', 'positive regulation of signaling (GO:0023056)'}"
1051:"{'mitochondrial fragmentation involved in apoptotic process (GO:0043653)', 'positive regulation of activin receptor signaling pathway (GO:0032927)', 'negative regulation of vascular permeability (GO:0043116)', 'thyroid gland development (GO:0030878)', 'lipid hydroxylation (GO:0002933)', 'regulation of thymocyte apoptotic process (GO:0070243)', 'mammary gland epithelial cell differentiation (GO:0060644)', 'positive regulation of interferon-gamma secretion (GO:1902715)', 'protein localization to microtubule (GO:0035372)', 'regulation of positive chemotaxis (GO:0050926)', 'negative regulation of androgen receptor signaling pathway (GO:0060766)', 'positive regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903071)', 'regulation of keratinocyte migration (GO:0051547)', 'regulation of biosynthetic process (GO:0009889)', 'thymus development (GO:0048538)', 'prepulse inhibition (GO:0060134)', 'positive regulation of interleukin-8 biosynthetic process (GO:0045416)', 'positive regulation of stem cell differentiation (GO:2000738)', 'N-acetylglucosamine metabolic process (GO:0006044)', 'endothelial tube morphogenesis (GO:0061154)', 'negative regulation of focal adhesion assembly (GO:0051895)', 'smooth muscle cell migration (GO:0014909)', 'B cell chemotaxis (GO:0035754)', 'hemostasis (GO:0007599)', 'ventricular cardiac muscle cell development (GO:0055015)', 'microvillus organization (GO:0032528)', 'positive regulation of keratinocyte migration (GO:0051549)', 'cellular response to UV-B (GO:0071493)', 'positive regulation of protein kinase A signaling (GO:0010739)', 'microvillus assembly (GO:0030033)'}"
246704:"{'arginine biosynthetic process (GO:0006526)', 'positive regulation of lipid localization (GO:1905954)', 'RNA destabilization (GO:0050779)', 'negative regulation of erythrocyte differentiation (GO:0045647)', 'transepithelial transport (GO:0070633)', 'chylomicron remnant clearance (GO:0034382)', ""ncRNA 3'-end processing (GO:0043628)"", 'establishment of endothelial intestinal barrier (GO:0090557)', 'positive regulation of protein localization to cell surface (GO:2000010)', 'regulation of amyloid-beta clearance (GO:1900221)', 'positive regulation of membrane protein ectodomain proteolysis (GO:0051044)', ""snRNA 3'-end processing (GO:0034472)"", 'regulation of nuclear cell cycle DNA replication (GO:0033262)', 'positive regulation of phospholipid transport (GO:2001140)', 'mRNA destabilization (GO:0061157)', 'neuroepithelial cell differentiation (GO:0060563)', 'positive regulation of activation of Janus kinase activity (GO:0010536)', 'regulation of amyloid fibril formation (GO:1905906)', 'snRNA processing (GO:0016180)', 'positive regulation of fever generation (GO:0031622)', 'positive regulation of DNA-dependent DNA replication (GO:2000105)', 'corticosteroid receptor signaling pathway (GO:0031958)', 'ammonium transmembrane transport (GO:0072488)', 'glucocorticoid receptor signaling pathway (GO:0042921)', 'positive regulation of chromosome organization (GO:2001252)', 'positive regulation of granulocyte differentiation (GO:0030854)', 'negative regulation of cAMP-dependent protein kinase activity (GO:2000480)', 'macropinocytosis (GO:0044351)', 'cellular response to magnesium ion (GO:0071286)', 'regulation of relaxation of cardiac muscle (GO:1901897)'}"
34620:"{'fatty acid alpha-oxidation (GO:0001561)', 'protein peptidyl-prolyl isomerization (GO:0000413)', 'protein desumoylation (GO:0016926)', 'regulation of interleukin-6 biosynthetic process (GO:0045408)', 'positive regulation of protein modification by small protein conjugation or removal (GO:1903322)', 'protein localization to mitochondrion (GO:0070585)', 'regulation of synaptic transmission, dopaminergic (GO:0032225)', 'positive regulation of adaptive immune response (GO:0002821)', 'rRNA pseudouridine synthesis (GO:0031118)', 'protein K48-linked ubiquitination (GO:0070936)', 'glomerular epithelial cell development (GO:0072310)', 'regulation of cytoplasmic mRNA processing body assembly (GO:0010603)', 'phosphatidylinositol dephosphorylation (GO:0046856)', 'regulation of protein ubiquitination (GO:0031396)', 'snRNA modification (GO:0040031)', 'ER overload response (GO:0006983)', 'regulation of skeletal muscle cell differentiation (GO:2001014)', 'interleukin-27-mediated signaling pathway (GO:0070106)', 'regulation of phospholipid metabolic process (GO:1903725)', 'poly-N-acetyllactosamine metabolic process (GO:0030309)', 'cytoplasmic sequestering of NF-kappaB (GO:0007253)', 'negative regulation of T cell differentiation in thymus (GO:0033085)', 'positive regulation of protein ubiquitination (GO:0031398)', 'deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0000290)', 'regulation of DNA methylation (GO:0044030)', 'peptidyl-proline modification (GO:0018208)', 'hemostasis (GO:0007599)', 'lung epithelium development (GO:0060428)', 'regulation of microtubule nucleation (GO:0010968)', 'poly-N-acetyllactosamine biosynthetic process (GO:0030311)'}"
75542:"{'positive regulation of telomerase activity (GO:0051973)', 'negative regulation of stress-activated MAPK cascade (GO:0032873)', 'regulation of chromosome organization (GO:0033044)', 'branching morphogenesis of an epithelial tube (GO:0048754)', 'regulation of response to DNA damage stimulus (GO:2001020)', 'regulation of fibroblast proliferation (GO:0048145)', 'energy reserve metabolic process (GO:0006112)', 'regulation of monocyte differentiation (GO:0045655)', 'branching involved in ureteric bud morphogenesis (GO:0001658)', 'regulation of telomerase activity (GO:0051972)', 'positive regulation of fibroblast proliferation (GO:0048146)', 'ureteric bud morphogenesis (GO:0060675)', 'negative regulation of stress-activated protein kinase signaling cascade (GO:0070303)', 'regulation of mesenchymal cell proliferation (GO:0010464)', 'protein-DNA complex disassembly (GO:0032986)', 'negative regulation of fibroblast proliferation (GO:0048147)', 'positive regulation of mesenchymal cell proliferation (GO:0002053)', 'ERK1 and ERK2 cascade (GO:0070371)', 'beta-catenin-TCF complex assembly (GO:1904837)', 'regulation of stress-activated MAPK cascade (GO:0032872)', 'response to growth factor (GO:0070848)', 'negative regulation of cell division (GO:0051782)', 'regulation of DNA biosynthetic process (GO:2000278)', 'oxygen transport (GO:0015671)', 'response to gamma radiation (GO:0010332)', 'negative regulation of myeloid leukocyte differentiation (GO:0002762)', 'positive regulation of metanephros development (GO:0072216)', 'regulation of telomere maintenance (GO:0032204)', 'gas transport (GO:0015669)', 'cellular response to drug (GO:0035690)'}"
