Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Chromosome_Location_hg19	chr14	94/898	2.3293395838761802e-07	8.385622501954249e-06	0	0	1.7062275490404284	26.05837877909759	SERPINA11;RTL1;SERPINA12;SERPINA3;CCNK;SERPINA1;SETD3;EXOC3L4;GPR68;GPR65;SERPINA10;TNFAIP2;PTPN21;SERPINA9;EFCAB11;CYP46A1;SERPINA6;SERPINA5;YY1;ANKRD9;TCL1A;GOLGA5;RPS6KA5;PPP4R4;PAPOLA;BDKRB2;BDKRB1;SLC25A47;PRIMA1;C14ORF159;HSP90AA1;RPS6KL1;AMN;WARS;KCNK10;GLRX5;KCNK13;ITPK1;DIO3;VRK1;PPP4R3A;DICER1;TC2N;EML1;TMEM251;EML5;PPM1A;CATSPERB;ZNF839;TRAF3;CINP;HHIPL1;RIN3;EVL;OTUB2;WDR25;SLC24A4;RTN1;DDX24;WDR20;GSKIP;AK7;SPATA7;FBLN5;BEGAIN;ATXN3;SLC25A29;CLMN;UBR7;GSC;ZC3H14;CHGA;DYNC1H1;MOAP1;BCL11B;CPSF2;MOK;BTBD7;CDC42BPB;DLK1;GALC;TTC8;EIF5;CNIH1;TDP1;PSMC1;CCDC88C;DEGS2;ASB2;TECPR2;UNC79;RCOR1;LGMN;ATG2B
Chromosome_Location_hg19	chr6 apd hap1	1/115	0.9993232704545716	1.0	0	0	0.1417384217426739	9.595104783321065e-05	NOTCH4
Chromosome_Location_hg19	chr6 mann hap4	2/181	0.9998671799224902	1.0	0	0	0.1801095966895856	2.3923759405533233e-05	NOTCH4;PRRC2A
Chromosome_Location_hg19	chr6 ssto hap7	2/190	0.9999203590788716	1.0	0	0	0.17157808947797365	1.3665181252499499e-05	NOTCH4;PRRC2A
Chromosome_Location_hg19	chr6 mcf hap5	2/207	0.9999685959462687	1.0	0	0	0.15748713526963765	4.945812117670239e-06	NOTCH4;PRRC2A
Chromosome_Location_hg19	chr6 qbl hap6	2/218	0.9999819064524896	1.0	0	0	0.14954053670098622	2.7057432838462467e-06	NOTCH4;PRRC2A
Chromosome_Location_hg19	chr6 cox hap2	2/235	0.9999910383298504	1.0	0	0	0.13872271064176595	1.24319274556893e-06	NOTCH4;PRRC2A
Chromosome_Location_hg19	chr1	19/2689	0.9999926284232692	1.0	0	0	0.11517235087681013	8.490049510251519e-07	FCRL1;CLIC4;FCMR;COL16A1;TPM3;URB2;ASH1L;OAZ3;XKR8;RIT1;IFI16;MPC2;TAF1A;CAPN2;NDUFS2;KIF21B;ARHGEF2;GCLM;MPZL1
Chromosome_Location_hg19	chr19	11/1756	0.9999933018837084	1.0	0	0	0.102106550970662	6.839238430404479e-07	SYT5;CYP2A7;SYCE2;DNAJB1;CYP2A6;CYP2A13;GMFG;NUP62;BTBD2;AP2S1;CACNA1A
Chromosome_Location_hg19	chr2	24/1751	0.9999933063924592	1.0	0	0	0.22341407424887488	1.4954511370748468e-06	UGT1A10;ROCK2;PDE1A;ATL2;ZFAND2B;GPR75-ASB3;PUM2;HSPD1;PPP1CB;PAIP2B;SPR;MAT2A;MTHFD2;DCDC2C;CD207;RDH14;ITGAV;LRRFIP1;KIF3C;UGT1A9;ASB3;UGT1A8;UGT1A7;RAB11FIP5
